filename,LassoLarsCV,RandomForestRegressor,linear/CoDE,linear/CoDE_toZero,linear/CoDE_10p_toZero,linear/CoDE_20p_toZero,linear/CoDE_10p_lr_toZero,linear/CoDE_20p_lr_toZero,linear/CoDE_random10p_toZero,linear/CoDE_random20p_toZero,linear/CoDE_random30p_toZero
ant-1.3,0.8004848484848485,0.9423030303030304,0.8181818181818182,0.816,0.8111515151515152,0.8046060606060607,0.8113939393939394,0.807030303030303,0.8099393939393941,0.8067878787878788,0.8029090909090909
ant-1.4,0.7241214439397562,0.9031795362180254,0.7538847716949558,0.7544824288787951,0.7543628974420272,0.7550800860626344,0.7557972746832416,0.7554386803729379,0.7520918001434377,0.7537652402581879,0.7538847716949558
ant-1.5,0.824183325207216,0.9513408093612872,0.8637737688932228,0.8642613359336909,0.8656265236470014,0.8639687957094101,0.8671867381764993,0.8644563627498781,0.8604583130180401,0.8599707459775721,0.8567528035104827
ant-1.6,0.8244147157190636,0.9117351046698872,0.8293849869936827,0.8297101449275363,0.8296482100829927,0.8328223708658491,0.8286262851480243,0.8324043106651803,0.8298340146166233,0.8312585160411248,0.8321333457203023
ant-1.7,0.8288868591398276,0.9257396449704142,0.8356697510027402,0.8354632460982486,0.8350144950557961,0.8350144950557961,0.8347166514435487,0.8350184663039594,0.8355228148206981,0.8348874151145705,0.8350740637782456
camel-1.0,0.5014749262536873,0.983354403708386,0.8714707121786768,0.8725242309313106,0.8721028234302571,0.8697850821744627,0.8739991571849979,0.8649388959123473,0.8674673409186684,0.8628318584070797,0.8592498946481247
camel-1.2,0.6756560042347247,0.8854465996168582,0.7148240572696108,0.7148807723331316,0.7190824132889696,0.7167492185924581,0.719134402097197,0.7174802127445049,0.7117330863077234,0.7110225725952813,0.7079126966122202
camel-1.4,0.7701047514719979,0.9470987950157471,0.7924106531562372,0.7934410516226208,0.7945416267287416,0.7938929207175134,0.7923798438997672,0.7945638778584143,0.7882034780227304,0.7871046145419691,0.7873784745994796
camel-1.6,0.7875025906735751,0.9447927461139896,0.7911544041450778,0.7959067357512953,0.7941264248704664,0.7950466321243523,0.7949119170984456,0.7964207253886011,0.7875430051813471,0.7900808290155441,0.7817440414507772
ivy-1.1,0.7954993620229672,0.8585624250860302,0.8238410083903646,0.8227583806982949,0.8263542512469552,0.8256196110273364,0.8254649499284692,0.8260062637745041,0.8255809457526195,0.8219850752039594,0.8221397363028264
ivy-1.4,0.8095896726602121,0.9721069617335176,0.8607653296449977,0.8603042876901799,0.8582295988934993,0.8455509451360074,0.8566159520516367,0.8460119870908253,0.8506224066390041,0.8365606270170586,0.8319502074688797
ivy-2.0,0.8296976461038961,0.9559659090909092,0.8595271915584416,0.8577516233766234,0.8592228084415584,0.8561789772727273,0.8578530844155844,0.8566355519480521,0.8553165584415584,0.8552658279220781,0.8531858766233766
jedit-3.2,0.8607560825377272,0.9141419002155836,0.8672717123498614,0.8674160763781953,0.8738739605789959,0.8736910994764397,0.8734119956883277,0.8748075146288882,0.8657510779180783,0.8656740837696335,0.8644710502001848
jedit-4.0,0.8537509399039852,0.93284024524264,0.8587107409335416,0.862687257793973,0.8647695066227081,0.866172132569842,0.8646682861935334,0.8640609636184857,0.8550957256058765,0.8552258661576725,0.8572936549250969
jedit-4.1,0.8364498404820986,0.9245982512111544,0.8511166253101737,0.8509393831974477,0.8505110480916932,0.8504224270353302,0.8505110480916932,0.8515597305919886,0.8498020796407894,0.8511904761904762,0.8498759305210918
jedit-4.2,0.8916765204873786,0.959732147447432,0.8910081743869209,0.8979486915839803,0.8980515140609737,0.8977687522492417,0.8974859904375097,0.8993625006426405,0.8907511181944373,0.89023700580947,0.8861241067297311
jedit-4.3,0.5010162601626016,0.9860264227642276,0.8985433604336044,0.8995596205962059,0.9147188346883468,0.9087059620596206,0.8929539295392954,0.9070968834688348,0.8997289972899729,0.8873644986449865,0.8893970189701897
log4j-1.0,0.8191863995142684,0.916575591985428,0.848087431693989,0.8454159077109897,0.8451730418943534,0.8474802671523983,0.8397085610200364,0.8459016393442623,0.8449301760777171,0.8450516089860353,0.8439587128111719
log4j-1.1,0.8287817367185834,0.8939620226157456,0.8423298485171752,0.8384894388734798,0.8406229997866439,0.8403029656496693,0.8401962876040111,0.8404096436953274,0.8400896095583529,0.8388094730104545,0.8378493705995306
log4j-1.2,0.5851993339210501,0.6514154177686355,0.5988539523949457,0.5982662356744051,0.599422078558135,0.5972230384954452,0.598080125379567,0.5972475266921344,0.5954158095797826,0.5952101087275933,0.5932902341071603
lucene-2.0,0.7671928817451206,0.8764638346727899,0.7800995024875622,0.7817068503635668,0.7811327975507081,0.7795063145809414,0.7810753922694221,0.7804630692690394,0.7797933409873709,0.7792958285495599,0.778798316111749
lucene-2.2,0.7161640165072659,0.8358661425022981,0.7316738054724324,0.7324023548279841,0.7315711240196366,0.7311799565804142,0.7319085059359659,0.7319133955289562,0.73005535019265,0.7293316904300886,0.7295468325216609
lucene-2.4,0.7252745718540581,0.8265799516008935,0.7345169396872673,0.7360154504839911,0.7368065897244974,0.7363458674609085,0.7367972822040209,0.7368391660461653,0.7328974311243485,0.7319015264333582,0.7302866716306776
poi-1.5,0.6570928023293113,0.8247896464085671,0.6929269375971574,0.6969119352530412,0.6967762232585684,0.6988489155377896,0.6898364053593901,0.6961346756483332,0.6884114294174254,0.6802255286599057,0.6791891825202951
poi-2.0,0.5015923566878981,0.9455332353421524,0.8149599869345092,0.8158582394251184,0.8143067123958844,0.8135717785399315,0.8167564919157276,0.8114486362894007,0.8121019108280255,0.8124285480973379,0.8156949207904622
poi-2.5,0.6439228110599078,0.7586772098868874,0.6809488898198576,0.6830802262253876,0.6862693757855048,0.6897674905739422,0.6853608085462924,0.6894794721407624,0.6805351906158358,0.6815458734813573,0.6846381441139505
poi-3.0,0.7015316742081448,0.7939728506787328,0.7155837104072398,0.7189909502262444,0.7194253393665159,0.7196696832579186,0.7218959276018101,0.7197737556561086,0.7157398190045249,0.7164162895927602,0.7159185520361991
synapse-1.0,0.821656050955414,0.9626933575978162,0.8610858356081286,0.8647255080376101,0.8619957537154991,0.8583560812860176,0.8644222020018199,0.8586593873218077,0.8601759175007583,0.8589626933575978,0.8553230209281165
synapse-1.1,0.7464282464282465,0.9010601510601509,0.7891527891527892,0.7882882882882883,0.7836927836927837,0.7728637728637728,0.7852397852397852,0.7765037765037766,0.7879242879242879,0.780917280917281,0.7805077805077805
synapse-1.2,0.7011853448275862,0.8811961206896551,0.7465786637931034,0.7456088362068966,0.7443157327586207,0.7462553879310345,0.7435614224137931,0.7433728448275863,0.741540948275862,0.7421336206896552,0.7378771551724138
velocity-1.4,0.6497570456754129,0.7136175898931001,0.63955296404276,0.6357628765792032,0.6319727891156462,0.6317541302235179,0.6313654033041788,0.6337949465500486,0.6309523809523809,0.6294460641399416,0.6299562682215744
velocity-1.5,0.7017675127763503,0.7901502103509614,0.7036169071349917,0.7086992122427083,0.7071604031962052,0.7113391873958833,0.7094756755230539,0.7127085862721292,0.7034898495072988,0.7014710449784002,0.7035886721066155
velocity-1.6,0.7757986669731096,0.8979315099977017,0.7879797747644219,0.7880027579866697,0.7890370029878189,0.7840496437600551,0.7891289358768099,0.7856125028729027,0.7812686738680763,0.7765571133072857,0.7765800965295334
xalan-2.4,0.77753839060893,0.9421791325318296,0.8059634003617406,0.8054934922154839,0.8050235840692272,0.8039153101393766,0.8052895698123914,0.8035783948647021,0.8039330425222542,0.8027272404865766,0.801344114622123
xalan-2.5,0.6584934555679854,0.8106793498017087,0.6659935786938341,0.6643706627454016,0.6622271003510846,0.6635392701099689,0.662060587298572,0.6639344454529038,0.6617017633966786,0.6583773654820787,0.662567162218892
xalan-2.6,0.6930576271186439,0.8246725423728813,0.7090657627118644,0.7071575141242938,0.7071376271186439,0.7073093785310735,0.7070065536723164,0.7070164971751413,0.7067480225988699,0.7053369491525424,0.7049301694915254
xalan-2.7,0.5668704545640054,0.6073922313913172,0.5758876382279613,0.5756060354592756,0.575244169099515,0.5749802515288627,0.5752877018946743,0.5749974832602799,0.5754446013438936,0.5748886512723821,0.5749163127359727
xerces-init,0.6756302210394026,0.8270865676055297,0.764378650107193,0.7595549641457825,0.7536778295261329,0.7513861166555778,0.7540104975234716,0.7534560508612405,0.7621054187920455,0.7567457677238116,0.7549345752938568
xerces-1.2,0.5870948616600791,0.9255731225296444,0.7330830039525692,0.7320355731225296,0.7203162055335969,0.7246442687747036,0.724703557312253,0.7229644268774703,0.7231422924901186,0.7218774703557312,0.7156324110671937
xerces-1.3,0.7880909080511044,0.9567191664093149,0.8578618078669549,0.8540301273032975,0.8579533106863855,0.8607098331217331,0.8604010111061547,0.8588340253234052,0.8506788365416509,0.8499696896910636,0.8517425568175321
xerces-1.4,0.763730116106593,0.8285770761938861,0.7720939252894141,0.7719159719025455,0.771751871174535,0.769581266090396,0.7715270318653777,0.7696835626481169,0.7711652643513546,0.7699941818832796,0.7697480307912639
