filename,LassoLarsCV,RandomForestRegressor,linear/CoDE,linear/CoDE_toZero,linear/CoDE_10p_toZero,linear/CoDE_20p_toZero,linear/CoDE_10p_lr_toZero,linear/CoDE_20p_lr_toZero,linear/CoDE_random10p_toZero,linear/CoDE_random20p_toZero,linear/CoDE_random30p_toZero
ant-1.3,4.0,0.0,21.0,21.0,21.0,19.0,20.0,14.0,17.0,19.0,11.0
ant-1.4,5.0,0.0,21.0,19.0,17.0,15.0,15.0,16.0,19.0,15.0,13.0
ant-1.5,8.0,0.0,21.0,18.0,17.0,16.0,17.0,17.0,17.0,10.0,19.0
ant-1.6,4.0,0.0,21.0,14.0,15.0,17.0,20.0,16.0,11.0,10.0,10.0
ant-1.7,14.0,0.0,21.0,20.0,17.0,17.0,15.0,15.0,17.0,12.0,13.0
camel-1.0,1.0,0.0,21.0,20.0,18.0,16.0,19.0,18.0,19.0,14.0,15.0
camel-1.2,5.0,0.0,21.0,18.0,18.0,16.0,17.0,17.0,18.0,14.0,12.0
camel-1.4,6.0,0.0,21.0,18.0,16.0,15.0,16.0,18.0,20.0,16.0,16.0
camel-1.6,21.0,0.0,21.0,17.0,16.0,15.0,16.0,14.0,15.0,17.0,18.0
ivy-1.1,9.0,0.0,21.0,21.0,17.0,16.0,16.0,16.0,21.0,14.0,15.0
ivy-1.4,4.0,0.0,21.0,18.0,19.0,19.0,18.0,19.0,14.0,17.0,15.0
ivy-2.0,3.0,0.0,21.0,21.0,19.0,15.0,20.0,18.0,20.0,14.0,9.0
jedit-3.2,15.0,0.0,21.0,18.0,16.0,15.0,16.0,15.0,20.0,16.0,17.0
jedit-4.0,15.0,0.0,21.0,18.0,18.0,17.0,17.0,17.0,14.0,17.0,11.0
jedit-4.1,21.0,0.0,21.0,20.0,18.0,17.0,19.0,17.0,17.0,16.0,11.0
jedit-4.2,21.0,0.0,21.0,19.0,15.0,13.0,15.0,15.0,20.0,15.0,10.0
jedit-4.3,1.0,0.0,21.0,19.0,18.0,16.0,18.0,17.0,17.0,12.0,13.0
log4j-1.0,12.0,0.0,21.0,18.0,18.0,15.0,19.0,16.0,16.0,15.0,13.0
log4j-1.1,8.0,0.0,21.0,20.0,19.0,16.0,17.0,16.0,17.0,15.0,17.0
log4j-1.2,7.0,0.0,21.0,18.0,18.0,17.0,17.0,19.0,18.0,18.0,14.0
lucene-2.0,9.0,0.0,21.0,18.0,18.0,16.0,16.0,16.0,18.0,12.0,8.0
lucene-2.2,6.0,0.0,21.0,19.0,20.0,17.0,18.0,17.0,20.0,14.0,11.0
lucene-2.4,10.0,0.0,21.0,17.0,17.0,15.0,17.0,16.0,16.0,20.0,12.0
poi-1.5,5.0,0.0,21.0,19.0,17.0,17.0,17.0,17.0,12.0,13.0,12.0
poi-2.0,1.0,0.0,21.0,18.0,18.0,16.0,18.0,14.0,18.0,18.0,16.0
poi-2.5,2.0,0.0,21.0,16.0,15.0,16.0,16.0,15.0,13.0,12.0,9.0
poi-3.0,2.0,0.0,21.0,18.0,17.0,16.0,17.0,13.0,15.0,12.0,9.0
synapse-1.0,6.0,0.0,21.0,19.0,20.0,15.0,18.0,16.0,21.0,10.0,12.0
synapse-1.1,6.0,0.0,21.0,21.0,19.0,15.0,19.0,16.0,18.0,12.0,13.0
synapse-1.2,5.0,0.0,21.0,19.0,19.0,13.0,18.0,16.0,18.0,10.0,8.0
velocity-1.4,20.0,0.0,21.0,21.0,20.0,17.0,20.0,18.0,19.0,18.0,17.0
velocity-1.5,9.0,0.0,21.0,17.0,18.0,16.0,16.0,16.0,19.0,10.0,10.0
velocity-1.6,11.0,0.0,21.0,18.0,16.0,16.0,19.0,17.0,15.0,16.0,10.0
xalan-2.4,4.0,0.0,21.0,20.0,18.0,17.0,19.0,18.0,17.0,16.0,14.0
xalan-2.5,19.0,0.0,21.0,19.0,18.0,13.0,16.0,10.0,15.0,8.0,7.0
xalan-2.6,6.0,0.0,21.0,21.0,16.0,17.0,17.0,18.0,14.0,13.0,11.0
xalan-2.7,5.0,0.0,21.0,20.0,17.0,16.0,19.0,16.0,17.0,17.0,16.0
xerces-init,5.0,0.0,21.0,21.0,18.0,15.0,17.0,17.0,17.0,12.0,11.0
xerces-1.2,5.0,0.0,21.0,18.0,20.0,12.0,17.0,15.0,11.0,18.0,14.0
xerces-1.3,4.0,0.0,21.0,19.0,17.0,16.0,15.0,17.0,15.0,11.0,13.0
xerces-1.4,11.0,0.0,21.0,18.0,18.0,18.0,20.0,16.0,17.0,12.0,14.0
