filename,FPA,AAE,numOfNonZero
ant-1.3,0.8082424242424242,667.8492798507284,21
ant-1.4,0.748147262730098,191.05611053983023,21
ant-1.5,0.8620185275475378,264.91024338237713,21
ant-1.6,0.8279295181469094,1042.7061926659903,21
ant-1.7,0.8351693737341647,673.7801801089105,21
camel-1.0,0.8685208596713021,446.92090597709966,21
camel-1.2,0.7080592105263158,170.99180418862912,21
camel-1.4,0.7880220457346296,232.23249432489834,21
camel-1.6,0.7860186528497409,155.63831669968667,21
ivy-1.1,0.8239570042145149,397.7214651415629,21
ivy-1.4,0.8434762563393269,494.47144551953454,21
ivy-2.0,0.858208198051948,545.5667937304248,21
jedit-3.2,0.866578765013859,534.7932861556156,21
jedit-4.0,0.8551101856671872,657.0248639350689,21
jedit-4.1,0.8493294340068533,433.65443479533525,21
jedit-4.2,0.8888746079893065,441.7849403678983,21
jedit-4.3,0.8916836043360433,494.7247121885441,21
log4j-1.0,0.8435944140862174,367.2187734692739,21
log4j-1.1,0.8412630680605931,375.3483330901241,21
log4j-1.2,0.5965422666274856,149.01921517185372,21
lucene-2.0,0.7796019900497513,288.4332147408954,21
lucene-2.2,0.7314244362299283,983.9885221380895,21
lucene-2.4,0.7336094564408042,344.7016464789702,21
poi-1.5,0.6919337725466973,420.9932462875116,21
poi-2.0,0.8146333496651968,195.8274736800698,20
poi-2.5,0.6751047339757017,465.5775570693298,21
poi-3.0,0.7124162895927602,595.2743430557671,21
synapse-1.0,0.8531998786775857,616.2178447962247,21
synapse-1.1,0.7886522886522886,342.07630229475865,21
synapse-1.2,0.7430495689655172,448.78757878650777,21
velocity-1.4,0.6332118561710398,343.0183074209842,21
velocity-1.5,0.6971087330942768,955.7195848025881,21
velocity-1.6,0.7843139508159044,177.5953503275558,21
xalan-2.4,0.8046068730716034,771.8591581766007,21
xalan-2.5,0.6636154908734431,479.0796590011843,21
xalan-2.6,0.7084845197740113,666.1158047801055,21
xalan-2.7,0.5756627187863057,1298.8186293726053,21
xerces-init,0.7637317956679234,776.9770694820216,21
xerces-1.2,0.7196442687747036,545.0865527337804,21
xerces-1.3,0.8550023447597479,214.42391561891685,21
xerces-1.4,0.7711290343204951,569.5634208965089,21
