filename,FPA,AAE
ant-1.3,0.8143030303030303,0.3254464705475524
ant-1.4,0.7507769543389912,0.33934712300501235
ant-1.5,0.8249634324719649,0.17195192263431938
ant-1.6,0.8237953672736281,0.49274929414242086
ant-1.7,0.8261586116516421,0.45514588408511547
camel-1.0,0.8419721871049305,0.0788337421380302
camel-1.2,0.6977433706392417,0.9724560559751094
camel-1.4,0.7720560043817609,0.5407305847002944
camel-1.6,0.7872290155440415,0.7434454293578426
ivy-1.1,0.809573522019874,1.0531442466333145
ivy-1.4,0.8559243891194098,0.10322101407175122
ivy-2.0,0.8609476461038961,0.2161079002430624
jedit-3.2,0.8605732214351709,1.1616335620030498
jedit-4.0,0.8537509399039852,0.6737516530044444
jedit-4.1,0.8374985229823939,0.5926960248971844
jedit-4.2,0.8916765204873786,0.3248881158194246
jedit-4.3,0.8219850948509485,0.05155165440613932
log4j-1.0,0.8256223436551305,0.37475183665681944
log4j-1.1,0.8469170044804779,0.556255337619284
log4j-1.2,0.5982564403957292,0.8493387763724244
lucene-2.0,0.7711060084194412,1.1145787603995734
lucene-2.2,0.719699192239238,1.4429531242429372
lucene-2.4,0.732753164556962,1.2059526846437651
poi-1.5,0.6940804895501764,1.1536857287578304
poi-2.0,0.7704556589906908,0.18125060301107235
poi-2.5,0.6763772517804776,0.7557148161004248
poi-3.0,0.6943122171945701,0.7983397166808198
synapse-1.0,0.8528965726417955,0.22113295229339971
synapse-1.1,0.7934297934297935,0.48265243792835294
synapse-1.2,0.7329337284482759,0.5630232947964091
velocity-1.4,0.6493683187560738,0.4907392161117384
velocity-1.5,0.7056215941497022,0.9361800003883288
velocity-1.6,0.7777982073086647,0.770610367830697
xalan-2.4,0.7850037238004043,0.2968261987135915
xalan-2.5,0.6586716948918017,0.6102302924804007
xalan-2.6,0.6964221468926554,0.6040825798715973
xalan-2.7,0.567420509569506,0.4060705652787623
xerces-init,0.7510349671028314,0.8253039654868004
xerces-1.2,0.7323913043478261,0.3997481284038912
xerces-1.3,0.8013588168685447,0.6427989624180538
xerces-1.4,0.7583158576713893,1.7280416949539792
