filename,LinearRegression,RidgeCV,LassoLarsCV,linear/CoDE,linear/CoDE_toZero,linear/CoDE_10p_toZero,linear/CoDE_20p_toZero,linear/CoDE_10p_lr_toZero,linear/CoDE_20p_lr_toZero,MLP/CoDE,MLP/CoDE_toZero,MLP/CoDE_10p_toZero,MLP/CoDE_20p_toZero,MLP/CoDE_10p_lr_toZero,MLP/CoDE_20p_lr_toZero
ant-1.3,0.30932341319747464,0.3526801643686704,0.4033361938827222,304401.2810008837,311414.3797146793,596233.8014433911,2053463.1986941241,590749.4424774238,120934.73068870936,111.51749944647844,109.28197110614236,479.34827163691847,148.06800544453378,109.30984488793995,307.5875417364335
ant-1.4,0.24084726025040035,0.2516730309950365,0.2635132290257541,50792.31934331575,29978.11232055652,54260.434204241785,24483.430152396337,13582.13917370509,55032.00285647328,32.797370376570285,51.62716068101146,6.431788652900576,474.96800347411767,103.97076536804394,98.21760447612073
ant-1.5,0.08154178120613988,0.08481618792917024,0.0889458777542622,629564.6475015561,251906.77361087914,167037.91629015122,387372.4219523352,138507.5851111999,410250.7848324697,134.43043413922058,26.702866190961434,18.47148288947377,219.37330412220302,280.67362651527986,679.477248918734
ant-1.6,0.6811704786002944,0.7115829064098362,0.7680775296170116,662401.9164878796,474028.9115504221,343085.8059414761,241455.19313016642,1568727.5335637613,223133.90330002774,145.8351367708694,185.95916569023962,159.56918573014912,283.0653485389725,721.0848066675305,101.27690026824776
ant-1.7,0.6328130695637695,0.6401410663877939,0.6457423367547496,800339.9540954408,1333545.5920294852,450760.5671637893,500088.77963025274,650931.77998972,589823.8250821739,275.33134383926586,442.5976942429195,158.25529280712004,339.53327273402823,298.9052943431114,480.96799456786965
camel-1.0,0.03999391279118853,0.040922543838823634,0.04549212067420228,104872.71608748368,544393.5450514259,345455.6439429954,61645.467910154635,309955.7806910094,1265538.5151728857,117.23491715214551,47.1796019535206,33.83801956284557,180.13894521846228,84.62044328667089,75.40356208155255
camel-1.2,2.148792799831217,2.2324168778884568,2.7217777780349,19637.777937368544,16580.329280661266,13632.58728575717,16946.245614677988,13511.025941239168,15078.852038978313,165.13815072238313,375.3563050575361,1305.3146749791895,332.3896979749681,175.68233604295978,146.54335012647775
camel-1.4,1.1510333884503057,1.1614019098714945,1.227819832672525,64783.64637494169,22969.096165210743,21557.80615571624,29155.39527007892,39101.90412227759,17412.87159036431,129.83427168206276,174.88330219230443,363.01537626873437,58.8527959589451,47.50651219349193,280.57746027408183
camel-1.6,2.1949065094394986,2.2266197519759805,2.1949065094394986,25774.40987304647,9841.73303885354,25874.976694099107,10464.604318524483,18269.78900948224,7916.094551539747,86.23790090606992,220.58061309892184,30.13983702665349,91.14475296564963,109.0121476500702,93.71697489193106
ivy-1.1,2.21284930720628,2.91579053093759,2.7980623838779644,422882.53084352345,398480.09410071815,51167.51507670666,59832.03151137922,66625.09999869921,66288.64029068245,138.14067144661635,307.6899001145828,280.2086991437328,216.48468515757526,96.981781476109,68.49936554315755
