filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,lasso,ridge
ant-1.3_ant-1.4,0.560363376,0.58988764,0.595983744,0.58319388,0.612957208,0.562036816,0.603633756,0.569925891,0.567176667,0.581759503,0.588931389,0.597776715,0.626822854,0.592995458,0.584389194,0.583911069,0.572914176,0.583791537,0.596939995,0.541238346,0.590365766,0.576261057,0.592039206,0.583911069,0.589409515,0.586062634,0.568132919,0.590246235,0.536815683,0.603872819,0.594429835,0.597657184,0.566100885,0.5882142,0.562156347,0.569686828,0.588094669,0.581759503,0.556657901,0.543748506,0.504781257,0.565861822,0.528926608,0.535620368,0.554625867,0.554267272,0.562873536,0.544465694,0.550920392,0.572196988,0.550083672,0.558331341,0.578054028,0.601840784
ant-1.4_ant-1.5,0.745587518,0.67352511,0.697318381,0.72159922,0.724817162,0.762359824,0.722671867,0.715455875,0.722476841,0.72189176,0.729107752,0.732715748,0.70901999,0.710287665,0.701608971,0.735738664,0.710482691,0.742954656,0.72130668,0.731643101,0.749390541,0.737493905,0.720039005,0.734666017,0.706679668,0.751828376,0.745490005,0.720575329,0.731155534,0.732228181,0.739249147,0.727352511,0.745294978,0.717113603,0.678985861,0.708922477,0.713408094,0.741784495,0.710190151,0.720136519,0.721404193,0.73534861,0.752120917,0.722574354,0.716138469,0.719063871,0.725402243,0.76079961,0.762554851,0.722086787,0.751048269,0.744709898,0.769478303,0.759141882
ant-1.5_ant-1.6,0.70981977,0.735863372,0.753344482,0.722609315,0.717546141,0.712684256,0.733169206,0.719497089,0.717979685,0.756410256,0.700978571,0.725798959,0.69726248,0.693995417,0.744905859,0.741267187,0.720859656,0.756348322,0.779295181,0.748900657,0.722996408,0.763795987,0.740369132,0.753576737,0.748931624,0.757199926,0.77624489,0.73293695,0.713768116,0.777824229,0.747259383,0.744007804,0.739594946,0.741189768,0.674300136,0.678093645,0.688730955,0.751935464,0.759042487,0.734191131,0.678558157,0.747971634,0.761736653,0.684333581,0.760621826,0.765096618,0.753623188,0.753855444,0.733262108,0.770701722,0.788430571,0.758307011,0.817044469,0.807723275
ant-1.6_ant-1.7,0.821214408,0.826702673,0.827346015,0.823084866,0.822536833,0.824447004,0.809328462,0.810035344,0.811973313,0.827985386,0.825217426,0.811433223,0.813724634,0.819381677,0.812985981,0.817120051,0.817155792,0.825908423,0.813986736,0.819872126,0.819081847,0.816838092,0.813234185,0.816987014,0.81663953,0.828225646,0.817227275,0.812056709,0.822276717,0.816987014,0.821623446,0.816665343,0.826933005,0.824955323,0.807001311,0.817092252,0.814614193,0.813029665,0.822564632,0.816524364,0.815503753,0.817247131,0.824327866,0.82669473,0.813359279,0.818831659,0.827661729,0.828275287,0.827661729,0.825924308,0.827971486,0.82279695,0.828346769,0.821790239
camel-1.0_camel-1.2,0.613338753,0.606425817,0.61409968,0.615935042,0.574602364,0.594944167,0.563385385,0.599336434,0.616770014,0.610469916,0.599128479,0.614605389,0.648092483,0.658781697,0.623865699,0.64344815,0.634030298,0.66302745,0.637092912,0.631601003,0.648158651,0.648864438,0.65240913,0.639077939,0.634307572,0.671679648,0.660303552,0.637710476,0.640817201,0.669912029,0.640272106,0.649431589,0.598770859,0.632177606,0.664634377,0.600943361,0.575279794,0.6024085,0.603215114,0.601557774,0.567596479,0.547713123,0.657825418,0.635974365,0.654132638,0.640508419,0.610383268,0.611448251,0.620510057,0.618616405,0.644741568,0.613644384,0.500822368,0.609798788
camel-1.2_camel-1.4,0.73906956,0.750917431,0.755151992,0.73855265,0.749346159,0.763747775,0.731456251,0.752801931,0.75442284,0.767058058,0.763004929,0.769177051,0.779077092,0.747843352,0.768577982,0.761503834,0.761305285,0.764233876,0.763378064,0.757671505,0.77922258,0.768364028,0.767147063,0.758325346,0.761498699,0.766135492,0.773516021,0.757147748,0.778029577,0.736476448,0.73558298,0.73983808,0.757294947,0.765298507,0.776951253,0.775753115,0.753104888,0.771898535,0.758048062,0.760613789,0.775325209,0.772422292,0.780597015,0.77114542,0.774411201,0.773593044,0.759379707,0.754029166,0.774243462,0.769940435,0.774209229,0.768632754,0.759258182,0.694923319
camel-1.4_camel-1.6,0.722290155,0.746892228,0.733776166,0.743898446,0.728899482,0.731066321,0.731819689,0.729496373,0.732097409,0.735430052,0.734302591,0.734370984,0.721684974,0.728403109,0.738384456,0.723235233,0.737503627,0.726688083,0.726240415,0.723769948,0.724234197,0.729558549,0.736667358,0.720498446,0.724618653,0.743359585,0.721363731,0.725401036,0.72637513,0.731422798,0.730606218,0.730715026,0.731197927,0.721825907,0.740068394,0.732420725,0.742733679,0.733270466,0.722032124,0.723541969,0.728870466,0.729690155,0.744118135,0.73839171,0.727527461,0.743411399,0.724464249,0.740236269,0.723471503,0.750596891,0.727797927,0.751102591,0.754406218,0.748862176
ivy-1.1_ivy-1.4,0.80428769,0.747349009,0.753573075,0.746887967,0.711848778,0.736053481,0.767404334,0.727063163,0.730520977,0.774781005,0.752189949,0.790686953,0.790917473,0.766712771,0.746426925,0.772936837,0.6934071,0.781696634,0.758183495,0.759105579,0.754956201,0.746657446,0.742738589,0.768095897,0.775703089,0.784232365,0.766251729,0.764868603,0.772936837,0.783310281,0.749423698,0.778930383,0.770862148,0.755186722,0.751267865,0.789534348,0.767634855,0.75011526,0.7406639,0.789764869,0.783310281,0.805670816,0.761180267,0.760488704,0.77823882,0.763485477,0.771553711,0.765329645,0.741585984,0.75242047,0.769940065,0.746657446,0.768326418,0.773167358
ivy-1.4_ivy-2.0,0.791091721,0.779880276,0.802404627,0.765219156,0.761566558,0.775821834,0.77536526,0.746651786,0.822443182,0.809253247,0.791852679,0.775923295,0.803064123,0.810775162,0.798904221,0.812297078,0.74512987,0.822341721,0.839539367,0.651227679,0.756290584,0.805245536,0.808644481,0.667359984,0.766487419,0.831676136,0.834567776,0.746651786,0.801390016,0.786221591,0.801592938,0.829596185,0.811586851,0.828632305,0.800578328,0.784446023,0.783989448,0.773691153,0.782416802,0.598062094,0.796367695,0.767755682,0.812094156,0.799157873,0.714590097,0.748173701,0.78617086,0.817775974,0.811789773,0.793526786,0.771256088,0.795758929,0.748122971,0.505986201
jedit-3.2_jedit-4.0,0.847012551,0.836832668,0.838625716,0.829602638,0.854242582,0.8301955,0.838336515,0.830730522,0.853910001,0.848791139,0.84198045,0.842949274,0.848574238,0.845985887,0.845761756,0.850280525,0.847157152,0.842862514,0.843137255,0.847793395,0.844684481,0.849933484,0.849398461,0.847721094,0.847605414,0.838249754,0.847410203,0.847200532,0.842443172,0.841076696,0.842703453,0.842428712,0.847055932,0.846882411,0.846896871,0.84681011,0.850034704,0.848501938,0.840592284,0.847316213,0.845407485,0.840201862,0.834547978,0.835169761,0.842110591,0.834128637,0.842284111,0.831815027,0.836225346,0.852304934,0.847128232,0.843918098,0.838162994,0.835285442
