filename,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_MSE,FPA,FPA
ant-1.3_ant-1.4,0.583911069,0.581639971,0.588931389,0.597776715,0.584389194,0.597776715,0.567176667,0.626822854,0.583911069,0.583791537,0.596939995,0.541238346,0.592039206,0.541238346,0.572914176,0.597896247,0.597657184,0.585823572,0.568132919,0.590246235,0.594429835,0.590246235,0.589409515,0.536815683,0.554267272,0.562873536,0.554625867,0.550083672,0.558331341,0.572196988,0.578054028,0.601840784
ant-1.4_ant-1.5,0.735738664,0.72189176,0.729107752,0.732715748,0.701608971,0.732715748,0.722476841,0.70901999,0.734666017,0.742954656,0.72130668,0.731643101,0.720039005,0.731643101,0.710482691,0.749390541,0.727352511,0.751828376,0.745490005,0.720575329,0.739249147,0.720575329,0.706679668,0.731155534,0.719063871,0.725402243,0.716138469,0.751048269,0.744709898,0.722086787,0.769478303,0.759141882
ant-1.5_ant-1.6,0.741267187,0.756410256,0.700978571,0.725798959,0.744905859,0.725798959,0.717979685,0.69726248,0.753576737,0.756348322,0.779295181,0.748900657,0.740369132,0.748900657,0.720859656,0.722996408,0.744007804,0.757199926,0.77624489,0.73293695,0.747259383,0.73293695,0.748931624,0.713768116,0.765096618,0.753623188,0.760621826,0.788430571,0.758307011,0.770701722,0.817044469,0.807723275
ant-1.6_ant-1.7,0.817120051,0.827985386,0.825217426,0.811433223,0.812985981,0.811433223,0.811973313,0.813724634,0.816987014,0.825908423,0.813986736,0.819872126,0.813234185,0.819872126,0.817155792,0.819081847,0.816665343,0.828225646,0.817227275,0.812056709,0.821623446,0.812056709,0.81663953,0.822276717,0.818831659,0.827661729,0.813359279,0.827971486,0.82279695,0.825924308,0.828346769,0.821790239
camel-1.0_camel-1.2,0.64344815,0.610469916,0.599128479,0.614605389,0.623865699,0.614605389,0.616770014,0.648092483,0.639077939,0.663099919,0.637092912,0.631601003,0.65240913,0.631601003,0.634030298,0.648158651,0.644998362,0.671433883,0.660303552,0.637710476,0.640272106,0.637710476,0.634307572,0.640817201,0.640508419,0.610383268,0.654132638,0.644741568,0.613644384,0.618616405,0.500822368,0.609798788
camel-1.2_camel-1.4,0.761503834,0.767058058,0.763004929,0.769177051,0.768577982,0.769177051,0.75442284,0.779077092,0.758325346,0.764233876,0.763378064,0.757671505,0.767147063,0.757671505,0.761305285,0.77922258,0.73983808,0.766135492,0.773516021,0.757147748,0.73558298,0.757147748,0.761498699,0.778029577,0.773593044,0.759379707,0.774411201,0.774209229,0.768632754,0.769940435,0.759258182,0.694923319
camel-1.4_camel-1.6,0.723235233,0.735430052,0.734302591,0.734370984,0.738384456,0.734370984,0.732097409,0.721684974,0.720498446,0.726688083,0.726240415,0.723769948,0.736667358,0.723769948,0.737503627,0.724234197,0.730715026,0.743359585,0.721363731,0.725401036,0.730606218,0.725401036,0.724618653,0.72637513,0.743411399,0.724464249,0.727527461,0.727797927,0.751102591,0.750596891,0.754406218,0.748862176
ivy-1.1_ivy-1.4,0.772936837,0.774781005,0.752189949,0.790686953,0.746426925,0.790686953,0.730520977,0.790917473,0.768095897,0.781696634,0.758183495,0.759105579,0.742738589,0.759105579,0.6934071,0.754956201,0.778930383,0.784232365,0.766251729,0.764868603,0.749423698,0.764868603,0.775703089,0.772936837,0.76417704,0.771553711,0.77823882,0.769940065,0.746657446,0.75242047,0.768326418,0.773167358
ivy-1.4_ivy-2.0,0.812297078,0.809253247,0.791852679,0.775923295,0.798904221,0.775923295,0.822443182,0.803064123,0.667359984,0.822341721,0.839539367,0.651227679,0.808644481,0.651227679,0.74512987,0.756290584,0.829596185,0.831676136,0.834567776,0.746651786,0.801592938,0.746651786,0.766487419,0.801390016,0.748173701,0.78617086,0.714590097,0.771256088,0.795758929,0.793526786,0.748122971,0.505986201
jedit-3.2_jedit-4.0,0.850280525,0.848791139,0.84198045,0.842949274,0.845761756,0.842949274,0.853910001,0.848574238,0.847721094,0.842862514,0.843137255,0.847793395,0.849398461,0.847793395,0.847157152,0.844684481,0.842428712,0.838249754,0.847410203,0.847200532,0.842703453,0.847200532,0.847605414,0.842443172,0.834128637,0.842284111,0.842110591,0.847128232,0.843918098,0.852304934,0.838162994,0.835285442
