filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,21,21,21,21,21,21,21,21,17,4,2,13,1,2,3,7,13,3,3,9,1,2,2,5,6,4,2,6,4,3,5,5,9,1,14,1,1,2,15,19,15,7,1,8,13,5,1,1,2,7,3,2
ant-1.4_ant-1.5,21,21,21,21,21,21,21,21,15,4,4,9,3,3,5,3,9,1,6,7,3,2,4,4,6,2,4,6,3,3,3,2,1,1,18,2,3,1,16,19,14,11,1,4,10,8,2,1,2,8,3,3
ant-1.5_ant-1.6,21,21,21,21,21,21,21,21,10,4,5,14,3,2,4,4,3,6,3,11,2,4,1,4,5,4,5,10,3,3,4,3,7,2,15,4,2,2,13,18,11,11,2,9,12,10,3,2,3,7,3,6
ant-1.6_ant-1.7,21,21,21,21,21,21,21,21,16,3,2,12,3,2,4,4,10,3,2,9,3,1,4,3,5,2,2,6,3,4,2,4,8,2,12,1,1,1,12,16,15,7,1,3,10,7,1,1,2,7,1,2
camel-1.0_camel-1.2,21,21,21,21,21,21,21,21,19,3,5,19,5,5,4,5,11,4,2,14,4,5,3,4,13,2,4,7,3,3,4,2,4,2,16,5,5,1,15,15,15,8,1,5,13,7,4,1,2,6,2,3
camel-1.2_camel-1.4,21,21,21,21,21,21,21,21,12,10,3,16,4,5,1,3,8,2,1,9,4,2,4,2,13,1,3,8,3,3,4,2,7,2,14,5,3,2,18,15,17,7,2,10,12,13,7,1,3,8,6,3
camel-1.4_camel-1.6,21,21,21,21,21,21,21,21,14,6,5,17,2,1,2,2,15,2,3,5,3,2,4,5,4,1,3,7,3,3,3,5,7,1,12,5,5,1,12,15,17,14,1,8,9,10,4,1,3,10,3,2
ivy-1.1_ivy-1.4,21,21,21,21,21,21,21,21,14,1,3,14,3,6,3,3,6,3,4,13,6,2,4,3,4,3,7,7,3,2,4,2,9,2,18,4,7,1,13,13,15,7,1,7,11,8,2,1,4,11,7,2
ivy-1.4_ivy-2.0,21,21,21,21,21,21,21,21,17,4,9,13,2,3,6,4,10,6,2,10,2,3,2,3,6,2,3,9,4,3,3,3,6,7,13,6,5,1,17,16,14,14,1,10,17,12,3,1,3,7,4,1
jedit-3.2_jedit-4.0,21,21,21,21,21,21,21,21,9,5,6,14,2,3,3,5,11,4,5,10,3,1,2,3,8,2,4,5,4,4,4,3,3,2,17,2,2,1,15,17,16,10,1,4,13,11,6,1,2,6,4,4
jedit-4.0_jedit-4.1,21,21,21,21,21,21,21,21,11,3,4,11,3,5,4,7,11,4,2,5,3,4,3,2,4,2,3,4,2,3,3,2,5,3,14,2,2,2,16,18,18,8,1,4,12,8,2,1,3,9,6,3
jedit-4.1_jedit-4.2,21,21,21,21,21,21,21,21,14,4,5,14,4,2,3,4,7,5,4,5,2,4,6,2,6,6,2,10,5,3,2,4,6,1,15,1,1,1,16,16,16,2,1,10,11,7,2,1,2,5,5,2
jedit-4.2_jedit-4.3,21,21,21,21,21,21,21,21,12,5,4,15,2,5,3,6,4,3,1,9,3,3,4,3,4,1,4,6,3,4,4,2,4,1,13,1,4,1,19,15,16,10,2,9,12,9,3,2,2,7,3,2
log4j-1.0_log4j-1.1,21,21,21,21,21,21,21,21,14,4,3,9,3,1,2,5,9,1,3,10,4,3,3,6,3,1,4,5,2,3,6,2,6,1,19,1,2,1,17,20,13,12,1,8,11,9,4,1,4,6,5,4
log4j-1.1_log4j-1.2,21,21,21,21,21,21,21,21,16,8,3,12,4,2,4,3,8,2,3,10,5,5,4,3,3,1,3,11,2,2,5,4,8,1,15,4,8,1,17,17,19,10,1,7,13,11,6,2,4,8,5,2
lucene-2.0_lucene-2.2,21,21,21,21,21,21,21,21,15,4,3,13,4,5,3,4,9,3,4,13,2,3,2,5,6,1,2,7,3,1,3,3,5,3,16,4,1,1,15,15,16,6,1,6,12,11,3,1,3,8,2,1
lucene-2.2_lucene-2.4,21,21,21,21,21,21,21,21,14,3,3,16,2,4,4,4,10,1,2,5,3,2,4,4,5,2,4,9,2,1,3,1,12,6,17,2,1,1,17,16,15,9,2,7,12,7,6,1,2,6,4,1
poi-1.5_poi-2.0,21,21,21,21,21,21,21,21,14,5,4,16,3,3,6,7,9,7,4,16,4,2,3,3,11,1,3,5,3,2,3,4,4,3,14,3,3,1,17,17,21,8,1,10,15,7,7,1,3,6,6,3
