filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,2775.765943,1092665.232,326424.2815,5207.030886,2830.614748,641.3272856,666.974306,371.155255,877.3954639,3915248.548,149677.7424,1467.913335,2.2676934,0.380197064,448.2104539,2387.440052,3248.683254,704651.0501,3.835374469,569.5236527,0.391174529,34.60236957,0.685837253,0.810005979,654.9240516,9328405.022,0.354387228,159.0562883,121.8133855,303.3765276,12579.36176,27.17665581,748964.1246,8266.888313,1273.758233,2235.649285,0.93272082,157611.4144,0.317691375,0.390707417,0.349754861,0.581913728,0.365168538,0.370995351,0.420668258,0.355602868,0.309519241,0.361997236,0.365100552,0.338819579,0.315779401,0.311071956
ant-1.4_ant-1.5,6709.615137,552395.9455,704.6860255,24426.27174,11309.37802,14223.24473,31665.78306,918.7919351,45492.81381,19384.10489,0.128179215,297.8054402,124.3793275,3.689506978,1527.852217,0.11385644,3168.349384,33.00868909,359.3523107,428.416336,7.56654701,0.651166441,42.0682486,0.127132069,1348.10927,13072.20685,3.414097949,170.0585707,0.169237316,356.3443847,4.80829686,0.385101485,277.6082463,128.1752125,160258.499,44.85157396,4845.522549,0.139634258,0.124437548,0.249101666,1.848495267,0.111218261,0.139931732,0.139922842,0.128668705,0.163060151,0.135802342,0.139907922,0.139876772,0.123400068,0.139269663,0.130108467
ant-1.5_ant-1.6,4716.973782,818742.1147,85522.01317,9790.033882,15680.82723,3598.723046,17074.29302,879.912474,6293.588966,179982.6355,636.2590545,4071.214629,1106.896766,13.16119565,4266.549007,23.8628571,340.2498235,465555.1495,11.76721382,920.5844758,50.20506188,1157.044761,17.82039899,431.3588704,1554.99686,180751.6454,18734.84516,10373.40121,28.28939667,118.8276,3.132329798,13.44427138,829188.0797,1750.894234,1672.146951,1581.098104,3264.792275,264.3247927,10.46166569,3.316522338,1.066946509,4.883539831,1.130908359,1.632313058,1.502107128,1.470903868,1.414120485,1.857514929,1.652355775,1.384511904,1.486200058,1.396698564
ant-1.6_ant-1.7,8365.418123,64001645.34,6712.314079,2909.843817,8475.568924,3788.80722,2159.359859,478.6040363,2655.779901,552132.4217,757189.5375,1941.466242,944.9996581,1.005523631,9490.41507,0.812157397,2367.283121,31229073.41,1.30453727,3285.831979,1.564558019,0.780102323,0.807535518,0.775475418,1134.534201,57066.86042,0.904481498,6041.60862,66.69205633,3.301249451,876.6233811,0.79414304,54318115.83,1952974.58,1216.781803,2.154059048,252.3296348,1.485754042,1.140615407,0.814108755,0.790826742,0.828604443,1.500671141,0.967506137,0.830116245,0.869864356,0.785653056,1.407641869,1.462000631,1.030363436,0.776252072,0.749788286
camel-1.0_camel-1.2,2440.172948,2575041.199,22937.04103,508.0569161,3468.579614,614.2887708,1245.063646,4372.8037,4275.360402,86729.33322,912.7285592,2187.257965,2986.054057,36.96841464,3.520719913,9054.391825,4067.323867,166644.6594,84.33837314,1473.746431,35.34132853,4205.447106,129.0529406,2.899485341,6110.966114,82607.41279,20.85898379,647.6766874,194.5206634,5066.559593,413.3608339,82.57619832,211138.338,1388.786009,2109.570254,99.91857332,3345.517565,2530.82619,4.322164847,3.437606442,4.240738715,4.299483548,4.341534572,4.181733324,4.153827622,4.244169471,4.326684669,4.342105144,4.200082703,4.146345757,4.184475159,3.723028595
camel-1.2_camel-1.4,954.0438921,362060.7649,2024.724602,5181.408612,2907.151537,34.33012642,1108.097806,1688.149609,1111.826588,12011.52838,9.771350331,1392.603732,943.0987413,4.467012261,48.72646663,5.313565362,147.9342536,1011978.842,105.691392,623.5297547,75.96126961,1.376733172,1.554607794,2.009827104,744.6126236,101.8771262,1.494576949,341.934429,2.208239871,1.892801685,2.655480271,1.291267956,225444.8237,328.2207338,442.8290108,240.0070035,1880.392857,28.43738274,1.322396081,2.498957382,2.127722052,1.73351408,7.272438519,1.721211102,1.950156173,1.766498162,1.406449693,1.723623848,1.576834746,1.804572869,2.494832159,2.124547937
camel-1.4_camel-1.6,1165.70371,131436.659,1040.604587,3056.686003,2153.946673,391.9876083,867.2953168,1503.359702,943.4010267,21671.74656,263.6919898,1488.368557,6.975683221,3.235244533,3.108619809,3.495148008,1920.178548,2801.808563,4.981016227,12.18541161,51.67209236,3.505032715,699.373536,88.13169513,1566.21253,18954.20044,3.928391358,906.0299913,24.15008101,3.129126625,14.8063799,165.8463945,40297.26864,158.4705865,380.9093698,319.8498705,251.3952375,3.518951636,3.359496067,10.30590861,2.902779406,3.036072081,3.518490762,3.491443741,3.25909242,3.74538688,2.997547837,3.519034263,3.344842539,2.952442039,2.98186718,3.491392158
ivy-1.1_ivy-1.4,7824.413424,6493316.7,127328.4987,109473.2021,107074.9939,369.7402927,143346.6239,228528.7077,2808.182334,78594.33348,2.375709624,1967.8767,150.2263028,398.134644,4.705722961,29.80574949,3283.456073,915251.6562,215.6057718,1907.712673,3883.421222,112.6404634,16.58295947,237.2813367,1645.591255,352129.5083,68.62255156,1740.015751,10960.64481,12.26426413,452.8167537,1597.222514,118411.4229,7287.537798,5323.318474,323.691145,2374.289119,0.099579313,56.17750322,31.29644672,35.77586761,5.352357514,0.099074032,9.910049473,27.03418381,38.68282805,41.25851451,0.067700699,7.775328273,35.42360243,40.97904975,22.5198293
ivy-1.4_ivy-2.0,5827.158904,293199.9,181593.9501,5927.960295,5564.06339,2491.14007,27953.85108,354.7411307,4481.046189,169207.2514,24120.74922,2658.673742,12.38364543,33.68049164,2829.31338,62878.13356,1190.487477,2265740.802,367.6534154,1836.276627,0.244362574,14.63688243,23.79819283,162.1749383,122.2436192,8853230.057,215761.6146,628.4670393,40.26960797,42.11505971,154.5634149,1514.154225,322452.0559,78223.87706,2178.130265,104.3459286,2044.579841,0.272127094,0.29363623,14.25720081,0.311324699,1.804633215,0.270815524,0.263972191,0.225583423,0.207085408,0.23917342,0.272612845,0.272431326,0.216091438,0.643002798,0.207050576
jedit-3.2_jedit-4.0,13898.15901,906643.7303,86889.96719,8010.466496,8539.107206,1765.678159,25418.70275,14015.63955,781.5796905,96254.2781,362.524485,3739.649387,3566.232146,4.391815204,413.6882128,413.5019697,19487.69915,482066.3654,53.57052477,1154.915149,268.4669377,17.02172904,635.9787902,7.011654676,939.9435673,331720.5349,5.809824898,178.3290776,73.54145213,916.2438373,108.9204823,5.778764488,1890.731954,16485.99592,2371.83072,150.2570474,149.4534688,5.959615775,4.056432181,2.747309156,40.54553761,12.55793802,6.024906483,6.078314265,4.998312497,3.893028758,2.825793191,6.060966899,6.078417291,3.865724446,6.009290307,6.468431848
