filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,0.554386804,0.589289983,0.566459479,0.529285202,0.594907961,0.535978962,0.606980636,0.556896964,0.493186708,0.576141525,0.572196988,0.612240019,0.59813531,0.501733206,0.576380588,0.587855606,0.510160172,0.610327516,0.602916567,0.538608654,0.518587138,0.612598613,0.596820464,0.600286875,0.521396127,0.579847,0.606741573,0.575723165,0.609968922,0.607219699,0.598374372,0.599211093,0.595505618,0.59813531,0.576261057,0.59813531,0.518587138,0.58988764,0.587616543,0.563471193,0.598015778,0.545541477,0.59813531,0.56072197,0.576380588,0.604948601,0.59813531,0.59813531,0.592517332,0.563710256,0.606382979,0.594549366
ant-1.4_ant-1.5,0.707362262,0.67352511,0.668454412,0.650804486,0.684154071,0.764992686,0.656752804,0.684739152,0.7650902,0.748317894,0.747050219,0.698098489,0.748464164,0.728815212,0.729790346,0.738225256,0.67411019,0.527157484,0.729497806,0.726962457,0.75192589,0.765480254,0.721696733,0.738566553,0.611506582,0.764992686,0.740809361,0.752608484,0.756118966,0.747732813,0.752998537,0.766309118,0.528815212,0.766845441,0.617259873,0.757289127,0.759483179,0.766845441,0.746270112,0.711165285,0.737591419,0.723549488,0.766845441,0.763334959,0.738371526,0.765480254,0.762018528,0.766845441,0.71803998,0.707362262,0.699463676,0.758946855
ant-1.5_ant-1.6,0.692044469,0.735259507,0.758779264,0.723739626,0.696426359,0.794128577,0.793834386,0.747274867,0.725179611,0.771708163,0.791976341,0.657190635,0.769385606,0.81955283,0.823423758,0.819924439,0.744905859,0.75492382,0.80081754,0.710377183,0.781130001,0.802133655,0.82535148,0.797008547,0.748172922,0.764539205,0.792038276,0.738727858,0.813676762,0.817323176,0.805385235,0.8087452,0.768115942,0.824027623,0.669051158,0.813452248,0.77532361,0.815240617,0.751734176,0.742939428,0.819336058,0.778459061,0.807800694,0.7903041,0.764957265,0.791295058,0.805756844,0.809906478,0.807165862,0.806345225,0.812507742,0.799129815
ant-1.6_ant-1.7,0.823847345,0.826674874,0.807080735,0.818089035,0.801993567,0.810555578,0.785215043,0.801227116,0.789905087,0.827099797,0.825793257,0.784464477,0.803439101,0.827548549,0.798498868,0.827359914,0.796592669,0.825455701,0.827661729,0.792724673,0.827590247,0.82741154,0.807847186,0.827471109,0.778519519,0.828962313,0.828297129,0.784968826,0.828884874,0.817455621,0.828324928,0.82497518,0.826746356,0.825435844,0.787276121,0.77688535,0.78841984,0.82741154,0.826190382,0.818712521,0.81578174,0.825606608,0.82741154,0.827625988,0.811955443,0.828191891,0.82741154,0.82741154,0.827943688,0.826464398,0.82741154,0.827661729
camel-1.0_camel-1.2,0.639802632,0.606268275,0.661792322,0.552288138,0.58627464,0.520414272,0.550511066,0.646038138,0.62541276,0.657705687,0.652738392,0.609256844,0.686064794,0.63087316,0.672694218,0.647005445,0.619971264,0.664717874,0.676229457,0.55745551,0.656491039,0.670266498,0.671169213,0.678460249,0.618805455,0.674017569,0.669938811,0.616443903,0.668727314,0.673047111,0.661705674,0.659772636,0.661351205,0.674331077,0.585151366,0.641259894,0.680728852,0.65581676,0.653834884,0.606302934,0.614602238,0.653707275,0.65581676,0.655856145,0.66061706,0.674726507,0.615607355,0.65581676,0.676346038,0.643670284,0.674008117,0.639715984
camel-1.2_camel-1.4,0.693711488,0.750917431,0.741910859,0.672624264,0.730138299,0.717746132,0.637648911,0.707336026,0.68548884,0.767058058,0.770183486,0.731935506,0.75579214,0.772990552,0.76580686,0.774839107,0.680978707,0.744796659,0.762825209,0.695255375,0.767768383,0.773442421,0.765033206,0.759126386,0.752077913,0.485543612,0.773750513,0.722418869,0.766833835,0.775893468,0.77305217,0.771239559,0.752269615,0.773031631,0.764031905,0.762318568,0.727420238,0.768488977,0.769964398,0.771299466,0.768519786,0.765467958,0.762693414,0.767222374,0.767232644,0.766358004,0.765045187,0.762825209,0.772023483,0.770878406,0.763696426,0.747292209
camel-1.4_camel-1.6,0.671280829,0.746892228,0.736536788,0.732963731,0.691189637,0.731067358,0.712889119,0.758111917,0.72008601,0.71646114,0.723926425,0.708597927,0.741369948,0.719097409,0.739108808,0.729179275,0.718462176,0.741711917,0.731943005,0.712105699,0.731858031,0.747872539,0.73666943,0.725985492,0.735479793,0.719097409,0.736005181,0.71538342,0.728141969,0.733442487,0.738598964,0.726225907,0.725194819,0.719097409,0.709125389,0.736563731,0.749458031,0.739055959,0.727340933,0.735870466,0.746468394,0.733671503,0.739055959,0.715350259,0.727552332,0.73824456,0.744841451,0.739055959,0.728109845,0.752361658,0.74413057,0.743430052
ivy-1.1_ivy-1.4,0.776394652,0.747349009,0.737436607,0.701244813,0.643153527,0.505763024,0.499769479,0.729137852,0.689257722,0.718533887,0.77132319,0.809589673,0.578838174,0.776625173,0.782733979,0.798524666,0.531350853,0.774319963,0.760949746,0.701936376,0.7593361,0.775472568,0.75242047,0.772014753,0.593591517,0.775011526,0.771784232,0.777547257,0.753573075,0.775703089,0.770401107,0.772245274,0.770862148,0.768095897,0.604426003,0.761180267,0.677040111,0.769709544,0.766943292,0.754956201,0.729598893,0.766943292,0.769709544,0.771784232,0.783540802,0.768095897,0.773858921,0.769709544,0.771553711,0.763485477,0.7736284,0.767750115
ivy-1.4_ivy-2.0,0.688159497,0.779880276,0.811282468,0.535967938,0.679890422,0.814224838,0.681868912,0.660612825,0.773792614,0.251217532,0.798650568,0.750253653,0.822950487,0.794541396,0.695515422,0.831270292,0.761668019,0.833096591,0.835836039,0.711038961,0.832132711,0.820515422,0.738357346,0.820008117,0.651557427,0.824624594,0.833299513,0.730316558,0.806716721,0.825943588,0.798041802,0.83010349,0.828530844,0.830661526,0.768110795,0.775618912,0.811383929,0.825461648,0.810267857,0.680600649,0.75974026,0.767755682,0.825461648,0.80762987,0.799715909,0.811181006,0.789569805,0.825461648,0.789392248,0.79195414,0.804433847,0.825461648
jedit-3.2_jedit-4.0,0.830932963,0.836832668,0.739082654,0.754439239,0.832321129,0.832740471,0.805512175,0.819986697,0.822734108,0.842327491,0.849282781,0.832133148,0.826110533,0.836355486,0.828568743,0.841474348,0.83973914,0.845508705,0.838249754,0.837844872,0.829154376,0.839796981,0.80666175,0.833824975,0.797978483,0.828496443,0.833311643,0.836485627,0.839442709,0.835220371,0.827035977,0.839493319,0.809488692,0.841336977,0.820536179,0.827390248,0.831583666,0.839796981,0.845711146,0.843730117,0.847937995,0.818916652,0.839796981,0.834779339,0.838538955,0.825857482,0.843961478,0.839796981,0.839406559,0.847851235,0.841141766,0.840910405
jedit-4.0_jedit-4.1,0.785847217,0.808297885,0.805210918,0.786969751,0.794118516,0.808120643,0.764755406,0.827499114,0.791179251,0.819552759,0.804442869,0.837350821,0.802345504,0.817137835,0.82300898,0.831989247,0.821694435,0.828126846,0.801917169,0.767916224,0.828798889,0.828459175,0.824781401,0.816916283,0.746078518,0.830970105,0.829330616,0.762022923,0.831590453,0.830157745,0.818193903,0.832624365,0.802109181,0.799805034,0.715880893,0.796511284,0.786600496,0.840437788,0.795019497,0.833983221,0.824161054,0.813629918,0.821605814,0.784488361,0.813482217,0.789303438,0.817071369,0.821605814,0.762606345,0.800838946,0.812403994,0.817765568
jedit-4.1_jedit-4.2,0.835869621,0.862963344,0.856485528,0.854531901,0.855662948,0.858593389,0.858799033,0.837386253,0.832784947,0.87401676,0.875533392,0.855894298,0.872397306,0.868849931,0.860444193,0.87401676,0.871137731,0.875379158,0.872088839,0.797105547,0.869415454,0.869955272,0.866960568,0.870160917,0.872243072,0.874350933,0.870739294,0.847282916,0.872757185,0.872500129,0.868772814,0.870957791,0.873631176,0.819983548,0.849082309,0.847514267,0.819983548,0.863991569,0.87255154,0.871009203,0.87566192,0.866086577,0.863991569,0.873631176,0.871677549,0.866536425,0.869389749,0.863991569,0.867847411,0.870623618,0.866035165,0.869389749
jedit-4.2_jedit-4.3,0.669376694,0.695291328,0.650406504,0.728150407,0.731707317,0.638719512,0.751693767,0.713584011,0.694783198,0.692581301,0.671070461,0.636686992,0.746443089,0.70647019,0.64346206,0.657689702,0.670901084,0.708841463,0.665057588,0.644817073,0.667174797,0.697831978,0.66802168,0.684112466,0.681571816,0.764227642,0.700880759,0.702405149,0.681063686,0.698678862,0.691395664,0.660907859,0.655657182,0.665057588,0.696138211,0.618648374,0.671409214,0.665057588,0.662262873,0.660738482,0.676151762,0.683096206,0.643123306,0.672933604,0.658028455,0.650914634,0.629234417,0.654471545,0.632113821,0.680216802,0.614329268,0.632113821
