filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,21,21,21,21,21,21,21,21,16,4,2,13,1,2,2,7,13,6,3,9,1,2,2,5,6,4,2,6,4,3,5,5,5,1,14,1,2,2,15,15,18,7,1,8,13,6,1,1,2,7,6,2
ant-1.4_ant-1.5,21,21,21,21,21,21,21,21,15,7,4,9,2,3,5,3,9,3,6,7,3,2,4,4,6,2,4,6,3,3,3,2,2,2,19,2,3,1,16,19,18,11,1,4,10,8,2,1,2,8,3,3
ant-1.5_ant-1.6,21,21,21,21,21,21,21,21,10,7,5,16,3,2,4,3,3,6,3,11,2,4,3,4,4,5,6,12,3,3,4,3,7,1,17,4,2,2,13,18,16,11,2,9,12,10,3,2,3,7,3,6
ant-1.6_ant-1.7,21,21,21,21,21,21,21,21,16,4,2,12,2,2,4,4,9,2,2,9,3,2,4,3,5,2,2,6,3,2,2,4,5,4,13,1,2,1,12,16,15,7,1,2,9,7,1,1,2,7,4,2
camel-1.0_camel-1.2,21,21,21,21,21,21,21,21,19,8,5,19,3,5,4,3,11,2,2,15,4,4,3,4,13,2,4,7,3,2,3,2,6,2,15,2,5,1,15,15,15,8,2,5,11,7,4,1,2,6,2,3
camel-1.2_camel-1.4,21,21,21,21,21,21,21,21,12,6,7,17,4,5,3,3,8,2,1,9,4,2,4,2,13,2,3,8,3,3,4,2,4,2,16,2,3,2,18,15,13,7,2,10,12,13,7,1,3,8,5,3
camel-1.4_camel-1.6,21,21,21,21,21,21,21,21,14,4,5,16,2,1,2,2,15,2,3,5,3,2,4,5,4,2,3,8,3,3,3,4,7,2,12,4,5,1,12,15,17,14,1,8,9,10,4,1,3,10,7,2
ivy-1.1_ivy-1.4,21,21,21,21,21,21,21,21,14,2,3,15,2,6,3,3,6,2,4,13,6,2,4,4,4,3,7,7,3,2,4,3,7,2,18,4,7,1,13,20,15,7,2,7,11,10,2,1,4,11,7,2
ivy-1.4_ivy-2.0,21,21,21,21,21,21,21,21,17,5,7,13,2,3,6,4,9,6,4,10,2,7,2,2,6,2,3,9,4,3,3,3,6,8,13,2,5,1,17,16,14,14,1,10,17,8,3,1,3,7,4,2
jedit-3.2_jedit-4.0,21,21,21,21,21,21,21,21,9,6,6,14,2,3,2,5,11,4,5,10,3,1,2,3,8,3,4,5,4,6,4,3,4,2,17,1,2,1,15,17,20,10,1,4,12,11,6,1,2,8,7,4
