filename,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,0.5907243605068133,0.5981353095864212,0.6023189098732967,0.5981353095864212,0.5185871384174038,0.5981353095864212,0.5876165431508487,0.5534305522352378,0.5598852498207029,0.5981353095864212,0.5981353095864212,0.5600047812574707,0.5565383695912025,0.585464977289027,0.5981353095864212,0.5981353095864212,0.5981353095864212,0.5604829070045422,0.5981353095864212,0.5981353095864212
ant-1.4_ant-1.5,0.7582642613359337,0.7668454412481717,0.6172598732325695,0.7572891272549975,0.7447586543149683,0.7668454412481717,0.7645051194539251,0.7390541199414921,0.7378839590443687,0.7367137981472452,0.7668454412481717,0.7668454412481717,0.744319843978547,0.7668454412481717,0.7668454412481717,0.7668454412481717,0.7668454412481717,0.7264748902974159,0.7621160409556313,0.7668454412481717
ant-1.5_ant-1.6,0.7681159420289855,0.8253514802427846,0.669051158181593,0.8067710268797226,0.77532360956274,0.8253514802427846,0.7517341756472191,0.7652359717577109,0.8239811718072587,0.8221076427598166,0.8253514802427846,0.8129180602006689,0.7650037160906726,0.8177876873529047,0.8253514802427846,0.8253514802427846,0.8253514802427846,0.8067013501796111,0.8186857425987861,0.8253514802427846
ant-1.6_ant-1.7,0.8259044517691909,0.8255827806679641,0.8109725586751916,0.7884198403558238,0.7884198403558238,0.8274115404471626,0.8266351614312378,0.8187125213454589,0.8281601207259441,0.8274115404471626,0.8274115404471626,0.8276359159683888,0.8133592788213335,0.8282633731781899,0.8274115404471626,0.8274115404471626,0.8274115404471626,0.8280489257773719,0.8274115404471626,0.8274115404471626
camel-1.0_camel-1.2,0.6613512048800161,0.6749076804799354,0.6236167826174632,0.6558167599314378,0.6807288515829805,0.6740207199032063,0.6773401265376083,0.6063029340592861,0.6035916389393022,0.6757300489009881,0.6558167599314378,0.676927366908651,0.6558183353498689,0.6598687361363178,0.6749423396854205,0.6558167599314378,0.6724831115144182,0.6238389166162532,0.6740081165557572,0.675542574107683
camel-1.2_camel-1.4,0.7522696152266192,0.7628252088182939,0.7640319046967,0.7658068601944407,0.7274202382582501,0.7628252088182939,0.7705360810625771,0.7706216623305491,0.7351602081336437,0.769267766671231,0.7628252088182939,0.7658068601944407,0.7564836368615637,0.7617177872107354,0.7628252088182939,0.7628252088182939,0.7628252088182939,0.7660345063672463,0.7546111187183351,0.7628252088182939
camel-1.4_camel-1.6,0.7293388601036269,0.7190974093264249,0.7205388601036269,0.7016663212435233,0.7437046632124352,0.7390559585492228,0.7438383419689121,0.7309243523316062,0.7357160621761658,0.7211461139896373,0.7390559585492228,0.7290974093264249,0.7275523316062176,0.7468041450777202,0.7390559585492228,0.7390559585492228,0.7390559585492228,0.7555948186528497,0.7390559585492228,0.7390559585492228
ivy-1.1_ivy-1.4,0.760258183494698,0.7680958967266022,0.6917934532042416,0.7816966343937298,0.7353619179345321,0.7697095435684648,0.7669432918395575,0.7496542185338866,0.7494236975564776,0.7526509912402028,0.7697095435684648,0.7697095435684648,0.7835408022130014,0.7713231904103274,0.7697095435684648,0.7697095435684648,0.7697095435684648,0.7655601659751037,0.7692485016136469,0.7697095435684648
ivy-1.4_ivy-2.0,0.8285308441558441,0.8352272727272727,0.7607548701298701,0.7500253652597403,0.8104200487012987,0.8011617288961039,0.7447747564935064,0.7952008928571429,0.8285308441558441,0.8042562905844156,0.8254616477272727,0.8270596590909091,0.6802962662337663,0.8108258928571429,0.8254616477272727,0.8254616477272727,0.7892654220779219,0.7933745941558441,0.8112063717532467,0.8254616477272727
jedit-3.2_jedit-4.0,0.8452195037306958,0.8397969807391983,0.8183093296315577,0.8066617502458211,0.8066617502458211,0.8397969807391983,0.8333622534559546,0.8437301174156978,0.8316993464052288,0.8402886228237608,0.8397969807391983,0.8397969807391983,0.8405778240499739,0.834070796460177,0.8397969807391983,0.8397969807391983,0.8397969807391983,0.847851234889236,0.8397969807391983,0.8397969807391983
jedit-4.0_jedit-4.1,0.8103804797353185,0.8078104691007917,0.7311237149946828,0.7810542951671984,0.7820882074914333,0.8216058135412974,0.8014740635708377,0.8217978258300839,0.8219455275906888,0.8216058135412974,0.8216058135412974,0.7844883611012643,0.8040293040293041,0.8223000118161409,0.8216058135412974,0.8216058135412974,0.8216058135412974,0.7882326007326007,0.8197816967978259,0.8216058135412974
jedit-4.1_jedit-4.2,0.8736311757750245,0.8199835484036809,0.8589789728034548,0.8475142666186829,0.8199835484036809,0.8639915685568865,0.8729885352938153,0.8710092026116909,0.8469744486144671,0.8639915685568865,0.8639915685568865,0.8639915685568865,0.8733227083440441,0.8416019741915582,0.8639915685568865,0.8639915685568865,0.8639915685568865,0.8754048635031618,0.8711120250886843,0.8639915685568865
jedit-4.2_jedit-4.3,0.6556571815718157,0.6650575880758808,0.6731029810298103,0.6186483739837398,0.6186483739837398,0.6650575880758808,0.6746273712737128,0.6517615176151762,0.6991869918699187,0.7330623306233063,0.6650575880758808,0.6631944444444444,0.6231368563685636,0.6597222222222222,0.6650575880758808,0.6650575880758808,0.6650575880758808,0.6551490514905149,0.6650575880758808,0.6650575880758808
log4j-1.0_log4j-1.1,0.8029656496692981,0.7567740558992959,0.6537230637934713,0.8007254107104758,0.7567740558992959,0.7567740558992959,0.8204608491572435,0.7985918497973117,0.7631747386387882,0.8012588009387668,0.7567740558992959,0.8007254107104758,0.8020055472583743,0.8007254107104758,0.7567740558992959,0.7567740558992959,0.8007254107104758,0.8155536590569661,0.7567740558992959,0.7567740558992959
log4j-1.1_log4j-1.2,0.5589088059555294,0.5579635615633265,0.5524928984229601,0.5598883338230972,0.5251591732784797,0.5639386815554902,0.5565677343520423,0.5359192869037124,0.5634734058183956,0.5620530904104222,0.5639386815554902,0.5639386815554902,0.548658046821432,0.5751885591145068,0.5639386815554902,0.5639386815554902,0.5639386815554902,0.5641492800470174,0.5638015476540308,0.5579635615633265
lucene-2.0_lucene-2.2,0.7067711083729391,0.7147607033190557,0.6956521739130435,0.685916994269397,0.7162031332511881,0.7162031332511881,0.7193960374738407,0.7098808895147568,0.7164622816796731,0.7162031332511881,0.7162031332511881,0.7162031332511881,0.7081499735961978,0.7045170060044202,0.7162031332511881,0.7162031332511881,0.6961411332120714,0.7093528134718066,0.7168778970838467,0.7162031332511881
lucene-2.2_lucene-2.4,0.6890497021593448,0.6781459419210722,0.6540068875651527,0.6874139054355921,0.6951088979895755,0.6951088979895755,0.6739435964259122,0.6673352568875651,0.6930798585256888,0.6951088979895755,0.6951088979895755,0.6951088979895755,0.6773408413998511,0.6881352382725242,0.6951088979895755,0.6951088979895755,0.6951088979895755,0.6789929262844379,0.6874139054355921,0.6951088979895755
poi-1.5_poi-2.0,0.6969622733953944,0.65854156459252,0.6749142577168055,0.6626245304589253,0.7520006532745386,0.65854156459252,0.6739343459088682,0.6720561816103218,0.7000653274538625,0.65854156459252,0.65854156459252,0.65854156459252,0.6485382982198269,0.6723011595623061,0.65854156459252,0.65854156459252,0.65854156459252,0.6933692634329577,0.6986771190592846,0.65854156459252
poi-2.0_poi-2.5,0.4961169878508589,0.4529089861751152,0.5021051529116045,0.4637803728529534,0.44686059907834097,0.456582530372853,0.471098659405111,0.4616673648931714,0.6347140762463344,0.5034797863426895,0.5575670297444489,0.5194726644323419,0.4674041684122329,0.4420768747381649,0.454330749895266,0.5575670297444489,0.4590359237536657,0.4655844155844156,0.4551319648093842,0.4501047339757017
poi-2.5_poi-3.0,0.6728461538461539,0.6702692307692307,0.6604434389140271,0.6718461538461539,0.6776719457013575,0.6702692307692307,0.6814343891402715,0.6841176470588235,0.6859819004524886,0.6754728506787331,0.6702692307692307,0.7015316742081448,0.6898122171945701,0.6702692307692307,0.6868778280542986,0.6702692307692307,0.7015316742081448,0.7045565610859729,0.6896244343891402,0.6702692307692307
synapse-1.0_synapse-1.1,0.6998361998361998,0.7021112021112021,0.6315406315406316,0.7027027027027027,0.7057512057512058,0.7105287105287106,0.6884156884156885,0.7186277186277187,0.732050232050232,0.7105287105287106,0.7105287105287106,0.7105287105287106,0.6565201565201565,0.7120074620074621,0.7105287105287106,0.7105287105287106,0.7105287105287106,0.7172172172172172,0.717990717990718,0.7105287105287106
synapse-1.1_synapse-1.2,0.6313577586206897,0.6502963362068965,0.6428071120689656,0.652276400862069,0.6545797413793103,0.6502963362068965,0.6528286637931034,0.6834051724137931,0.688415948275862,0.6561422413793103,0.6502963362068965,0.6502963362068965,0.6344019396551724,0.6502963362068965,0.6502963362068965,0.6502963362068965,0.6509428879310345,0.6349946120689656,0.6502963362068965,0.6502963362068965
