filename,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,8,1,13,1,1,1,11,14,13,1,1,2,10,2,1,1,1,6,1,1
ant-1.4_ant-1.5,2,1,18,2,3,1,11,13,11,3,1,1,6,2,1,1,1,6,2,1
ant-1.5_ant-1.6,7,1,15,2,2,1,13,15,8,2,1,4,10,5,1,1,1,5,2,1
ant-1.6_ant-1.7,6,5,12,1,1,1,11,16,9,1,1,3,9,4,1,1,1,4,1,1
camel-1.0_camel-1.2,4,2,15,1,5,2,11,15,9,3,1,2,9,1,2,1,2,3,2,2
camel-1.2_camel-1.4,7,1,14,1,3,1,13,11,9,3,1,1,9,5,1,1,1,8,2,1
camel-1.4_camel-1.6,9,1,12,3,4,1,11,13,7,6,1,2,9,2,1,1,1,8,1,1
ivy-1.1_ivy-1.4,6,2,17,3,6,1,13,11,12,2,1,1,11,4,1,1,1,8,2,1
ivy-1.4_ivy-2.0,6,8,13,3,3,2,12,13,9,4,1,1,10,7,1,1,2,4,2,1
jedit-3.2_jedit-4.0,6,1,15,1,1,1,11,17,12,4,1,1,7,4,1,1,1,6,1,1
jedit-4.0_jedit-4.1,9,5,14,1,3,1,13,14,11,1,1,4,8,4,1,1,1,6,2,1
jedit-4.1_jedit-4.2,6,1,15,1,1,1,14,16,10,1,1,1,8,1,1,1,1,5,2,1
jedit-4.2_jedit-4.3,4,1,11,1,1,1,14,15,13,2,1,2,10,3,1,1,1,4,1,1
log4j-1.0_log4j-1.1,6,1,17,1,1,1,12,16,9,5,1,1,10,1,1,1,1,8,1,1
log4j-1.1_log4j-1.2,8,1,15,3,5,1,13,14,13,3,1,1,13,2,1,1,1,7,2,1
lucene-2.0_lucene-2.2,5,2,15,2,1,1,10,15,13,1,1,1,9,2,1,1,2,5,2,1
lucene-2.2_lucene-2.4,12,7,16,1,1,1,10,15,10,1,1,1,11,3,1,1,1,6,1,1
poi-1.5_poi-2.0,4,1,14,1,3,1,12,14,13,1,1,1,10,4,1,1,1,5,2,1
poi-2.0_poi-2.5,7,2,15,2,2,2,13,14,6,2,1,2,8,4,2,1,2,5,2,2
poi-2.5_poi-3.0,6,1,14,3,2,1,14,13,12,2,1,1,10,1,2,1,1,4,2,1
synapse-1.0_synapse-1.1,7,7,15,1,4,1,12,14,12,1,1,1,10,3,1,1,1,5,2,1
synapse-1.1_synapse-1.2,8,1,18,2,2,1,9,16,7,2,1,1,10,1,1,1,3,7,1,1
velocity-1.4_velocity-1.5,5,2,15,2,2,2,13,15,12,3,1,1,8,7,2,2,2,5,3,2
velocity-1.5_velocity-1.6,5,1,14,3,4,1,8,13,9,2,1,2,8,6,1,1,3,6,3,1
xalan-2.4_xalan-2.5,9,1,14,2,2,1,14,14,13,2,1,1,11,4,1,1,1,5,1,1
xalan-2.5_xalan-2.6,4,3,15,1,1,1,13,11,9,1,1,1,10,2,1,1,1,7,2,1
xalan-2.6_xalan-2.7,6,7,15,1,4,1,13,12,12,2,1,2,10,4,1,1,1,3,2,1
xerces-init_xerces-1.2,3,2,13,2,3,1,11,13,14,5,2,3,10,5,2,1,2,8,2,2
xerces-1.2_xerces-1.3,5,3,16,2,5,3,11,15,12,4,2,5,7,5,3,2,3,5,3,3
xerces-1.3_xerces-1.4,4,1,13,2,3,1,9,16,12,2,1,2,10,5,1,1,2,4,2,2
