filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,21,21,21,21,21,21,21,21,13,6,1,11,1,1,2,2,13,6,5,7,1,1,1,1,6,4,1,10,1,5,6,6,8,1,13,1,1,1,12,15,13,3,2,2,10,5,1,1,2,6,1,1
ant-1.4_ant-1.5,21,21,21,21,21,21,21,21,15,7,3,10,2,2,5,5,9,2,4,7,3,2,3,3,6,2,3,6,1,3,2,2,3,1,19,3,3,1,12,17,11,8,1,1,8,2,2,1,1,7,2,2
ant-1.5_ant-1.6,21,21,21,21,21,21,21,21,10,7,5,13,2,2,3,3,9,6,1,11,1,4,4,4,9,4,6,12,2,1,1,1,7,1,15,2,2,2,13,15,16,2,2,4,10,5,2,2,1,5,3,1
ant-1.6_ant-1.7,21,21,21,21,21,21,21,21,14,3,2,12,2,1,4,4,9,3,1,7,1,1,3,3,6,2,1,6,5,2,1,1,9,8,12,1,1,1,11,16,9,1,1,3,9,4,1,1,1,6,1,1
camel-1.0_camel-1.2,21,21,21,21,21,21,21,21,18,8,5,16,3,4,3,3,11,4,2,14,2,4,5,5,12,2,2,7,2,2,2,2,8,2,15,5,5,2,11,15,9,3,1,3,9,1,2,1,2,3,2,2
camel-1.2_camel-1.4,21,21,21,21,21,21,21,21,12,9,6,16,4,4,1,1,11,2,1,10,4,2,2,2,13,3,1,7,2,6,5,5,7,1,14,2,3,2,14,18,9,10,2,1,9,7,1,1,1,8,5,1
camel-1.4_camel-1.6,21,21,21,21,21,21,21,21,13,6,4,15,1,1,1,1,15,2,1,5,1,2,4,4,4,3,1,8,5,1,5,5,10,1,12,3,4,1,11,13,7,6,1,2,9,6,1,1,1,8,1,1
ivy-1.1_ivy-1.4,21,21,21,21,21,21,21,21,13,3,1,11,2,3,2,2,6,3,4,12,6,1,5,5,4,4,2,5,7,1,6,6,7,2,17,3,6,1,13,17,12,2,1,1,11,4,1,1,1,8,2,1
ivy-1.4_ivy-2.0,21,21,21,21,21,21,21,21,15,5,9,13,2,3,5,5,11,8,7,10,1,5,1,1,8,4,7,8,1,1,1,1,6,8,13,6,4,2,12,16,10,4,1,3,10,8,2,1,2,4,3,1
jedit-3.2_jedit-4.0,21,21,21,21,21,21,21,21,10,6,6,14,2,2,3,3,11,4,1,10,1,1,2,2,8,4,1,4,1,3,1,1,6,1,15,2,2,1,11,17,13,4,1,1,7,4,1,1,1,6,1,1
