linear/CoDE,MLP/CoDE_random30p_toZero,MLP/CoDE_20p_toZero,MLP/CoDE_random20p_toZero,MLP/CoDE_random10p_toZero,MLP/CoDE_toZero,MLP/CoDE,MLP/CoDE_10p_toZero,filename
0.818181818,0.796606061,0.796727273,0.786060606,0.781939394,0.784606061,0.788484848,0.788363636,ant-1.3
0.753884772,0.764642601,0.762849629,0.760877361,0.765479321,0.698123356,0.705713603,0.711809706,ant-1.4
0.863773769,0.832276938,0.840711848,0.829497806,0.837981472,0.844612384,0.830424183,0.83032667,ant-1.5
0.829384987,0.807483278,0.808838102,0.809983897,0.808582621,0.81550384,0.81325096,0.81379289,ant-1.6
0.835669751,0.827363885,0.798024304,0.796759461,0.792015806,0.796290854,0.801588499,0.797617251,ant-1.7
0.871470712,0.827117573,0.863253266,0.840918668,0.850294985,0.847977244,0.846502318,0.842182891,camel-1.0
0.714824057,0.689373173,0.677883646,0.681820617,0.67684387,0.665968756,0.670327939,0.676040406,camel-1.2
0.792410653,0.77051383,0.761087909,0.759761399,0.757597905,0.752637615,0.757296659,0.764115774,camel-1.4
0.791154404,0.764220725,0.754776166,0.760389637,0.736029016,0.734892228,0.741004145,0.731898446,camel-1.6
0.823841008,0.798089935,0.780497235,0.784054441,0.783049144,0.782662491,0.786741677,0.795866682,ivy-1.1
0.86076533,0.792761641,0.814315353,0.802443522,0.808552328,0.817773167,0.810396496,0.811894882,ivy-1.4
0.859527192,0.838854505,0.837966721,0.842507102,0.844308036,0.840553977,0.849203531,0.836876015,ivy-2.0
0.867271712,0.819390976,0.824953804,0.830251963,0.832080574,0.821931783,0.824602518,0.819891438,jedit-3.2
0.858710741,0.841170687,0.816704263,0.81593788,0.815185956,0.82556105,0.819270924,0.817362196,jedit-4.0
0.851116625,0.817772953,0.82929369,0.815062626,0.832011403,0.822366478,0.822300012,0.831258124,jedit-4.1
0.891008174,0.859017531,0.844853735,0.848195466,0.855418745,0.846241838,0.851627166,0.850161945,jedit-4.2
0.89854336,0.888804201,0.898797425,0.904302168,0.88626355,0.914888211,0.906673442,0.913025068,jedit-4.3
0.848087432,0.829690346,0.819429265,0.824043716,0.826897389,0.823193685,0.82774742,0.823861566,log4j-1.0
0.842329849,0.823661191,0.816140388,0.812620013,0.816727118,0.81224664,0.811819927,0.802218903,log4j-1.1
0.598853952,0.588950926,0.579630718,0.585943775,0.582716231,0.577132922,0.579807033,0.57670193,log4j-1.2
0.780099502,0.766800612,0.746345197,0.739800995,0.753099885,0.743742824,0.73412744,0.730989284,lucene-2.0
0.731673805,0.713997927,0.713142248,0.706164799,0.710653445,0.715190988,0.714848716,0.710981048,lucene-2.2
0.73451694,0.708227848,0.695425354,0.695676657,0.698952904,0.711117833,0.69553239,0.69069248,lucene-2.4
0.692926938,0.687492289,0.69403114,0.677862906,0.677276877,0.676419424,0.67726454,0.684420263,poi-1.5
0.814959987,0.789237302,0.76788339,0.785031847,0.7918504,0.753919647,0.771149763,0.765841908,poi-2.0
0.68094889,0.67198628,0.674285191,0.67179514,0.66121439,0.661109656,0.663298597,0.672274298,poi-2.5
0.71558371,0.699764706,0.692511312,0.695056561,0.684366516,0.688113122,0.679830317,0.675445701,poi-3.0
0.861085836,0.855323021,0.874127995,0.865483773,0.853806491,0.860327571,0.851076736,0.85577798,synapse-1.0
0.789152789,0.768882519,0.756847757,0.753230503,0.744926745,0.755414505,0.744448994,0.740740741,synapse-1.1
0.746578664,0.719773707,0.730738147,0.718143858,0.733445582,0.728542565,0.724393858,0.725902478,synapse-1.2
0.639552964,0.625546647,0.62063897,0.618270165,0.624708455,0.6130345,0.616302235,0.61547619,velocity-1.4
0.703616907,0.68928763,0.695936979,0.686188836,0.685864133,0.702367507,0.696960499,0.69258407,velocity-1.5
0.787979775,0.764996553,0.733222248,0.74593197,0.728200414,0.744598943,0.734693174,0.742185704,velocity-1.6
0.8059634,0.777959535,0.787056247,0.787255736,0.791710998,0.792610916,0.793302479,0.796636167,xalan-2.4
0.665993579,0.638051047,0.645374103,0.636914771,0.634621112,0.638939898,0.638867195,0.642536346,xalan-2.5
0.709065763,0.688648136,0.671849944,0.676720452,0.673835028,0.675033672,0.679977401,0.676389605,xalan-2.6
0.575887638,0.565991636,0.568770026,0.56560755,0.568807664,0.567286283,0.569101964,0.569483783,xalan-2.7
0.76437865,0.756727286,0.760072448,0.754675834,0.749500998,0.755877135,0.755914098,0.750979522,xerces-init
0.733083004,0.728488142,0.727401186,0.71270751,0.718102767,0.717865613,0.732183794,0.726966403,xerces-1.2
0.857861808,0.835952602,0.842077572,0.84964943,0.833573528,0.850678837,0.838531837,0.849906782,xerces-1.3
0.772093925,0.754046575,0.744258606,0.740846589,0.744387009,0.741725168,0.745093495,0.747528366,xerces-1.4
0.781312555,0.760608413,0.757773922,0.755474342,0.754948298,0.754123931,0.753699581,0.753634281,
