filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,21,21,21,21,21,21,21,21,13,4,1,11,1,1,2,2,13,6,4,7,1,1,1,1,6,4,1,6,1,3,4,4,5,1,13,1,1,1,12,15,13,1,1,2,10,2,1,1,1,6,1,1
ant-1.4_ant-1.5,21,21,21,21,21,21,21,21,15,6,3,9,1,2,4,4,9,2,4,7,3,2,3,3,6,2,3,6,1,3,2,2,2,1,19,2,3,1,11,15,11,6,1,1,8,2,1,1,1,7,2,1
ant-1.5_ant-1.6,21,21,21,21,21,21,21,21,8,7,5,11,1,2,3,3,3,5,1,11,1,1,2,2,4,5,5,12,1,1,1,1,8,1,15,2,2,1,13,15,8,2,1,4,10,5,1,1,1,5,2,1
ant-1.6_ant-1.7,21,21,21,21,21,21,21,21,14,3,2,13,2,1,4,4,9,2,1,7,1,1,2,2,6,2,1,6,2,2,1,1,6,5,12,1,1,1,10,16,9,1,1,1,9,4,1,1,1,6,1,1
camel-1.0_camel-1.2,21,21,21,21,21,21,21,21,18,6,3,16,3,4,3,3,11,2,2,14,2,4,2,2,12,2,2,7,2,2,2,2,8,2,15,2,5,2,11,15,9,2,2,2,9,1,2,2,2,3,2,2
camel-1.2_camel-1.4,21,21,21,21,21,21,21,21,12,7,4,14,3,3,1,1,8,2,1,10,3,2,1,1,12,2,1,7,1,2,3,3,7,1,14,1,3,1,13,18,9,5,1,1,9,5,1,1,1,8,1,1
camel-1.4_camel-1.6,21,21,21,21,21,21,21,21,13,3,4,15,1,1,1,1,15,2,1,5,1,2,3,3,4,3,1,8,4,1,4,4,9,1,12,3,4,1,11,13,7,6,1,2,9,2,1,1,1,8,1,1
ivy-1.1_ivy-1.4,21,21,21,21,21,21,21,21,13,2,1,11,2,3,2,2,6,2,3,12,4,1,5,5,4,3,1,5,5,1,5,5,7,2,17,3,5,1,13,16,12,2,1,1,11,2,1,1,1,8,2,1
ivy-1.4_ivy-2.0,21,21,21,21,21,21,21,21,15,5,9,13,1,2,3,3,9,4,6,10,1,5,1,1,6,2,4,8,1,1,1,1,5,8,13,2,3,2,12,13,9,3,1,1,10,5,1,1,2,4,2,1
jedit-3.2_jedit-4.0,21,21,21,21,21,21,21,21,10,6,6,14,2,2,2,2,11,4,1,10,1,1,2,2,8,3,1,3,1,5,1,1,4,1,15,1,2,1,11,18,12,2,1,1,7,4,1,1,1,6,1,1
