filename,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ant-1.3,0.8443636363636363,0.8278787878787879,0.8186666666666667,0.8004848484848485,0.9423030303030304
ant-1.4,0.7714558928998326,0.7629691608893139,0.744561319627062,0.7241214439397562,0.9031795362180254
ant-1.5,0.8577279375914189,0.8469039492930278,0.8361774744027304,0.824183325207216,0.9513408093612872
ant-1.6,0.8381487674965936,0.8350133159915769,0.8299733680168463,0.8244147157190636,0.9117351046698872
ant-1.7,0.8334061395496605,0.8320360589333228,0.8320261308129145,0.8288868591398276,0.9257396449704142
camel-1.0,0.8933839022334598,0.8790560471976401,0.8352296670880741,0.5014749262536873,0.983354403708386
camel-1.2,0.7036795472877596,0.7000844424279089,0.6893589937487397,0.6756560042347247,0.8854465996168582
camel-1.4,0.783939819252362,0.7874948651239216,0.7841263864165412,0.7701047514719979,0.9470987950157471
camel-1.6,0.7802756476683937,0.7852300518134715,0.7668062176165803,0.7875025906735751,0.9447927461139896
ivy-1.1,0.8189111858639756,0.8141746897111704,0.8169972547654951,0.7954993620229672,0.8585624250860302
ivy-1.4,0.8363301060396496,0.846934071000461,0.8400184416781927,0.8095896726602121,0.9721069617335176
ivy-2.0,0.8616071428571429,0.8441558441558441,0.8408583603896104,0.8296976461038961,0.9559659090909092
jedit-3.2,0.8616896365876193,0.8538747305204805,0.8571758546350478,0.8607560825377272,0.9141419002155836
jedit-4.0,0.8593469836312106,0.8549366649314593,0.8510324483775811,0.8537509399039852,0.93284024524264
jedit-4.1,0.8476751742880775,0.8446029776674938,0.8366566229469455,0.8364498404820986,0.9245982512111544
jedit-4.2,0.8886946686545679,0.8951724847051565,0.8884633180813326,0.8916765204873786,0.959732147447432
jedit-4.3,0.9307249322493225,0.9254742547425474,0.912940379403794,0.5010162601626016,0.9860264227642276
log4j-1.0,0.8434729811778993,0.8420157862780814,0.8357012750455374,0.8191863995142684,0.916575591985428
log4j-1.1,0.8413697461062514,0.8449967996586303,0.825474717303179,0.8287817367185834,0.8939620226157456
log4j-1.2,0.594181604466647,0.5965030855127829,0.5886178861788618,0.5851993339210501,0.6514154177686355
lucene-2.0,0.7815346345197092,0.7789896670493686,0.7788748564867968,0.7671928817451206,0.8764638346727899
lucene-2.2,0.7319133955289562,0.7268868939349489,0.7279332668348687,0.7161640165072659,0.8358661425022981
lucene-2.4,0.7301005212211467,0.7236271407297096,0.714240506329114,0.7252745718540581,0.8265799516008935
poi-1.5,0.7107607274162904,0.6797320304981864,0.6809287635403558,0.6570928023293113,0.8247896464085671
poi-2.0,0.8077739670096358,0.8126735260493222,0.8012412216233872,0.5015923566878981,0.9455332353421524
poi-2.5,0.6861384583158777,0.6809384164222874,0.6792993297025555,0.6439228110599078,0.7586772098868874
poi-3.0,0.7166515837104073,0.7149886877828054,0.7128642533936651,0.7015316742081448,0.7939728506787328
synapse-1.0,0.8835304822565969,0.8607825295723385,0.8660903851986654,0.821656050955414,0.9626933575978162
synapse-1.1,0.7899262899262899,0.7716807716807716,0.766084266084266,0.7464282464282465,0.9010601510601509
synapse-1.2,0.7416756465517241,0.7379040948275862,0.7231546336206897,0.7011853448275862,0.8811961206896551
velocity-1.4,0.6375850340136054,0.6194849368318756,0.6191448007774538,0.6497570456754129,0.7136175898931001
velocity-1.5,0.713230934297089,0.7116215376796454,0.7129344664991388,0.7017675127763503,0.7901502103509614
velocity-1.6,0.7976327281084808,0.7943231441048035,0.7884624224316249,0.7757986669731096,0.8979315099977017
xalan-2.4,0.8041015001595915,0.7999432563747917,0.7973188637089053,0.77753839060893,0.9421791325318296
xalan-2.5,0.6565281324974848,0.6584148895502506,0.6566758835159113,0.6584934555679854,0.8106793498017087
xalan-2.6,0.7048054237288136,0.7102870056497175,0.7093405649717515,0.6930576271186439,0.8246725423728813
xalan-2.7,0.575556154131489,0.5735336930230533,0.5733210171800363,0.5668704545640054,0.6073922313913172
xerces-init,0.7693871516226806,0.7661343978709249,0.754232276188364,0.6756302210394026,0.8270865676055297
xerces-1.2,0.788399209486166,0.7720750988142292,0.7550098814229249,0.5870948616600791,0.9255731225296444
xerces-1.3,0.8575072344416612,0.8523716387011174,0.8416543709753057,0.7880909080511044,0.9567191664093149
xerces-1.4,0.7752523315090447,0.7795418606038906,0.7683787487426048,0.763730116106593,0.8285770761938861
