filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.6500717188620607
ant-1.4_ant-1.5,0.7570941004388103
ant-1.5_ant-1.6,0.8043013749535489
ant-1.6_ant-1.7,0.7967554902505858
camel-1.0_camel-1.2,0.4976904365799557
camel-1.2_camel-1.4,0.7605641517184719
camel-1.4_camel-1.6,0.756100518134715
ivy-1.1_ivy-1.4,0.6807284462886123
ivy-1.4_ivy-2.0,0.7955560064935064
jedit-3.2_jedit-4.0,0.8379027127075018
jedit-4.0_jedit-4.1,0.7582417582417582
jedit-4.1_jedit-4.2,0.8725001285280962
jedit-4.2_jedit-4.3,0.6598915989159891
log4j-1.0_log4j-1.1,0.8075528056326008
log4j-1.1_log4j-1.2,0.5459986286609854
lucene-2.0_lucene-2.2,0.6887969645406716
lucene-2.2_lucene-2.4,0.7038858897989576
poi-1.5_poi-2.0,0.6944716642168871
poi-2.0_poi-2.5,0.5146208630079597
poi-2.5_poi-3.0,0.6588778280542986
synapse-1.0_synapse-1.1,0.40995540995541
synapse-1.1_synapse-1.2,0.6230603448275862
velocity-1.4_velocity-1.5,0.6424598356721348
velocity-1.5_velocity-1.6,0.7357848770397609
xalan-2.4_xalan-2.5,0.6448440757704746
xalan-2.5_xalan-2.6,0.6730467796610171
xalan-2.6_xalan-2.7,0.5698977976940316
xerces-init_xerces-1.2,0.5629249011857708
xerces-1.2_xerces-1.3,0.671533472875133
xerces-1.3_xerces-1.4,0.6972266976966225
