filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.6513267989481234
ant-1.4_ant-1.5,0.6843490980009751
ant-1.5_ant-1.6,0.7273008794747925
ant-1.6_ant-1.7,0.8209403915650689
camel-1.0_camel-1.2,0.6360531357128454
camel-1.2_camel-1.4,0.7306175544296865
camel-1.4_camel-1.6,0.7536248704663212
ivy-1.1_ivy-1.4,0.7422775472568004
ivy-1.4_ivy-2.0,0.7802607548701299
jedit-3.2_jedit-4.0,0.8130024871305455
jedit-4.0_jedit-4.1,0.7747548150773957
jedit-4.1_jedit-4.2,0.8713690812811681
jedit-4.2_jedit-4.3,0.6218665311653117
log4j-1.0_log4j-1.1,0.7801365478984424
log4j-1.1_log4j-1.2,0.5653051229307474
lucene-2.0_lucene-2.2,0.6900975962760861
lucene-2.2_lucene-2.4,0.6742949553239017
poi-1.5_poi-2.0,0.6952065980728401
poi-2.0_poi-2.5,0.5156839128613322
poi-2.5_poi-3.0,0.6824592760180995
synapse-1.0_synapse-1.1,0.6237146237146237
synapse-1.1_synapse-1.2,0.6445581896551724
velocity-1.4_velocity-1.5,0.6149800943049948
velocity-1.5_velocity-1.6,0.7441048034934498
xalan-2.4_xalan-2.5,0.5941654764501293
xalan-2.5_xalan-2.6,0.6814291525423729
xalan-2.6_xalan-2.7,0.5698977976940316
xerces-init_xerces-1.2,0.6334288537549407
xerces-1.2_xerces-1.3,0.5591966052453992
xerces-1.3_xerces-1.4,0.7281623488994595
