filename,RidgeCV,LassoLarsCV,MLPRegressor,RandomForestRegressor
ant-1.3,0.799515152,0.800484848,0.250181818,0.94230303
ant-1.4,0.726392541,0.724121444,0.544047334,0.903179536
ant-1.5,0.828961482,0.824183325,0.671379815,0.951340809
ant-1.6,0.825932119,0.824414716,0.832048185,0.911735105
ant-1.7,0.827882133,0.828886859,0.832901791,0.925739645
camel-1.0,0.837968816,0.501474926,0.769700801,0.983354404
camel-1.2,0.685877319,0.675656004,0.660101898,0.8854466
camel-1.4,0.773649528,0.770104751,0.784927427,0.947098795
camel-1.6,0.777985492,0.787502591,0.782271503,0.944792746
ivy-1.1,0.807253606,0.795499362,0.816262615,0.858562425
ivy-1.4,0.809820194,0.809589673,0.690871369,0.972106962
ivy-2.0,0.847706981,0.829697646,0.825385552,0.955965909
jedit-3.2,0.860197875,0.860756083,0.825069295,0.9141419
jedit-4.0,0.85382324,0.85375094,0.818020128,0.932840245
jedit-4.1,0.837336051,0.83644984,0.81421334,0.924598251
jedit-4.2,0.889491543,0.89167652,0.603285178,0.959732147
jedit-4.3,0.764397019,0.50101626,0.389058266,0.986026423
log4j-1.0,0.824529447,0.8191864,0.858166363,0.916575592
log4j-1.1,0.827074888,0.828781737,0.791444421,0.893962023
log4j-1.2,0.590351651,0.585199334,0.584288373,0.651415418
lucene-2.0,0.771125144,0.767192882,0.778243398,0.876463835
lucene-2.2,0.712267011,0.716164017,0.74651372,0.835866143
lucene-2.4,0.73160834,0.725274572,0.738635517,0.826579952
poi-1.5,0.658357391,0.657092802,0.623966738,0.824789646
poi-2.0,0.763024661,0.501592357,0.578882901,0.945533235
poi-2.5,0.672114579,0.643922811,0.665191663,0.75867721
poi-3.0,0.695239819,0.701531674,0.696945701,0.793972851
synapse-1.0,0.824992417,0.821656051,0.71458902,0.962693358
synapse-1.1,0.75034125,0.746428246,0.796569297,0.901060151
synapse-1.2,0.72424569,0.701185345,0.687607759,0.881196121
velocity-1.4,0.650218659,0.649757046,0.535471331,0.71361759
velocity-1.5,0.706398057,0.701767513,0.680421831,0.79015021
velocity-1.6,0.750861871,0.775798667,0.705929671,0.89793151
xalan-2.4,0.781341987,0.777538391,0.813295741,0.942179133
xalan-2.5,0.652346544,0.658493456,0.631262708,0.81067935
xalan-2.6,0.695798418,0.693057627,0.71827435,0.824672542
xalan-2.7,0.567848129,0.566870455,0.570101404,0.607392231
xerces-init,0.734124344,0.675630221,0.749390109,0.827086568
xerces-1.2,0.698913043,0.587094862,0.719100791,0.925573123
xerces-1.3,0.776979034,0.788090908,0.823845635,0.956719166
xerces-1.4,0.763278306,0.763730116,0.775090895,0.828577076
,0.757989555,0.730934226,0.704706235,0.880300706
