filename,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.5609610327516137,0.596461869471671
ant-1.4_ant-1.5,0.7131155533885909,0.7261335933690882
ant-1.5_ant-1.6,0.8174934968413229,0.8072897312027747
ant-1.6_ant-1.7,0.8287677216949287,0.8259282792581708
camel-1.0_camel-1.2,0.6743499823553136,0.6302051824964711
camel-1.2_camel-1.4,0.7637922771463782,0.7632856360399836
camel-1.4_camel-1.6,0.7386911917098445,0.7387813471502591
ivy-1.1_ivy-1.4,0.7704011065006916,0.7674043337943753
ivy-1.4_ivy-2.0,0.7953784496753247,0.786424512987013
jedit-3.2_jedit-4.0,0.8389438371218694,0.8387992365087628
jedit-4.0_jedit-4.1,0.8272184804442869,0.8216058135412974
jedit-4.1_jedit-4.2,0.8626805819752198,0.8700838003187497
jedit-4.2_jedit-4.3,0.6719173441734417,0.6861449864498645
log4j-1.0_log4j-1.1,0.79037764028163,0.8007254107104758
log4j-1.1_log4j-1.2,0.56223920070526,0.5578705064159075
lucene-2.0_lucene-2.2,0.7176260048113595,0.6876674685599171
lucene-2.2_lucene-2.4,0.7010982874162324,0.6941269545793001
poi-1.5_poi-2.0,0.6920627143557081,0.6602155805977462
poi-2.0_poi-2.5,0.4806346878927524,0.5128875157100964
poi-2.5_poi-3.0,0.6807782805429864,0.6794253393665158
synapse-1.0_synapse-1.1,0.7162617162617163,0.7165347165347166
synapse-1.1_synapse-1.2,0.6476293103448276,0.6447198275862069
velocity-1.4_velocity-1.5,0.6500832933337098,0.6414151396222153
velocity-1.5_velocity-1.6,0.7123419903470467,0.7119282923465869
xalan-2.4_xalan-2.5,0.6365500840773652,0.637366232560103
xalan-2.5_xalan-2.6,0.6907642937853107,0.697432768361582
xalan-2.6_xalan-2.7,0.5690643260533803,0.5690806508515649
xerces-init_xerces-1.2,0.6994367588932806,0.6157015810276679
xerces-1.2_xerces-1.3,0.540558624712624,0.4110421027347905
xerces-1.3_xerces-1.4,0.7454350161117078,0.7150097821083321
