,filename,nsga2-fpa,nsga2-mse,nsga2-nnz,revised-nsga2-fpa,revised_nsga2-mse,revised_nsga2-nnz,learning-to-rank-fpa,learning-to-rank-mse,learning-to-rank-nnz,lasso-fpa,lasso-mse,lasso-nnz,ridge-fpa,ridge-mse,ridge-nnz,lr-fpa,lr-mse,lr-nnz
0,ant-1.3_ant-1.4,0.6035,9.4e+02,21,0.5981,0.3,1,0.573,6.0e+04,21,0.5781,0.3,4,0.6018,0.4,21,0.5412,0.5,21
1,ant-1.4_ant-1.5,0.7022,4.7e+04,21,0.762,0.1,2,0.7117,9.5e+04,21,0.7695,0.1,5,0.7591,0.1,21,0.7178,0.2,21
2,ant-1.5_ant-1.6,0.7108,3.9e+04,21,0.8122,1.4,2,0.728,5.2e+05,21,0.817,1.3,8,0.8077,1.3,21,0.7838,1.3,21
3,ant-1.6_ant-1.7,0.8046,6.0e+03,21,0.8274,0.8,1,0.8196,1.1e+06,21,0.8283,0.7,4,0.8218,0.7,21,0.8136,0.8,21
4,camel-1.0_camel-1.2,0.5723,1.4e+03,21,0.6749,3.2,2,0.5912,7.5e+05,21,0.5008,4.3,1,0.6098,4.2,21,0.6123,4.2,21
5,camel-1.2_camel-1.4,0.7085,1.7e+03,21,0.7628,1.7,1,0.765,3.2e+04,21,0.7593,1.7,5,0.6949,2.7,21,0.6772,3.1,21
6,camel-1.4_camel-1.6,0.7171,1.3e+03,21,0.7391,3.4,1,0.7461,1.2e+05,21,0.7544,3.0,6,0.7489,2.9,21,0.7458,2.9,21
7,ivy-1.1_ivy-1.4,0.6005,9.0e+04,21,0.7697,22.1,1,0.7199,1.3e+06,21,0.7683,125.4,9,0.7732,147.8,21,0.7905,127.9,21
8,ivy-1.4_ivy-2.0,0.7031,3.0e+04,21,0.8066,0.2,2,0.7856,1.1e+05,21,0.7481,0.2,4,0.506,0.3,21,0.4351,0.3,21
9,jedit-3.2_jedit-4.0,0.8415,6.2e+04,21,0.8398,4.0,1,0.8447,3.5e+05,21,0.8382,6.8,15,0.8353,7.6,21,0.8354,7.6,21
10,jedit-4.0_jedit-4.1,0.7971,2.9e+04,21,0.8216,2.0,1,0.8231,1.9e+05,21,0.7947,1.5,15,0.804,1.6,21,0.804,1.6,21
11,jedit-4.1_jedit-4.2,0.8669,2.4e+04,21,0.864,1.2,1,0.8686,1.3e+06,21,0.8805,2.6,21,0.8826,2.5,21,0.8826,2.5,21
12,jedit-4.2_jedit-4.3,0.7166,7.9e+04,21,0.6651,0.5,1,0.6885,2.9e+05,21,0.6506,0.7,21,0.6479,0.7,21,0.6506,0.7,21
13,log4j-1.0_log4j-1.1,0.794,4.4e+03,21,0.7568,1.2,1,0.7984,6.1e+04,21,0.8008,1.0,12,0.8033,1.0,21,0.7786,1.0,21
14,log4j-1.1_log4j-1.2,0.5484,2.8e+04,21,0.5607,4.4,2,0.5572,1.0e+05,21,0.5622,8.8,8,0.5656,11.3,21,0.5671,9.2,21
15,lucene-2.0_lucene-2.2,0.6908,6.0e+03,21,0.7162,8.0,1,0.7103,3.1e+05,21,0.7193,6.8,9,0.7191,6.9,21,0.7188,6.9,21
16,lucene-2.2_lucene-2.4,0.6415,1.2e+04,21,0.6951,4.5,1,0.6881,3.1e+06,21,0.6942,5.9,6,0.6557,14.1,21,0.6358,11.2,21
17,poi-1.5_poi-2.0,0.6995,4.8e+04,21,0.7009,16.1,2,0.7255,1.9e+05,21,0.7086,4.4,5,0.6933,5.5,21,0.6623,6.8,21
18,poi-2.0_poi-2.5,0.5134,3.6e+04,21,0.4543,28.9,2,0.5024,1.3e+05,21,0.5013,3.3,1,0.4727,3.2,21,0.4766,3.3,21
19,poi-2.5_poi-3.0,0.6476,4.4e+04,21,0.6869,4.9,2,0.6603,1.3e+05,21,0.7015,2.7,2,0.6891,2.4,21,0.6725,2.5,21
20,synapse-1.0_synapse-1.1,0.6426,5.0e+03,21,0.7105,0.8,1,0.6391,6.7e+04,21,0.7387,0.9,6,0.7236,0.9,21,0.6377,0.9,21
21,synapse-1.1_synapse-1.2,0.6616,3.5e+03,21,0.6534,1.1,2,0.6231,2.3e+06,21,0.681,0.9,6,0.6749,0.9,21,0.6623,1.0,21
22,velocity-1.4_velocity-1.5,0.6095,1.8e+04,21,0.6213,5.0,3,0.6476,3.4e+05,21,0.6202,4.6,20,0.6212,4.8,21,0.6195,4.8,21
23,velocity-1.5_velocity-1.6,0.7437,6.5e+03,21,0.7125,3.1,2,0.7602,2.8e+05,21,0.737,2.6,9,0.7465,2.8,21,0.7466,2.9,21
24,xalan-2.4_xalan-2.5,0.6334,3.3e+04,21,0.6333,1.0,1,0.6475,1.1e+06,21,0.6333,0.9,4,0.6468,0.9,21,0.6432,0.9,21
25,xalan-2.5_xalan-2.6,0.6646,1.5e+04,21,0.6615,23.5,3,0.66,7.5e+05,21,0.6508,0.8,19,0.6529,0.8,21,0.6493,0.8,21
26,xalan-2.6_xalan-2.7,0.5673,6.8e+04,21,0.5699,1.5,1,0.5689,7.2e+05,21,0.5588,0.9,6,0.5538,0.9,21,0.5533,0.9,21
27,xerces-init_xerces-1.2,0.7025,2.2e+04,21,0.6046,38.5,3,0.6355,5.9e+05,21,0.5071,1.3,5,0.5699,1.5,21,0.6038,2.3,21
28,xerces-1.2_xerces-1.3,0.6687,4.5e+03,21,0.6165,4.5,5,0.717,9.9e+04,21,0.7137,3.5,5,0.6986,3.2,21,0.6728,3.2,21
29,xerces-1.3_xerces-1.4,0.675,3.2e+03,21,0.74,29.4,2,0.7142,7.0e+04,21,0.7524,26.0,4,0.6767,27.9,21,0.6711,27.8,21
30,,0.6816,2.6e+04,21,0.7013,7.2,2,0.6974,5.6e+05,21,0.699,7.5,8,0.6886,8.7,21,0.6754,8.0,21
