filename,LassoLarsCV,RandomForestRegressor,mlp3/CoDE,mlp3/CoDE_toZero,mlp3/CoDE_10p_toZero,mlp3/CoDE_20p_toZero,mlp3/CoDE_10p_lr_toZero,mlp3/CoDE_20p_lr_toZero,mlp3/CoDE_random10p_toZero,mlp3/CoDE_random20p_toZero,mlp3/CoDE_random30p_toZero
ant-1.3,4.0,0.0,63.0,63.0,54.0,50.0,56.0,52.0,53.0,46.0,10.0
ant-1.4,5.0,0.0,63.0,58.0,55.0,47.0,52.0,45.0,35.0,25.0,25.0
ant-1.5,8.0,0.0,63.0,59.0,56.0,49.0,55.0,47.0,36.0,34.0,38.0
ant-1.6,4.0,0.0,63.0,60.0,61.0,51.0,53.0,54.0,44.0,27.0,25.0
ant-1.7,14.0,0.0,63.0,57.0,55.0,49.0,55.0,47.0,53.0,30.0,11.0
camel-1.0,1.0,0.0,63.0,58.0,57.0,53.0,59.0,55.0,47.0,33.0,19.0
camel-1.2,5.0,0.0,63.0,61.0,60.0,44.0,56.0,47.0,51.0,21.0,11.0
camel-1.4,6.0,0.0,63.0,60.0,59.0,48.0,55.0,53.0,48.0,41.0,12.0
camel-1.6,21.0,0.0,63.0,63.0,55.0,51.0,56.0,49.0,43.0,20.0,18.0
ivy-1.1,9.0,0.0,63.0,60.0,57.0,55.0,54.0,54.0,56.0,29.0,24.0
ivy-1.4,4.0,0.0,63.0,60.0,57.0,49.0,61.0,48.0,51.0,21.0,29.0
ivy-2.0,3.0,0.0,63.0,61.0,58.0,49.0,60.0,50.0,35.0,29.0,46.0
jedit-3.2,15.0,0.0,63.0,60.0,61.0,52.0,52.0,52.0,39.0,31.0,14.0
jedit-4.0,15.0,0.0,63.0,62.0,57.0,54.0,53.0,49.0,53.0,23.0,21.0
jedit-4.1,21.0,0.0,63.0,59.0,55.0,54.0,56.0,50.0,38.0,37.0,47.0
jedit-4.2,21.0,0.0,63.0,55.0,57.0,44.0,55.0,50.0,41.0,29.0,12.0
jedit-4.3,1.0,0.0,63.0,59.0,57.0,58.0,54.0,51.0,52.0,45.0,15.0
log4j-1.0,12.0,0.0,63.0,59.0,54.0,49.0,57.0,50.0,51.0,20.0,11.0
log4j-1.1,8.0,0.0,63.0,59.0,56.0,55.0,56.0,56.0,37.0,30.0,23.0
log4j-1.2,7.0,0.0,63.0,58.0,61.0,54.0,53.0,52.0,44.0,14.0,12.0
lucene-2.0,9.0,0.0,63.0,59.0,56.0,46.0,56.0,49.0,42.0,24.0,12.0
lucene-2.2,6.0,0.0,63.0,61.0,61.0,54.0,59.0,52.0,42.0,51.0,16.0
lucene-2.4,10.0,0.0,63.0,57.0,56.0,51.0,56.0,50.0,48.0,25.0,10.0
poi-1.5,5.0,0.0,63.0,60.0,60.0,49.0,58.0,49.0,37.0,31.0,21.0
poi-2.0,1.0,0.0,63.0,56.0,50.0,51.0,61.0,48.0,31.0,28.0,22.0
poi-2.5,2.0,0.0,63.0,60.0,59.0,55.0,60.0,51.0,41.0,26.0,25.0
poi-3.0,2.0,0.0,63.0,59.0,57.0,51.0,52.0,52.0,32.0,21.0,9.0
synapse-1.0,6.0,0.0,63.0,59.0,60.0,54.0,59.0,55.0,43.0,32.0,22.0
synapse-1.1,6.0,0.0,63.0,60.0,57.0,48.0,52.0,51.0,34.0,30.0,22.0
synapse-1.2,5.0,0.0,63.0,59.0,59.0,47.0,53.0,50.0,46.0,45.0,18.0
velocity-1.4,20.0,0.0,63.0,62.0,57.0,48.0,57.0,55.0,40.0,30.0,18.0
velocity-1.5,9.0,0.0,63.0,59.0,59.0,48.0,60.0,54.0,35.0,35.0,16.0
velocity-1.6,11.0,0.0,63.0,62.0,62.0,48.0,53.0,52.0,31.0,37.0,22.0
xalan-2.4,4.0,0.0,63.0,59.0,61.0,49.0,51.0,51.0,42.0,25.0,42.0
xalan-2.5,19.0,0.0,63.0,60.0,57.0,49.0,55.0,47.0,45.0,25.0,22.0
xalan-2.6,6.0,0.0,63.0,59.0,54.0,54.0,54.0,51.0,48.0,51.0,17.0
xalan-2.7,5.0,0.0,63.0,63.0,55.0,53.0,54.0,54.0,34.0,38.0,25.0
xerces-init,5.0,0.0,63.0,58.0,52.0,53.0,57.0,42.0,46.0,42.0,31.0
xerces-1.2,5.0,0.0,63.0,63.0,56.0,51.0,54.0,52.0,50.0,42.0,17.0
xerces-1.3,4.0,0.0,63.0,61.0,59.0,50.0,56.0,56.0,47.0,34.0,22.0
xerces-1.4,11.0,0.0,63.0,59.0,59.0,43.0,55.0,50.0,39.0,23.0,18.0
