filename,FPA,AAE,numOfNonZero
ant-1.3,0.8363636363636363,75618031.0008966,21
ant-1.4,0.7642840066937605,29696220.72726164,21
ant-1.5,0.8799609946367626,58463140.27012351,21
ant-1.6,0.8377926421404682,151923825.0054069,21
ant-1.7,0.8369842341447917,250338894.6508213,21
camel-1.0,0.8874841972187105,2417325.085696121,21
camel-1.2,0.73221037507562,213340825.58618805,21
camel-1.4,0.7970765438860742,151444752.25539002,21
camel-1.6,0.7930404145077721,94709030.8157597,21
ivy-1.1,0.8313420716854193,98719901.49557884,21
ivy-1.4,0.8983402489626556,167300074.32942462,21
ivy-2.0,0.8714995941558441,128368235.17387944,21
jedit-3.2,0.8731521404373268,107384256.47648144,21
jedit-4.0,0.8722019781363873,415639847.52176005,21
jedit-4.1,0.858088148410729,319898711.0384477,21
jedit-4.2,0.9048892087810395,42280400.577786565,21
jedit-4.3,0.9286924119241192,51745680.90128403,21
log4j-1.0,0.8579234972677595,36361080.3897864,21
log4j-1.1,0.8535310433112865,17854147.95469544,21
log4j-1.2,0.6056812616318934,71976274.81166236,21
lucene-2.0,0.7937428243398392,101947853.27967122,21
lucene-2.2,0.7384165542060279,556831645.3443726,21
lucene-2.4,0.7395243857036485,51471084.06105045,21
poi-1.5,0.7030868310015546,7306862.805461722,21
poi-2.0,0.8251674016005226,337864671.0439191,21
poi-2.5,0.6880027230833683,305892922.6587406,21
poi-3.0,0.7202760180995476,181521415.219797,21
synapse-1.0,0.8944494995450409,24496539.356930625,21
synapse-1.1,0.8053963053963054,176877143.81259635,21
synapse-1.2,0.7580010775862069,71815166.71248364,21
velocity-1.4,0.6415451895043732,114324477.76693536,21
velocity-1.5,0.7214332100403761,266484419.18782297,21
velocity-1.6,0.8177890140197656,272130699.7242268,21
xalan-2.4,0.8169929425116147,216374305.1469189,21
xalan-2.5,0.6715963911227436,908045017.3791442,21
xalan-2.6,0.7137437288135593,477563553.66891646,21
xalan-2.7,0.5765478856212084,1379920260.61311,21
xerces-init,0.7707178236120352,605808143.6323605,21
xerces-1.2,0.7528063241106719,24154403.7242134,21
xerces-1.3,0.8597376156652827,85282907.81444252,21
xerces-1.4,0.7769903074011559,305526972.6406359,21
