filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE,LinearRegression,RidgeCV,LassoLarsCV,MLPRegressor,RandomForestRegressor,linear/CoDE,linear/CoDE_toZero
ant-1.3,"[0.4004848484848485, 0.8535757575757575]","[0.2332121212121212, 0.8407272727272728]","[0.25042424242424244, 0.8135757575757576]","[0.2315151515151515, 0.8443636363636363]","[0.2315151515151515, 0.8278787878787879]","[0.22872727272727272, 0.8186666666666667]","[0.39321212121212124, 0.8402424242424242]","[0.2273939393939394, 0.824969696969697]","[0.22787878787878788, 0.8223030303030303]",0.8147878787878788,0.7995151515151515,0.8004848484848485,0.25018181818181817,0.9423030303030304,0.8181818181818182,0.816
ant-1.4,"[0.5325125508008606, 0.780241453502271]","[0.31926846760698063, 0.7548410231890988]","[0.443939756155869, 0.7443222567535261]","[0.4335405211570643, 0.7714558928998326]","[0.29141764284006694, 0.7629691608893139]","[0.2843652880707626, 0.744561319627062]","[0.4199139373655271, 0.7780898876404494]","[0.28209419077217307, 0.7534664116662683]","[0.2921945971790581, 0.7419316280181688]",0.7517332058331341,0.7263925412383457,0.7241214439397562,0.54404733444896,0.9031795362180254,0.7538847716949558,0.7544824288787951
ant-1.5,"[0.24982935153583619, 0.8516821062896148]","[0.5017064846416392, 0.8535348610433935]","[0.1946367625548513, 0.8473915163334959]","[0.22642613359336908, 0.8577279375914189]","[0.20273037542662117, 0.8469039492930278]","[0.21043393466601656, 0.8361774744027304]","[0.23305704534373475, 0.8587030716723549]","[0.19366162847391516, 0.8460263286201852]","[0.1960994636762555, 0.8386153096050707]",0.8238907849829351,0.8289614822038031,0.824183325207216,0.6713798147245246,0.9513408093612872,0.8637737688932228,0.8642613359336909
ant-1.6,"[0.20608819521863, 0.8393719806763285]","[0.4040397002353524, 0.8404713241669763]","[0.45843397745571657, 0.830267558528428]","[0.2122042611173046, 0.8381487674965936]","[0.17744332961724266, 0.8350133159915769]","[0.17809364548494983, 0.8299733680168463]","[0.7856125356125356, 0.8376842561625171]","[0.1787749287749288, 0.8336584912671869]","[0.17793106651802304, 0.8302985259506999]",0.8236250464511334,0.8259321194103802,0.8244147157190636,0.8320481853090549,0.9117351046698872,0.8293849869936827,0.8297101449275363
ant-1.7,"[0.17362296969937652, 0.8345419165243636]","[0.4916246376236051, 0.8333306858345578]","[0.5006711409395973, 0.8317620428100552]","[0.2633175807156189, 0.8334061395496605]","[0.17182002303323934, 0.8320360589333228]","[0.17361899845121323, 0.8320261308129145]","[0.182006274572098, 0.8328382510623089]","[0.17513601524959294, 0.8334577657757833]","[0.17484809975775387, 0.8323219888010802]",0.8260394742067432,0.8278821333545133,0.8288868591398276,0.8329017910329216,0.9257396449704142,0.8356697510027402,0.8354632460982486
camel-1.0,"[0.3215339233038348, 0.8678887484197219]","[0.3950695322376738, 0.8921196797302992]","[0.5014749262536873, 0.8438685208596713]","[0.31142014327855033, 0.8933839022334598]","[0.2391487568478719, 0.8790560471976401]","[0.24041297935103245, 0.8352296670880741]","[0.4964180362410451, 0.8845343447113359]","[0.19953645174884113, 0.8613569321533924]","[0.20037926675094817, 0.87126000842815]",0.8417614833544037,0.8379688158449221,0.5014749262536873,0.7697008006742521,0.983354403708386,0.8714707121786768,0.8725242309313106
camel-1.2,"[0.3478445125025207, 0.7015338273845534]","[0.5008223684210525, 0.6933132940108893]","[0.3772087366404517, 0.701669313369631]","[0.5008223684210525, 0.7036795472877596]","[0.3259020845936681, 0.7000844424279089]","[0.3297571334946562, 0.6893589937487397]","[0.32791862018552126, 0.7019182294817503]","[0.3251395820729986, 0.6950856397459165]","[0.32538219651139344, 0.6930706795724945]",0.6979229683403912,0.6858773190159306,0.6756560042347247,0.6601018980641258,0.8854465996168582,0.7148240572696108,0.7148807723331316
camel-1.4,"[0.3547993975078735, 0.786216280980419]","[0.2582774202382582, 0.781387785841435]","[0.5005733944954139, 0.7789161988224017]","[0.33193550595645627, 0.783939819252362]","[0.23247466794468027, 0.7874948651239216]","[0.2394752156647953, 0.7841263864165412]","[0.2366801314528276, 0.7881007805011639]","[0.23048404765165, 0.7849445433383541]","[0.2325756538408873, 0.7839449541284403]",0.7721552786526085,0.7736495275914008,0.7701047514719979,0.7849274270847597,0.9470987950157471,0.7924106531562372,0.7934410516226208
camel-1.6,"[0.2417098445595855, 0.7781854922279793]","[0.3001336787564767, 0.7771357512953367]","[0.38729948186528496, 0.7754300518134715]","[0.3131088082901554, 0.7802756476683937]","[0.25255751295336787, 0.7852300518134715]","[0.25311088082901556, 0.7668062176165803]","[0.25941968911917096, 0.7785119170984456]","[0.24027357512953368, 0.7793450777202072]","[0.2538155440414508, 0.7711544041450777]",0.7875025906735751,0.7779854922279793,0.7875025906735751,0.7822715025906736,0.9447927461139896,0.7911544041450778,0.7959067357512953
ivy-1.1,"[0.25944399334957274, 0.8135753779530603]","[0.202219386768743, 0.811120133008545]","[0.20299269226307853, 0.8130920620191007]","[0.23001971929010556, 0.8189111858639756]","[0.20229671731817656, 0.8141746897111704]","[0.20278003325213625, 0.8169972547654951]","[0.20380466303213085, 0.8194718323473689]","[0.20245137841704366, 0.814252020260604]","[0.20278003325213625, 0.8130920620191007]",0.8113521246568457,0.8072536055368673,0.7954993620229672,0.8162626145458763,0.8585624250860302,0.8238410083903646,0.8227583806982949
