filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE,LinearRegression,RidgeCV,LassoLarsCV,MLPRegressor,RandomForestRegressor,linear/CoDE,linear/CoDE_toZero
ant-1.3,0.8535757575757575,0.8407272727272728,0.8135757575757576,0.8443636363636363,0.8278787878787879,0.8186666666666667,0.8402424242424242,0.824969696969697,0.8223030303030303,0.8147878787878788,0.7995151515151515,0.8004848484848485,0.25018181818181817,0.9423030303030304,0.8181818181818182,0.816
ant-1.4,0.780241453502271,0.7548410231890988,0.7443222567535261,0.7714558928998326,0.7629691608893139,0.744561319627062,0.7780898876404494,0.7534664116662683,0.7419316280181688,0.7517332058331341,0.7263925412383457,0.7241214439397562,0.54404733444896,0.9031795362180254,0.7538847716949558,0.7544824288787951
ant-1.5,0.8516821062896148,0.8535348610433935,0.8473915163334959,0.8577279375914189,0.8469039492930278,0.8361774744027304,0.8587030716723549,0.8460263286201852,0.8386153096050707,0.8238907849829351,0.8289614822038031,0.824183325207216,0.6713798147245246,0.9513408093612872,0.8637737688932228,0.8642613359336909
ant-1.6,0.8393719806763285,0.8404713241669763,0.830267558528428,0.8381487674965936,0.8350133159915769,0.8299733680168463,0.8376842561625171,0.8336584912671869,0.8302985259506999,0.8236250464511334,0.8259321194103802,0.8244147157190636,0.8320481853090549,0.9117351046698872,0.8293849869936827,0.8297101449275363
ant-1.7,0.8345419165243636,0.8333306858345578,0.8317620428100552,0.8334061395496605,0.8320360589333228,0.8320261308129145,0.8328382510623089,0.8334577657757833,0.8323219888010802,0.8260394742067432,0.8278821333545133,0.8288868591398276,0.8329017910329216,0.9257396449704142,0.8356697510027402,0.8354632460982486
camel-1.0,0.8678887484197219,0.8921196797302992,0.8438685208596713,0.8933839022334598,0.8790560471976401,0.8352296670880741,0.8845343447113359,0.8613569321533924,0.87126000842815,0.8417614833544037,0.8379688158449221,0.5014749262536873,0.7697008006742521,0.983354403708386,0.8714707121786768,0.8725242309313106
camel-1.2,0.7015338273845534,0.6933132940108893,0.701669313369631,0.7036795472877596,0.7000844424279089,0.6893589937487397,0.7019182294817503,0.6950856397459165,0.6930706795724945,0.6979229683403912,0.6858773190159306,0.6756560042347247,0.6601018980641258,0.8854465996168582,0.7148240572696108,0.7148807723331316
camel-1.4,0.786216280980419,0.781387785841435,0.7789161988224017,0.783939819252362,0.7874948651239216,0.7841263864165412,0.7881007805011639,0.7849445433383541,0.7839449541284403,0.7721552786526085,0.7736495275914008,0.7701047514719979,0.7849274270847597,0.9470987950157471,0.7924106531562372,0.7934410516226208
camel-1.6,0.7781854922279793,0.7771357512953367,0.7754300518134715,0.7802756476683937,0.7852300518134715,0.7668062176165803,0.7785119170984456,0.7793450777202072,0.7711544041450777,0.7875025906735751,0.7779854922279793,0.7875025906735751,0.7822715025906736,0.9447927461139896,0.7911544041450778,0.7959067357512953
ivy-1.1,0.8135753779530603,0.811120133008545,0.8130920620191007,0.8189111858639756,0.8141746897111704,0.8169972547654951,0.8194718323473689,0.814252020260604,0.8130920620191007,0.8113521246568457,0.8072536055368673,0.7954993620229672,0.8162626145458763,0.8585624250860302,0.8238410083903646,0.8227583806982949
