filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.569925891,0.60106383,0.568371982,0.580922783,0.526894573,0.618575185,0.5399235,0.562275879,0.643437724
ant-1.4_ant-1.5,0.644758654,0.645782545,0.758166748,0.64305217,0.774061433,0.759141882,0.723842028,0.678303267,0.724524622
ant-1.5_ant-1.6,0.763207606,0.746748421,0.785875759,0.730846649,0.784884801,0.815201908,0.755094141,0.793354391,0.774681036
ant-1.6_ant-1.7,0.821365315,0.804241293,0.827661729,0.81956634,0.824488702,0.825344506,0.816746754,0.827917875,0.826970732
camel-1.0_camel-1.2,0.64085186,0.641513536,0.60078897,0.54281042,0.653804951,0.672771413,0.553208182,0.621742035,0.604765326
camel-1.2_camel-1.4,0.76396344,0.752089895,0.777115569,0.766458989,0.756952622,0.756723264,0.754652198,0.754337259,0.757438724
camel-1.4_camel-1.6,0.737511917,0.739034197,0.725819689,0.751289119,0.758963731,0.759241451,0.732149223,0.745925389,0.740853886
ivy-1.1_ivy-1.4,0.711618257,0.773858921,0.770862148,0.760258183,0.785846012,0.736745044,0.743891194,0.744352236,0.773858921
ivy-1.4_ivy-2.0,0.763595779,0.808238636,0.803216315,0.786931818,0.718141234,0.801288555,0.811079545,0.800172484,0.762276786
jedit-3.2_jedit-4.0,0.842414252,0.841503268,0.842284111,0.825033258,0.838813697,0.83262479,0.839912661,0.84426514,0.843310776
jedit-4.0_jedit-4.1,0.816879357,0.820143566,0.769408011,0.814117334,0.831738154,0.832964079,0.806126669,0.773986766,0.800410611
jedit-4.1_jedit-4.2,0.87296283,0.870032389,0.84972495,0.867050537,0.875867565,0.870417973,0.862192175,0.869004164,0.860958305
jedit-4.2_jedit-4.3,0.664634146,0.640582656,0.641429539,0.650575881,0.633130081,0.663617886,0.634823848,0.693089431,0.637533875
log4j-1.0_log4j-1.1,0.790057606,0.805525923,0.801792191,0.805952635,0.806806059,0.825048005,0.795764882,0.792297845,0.787390655
log4j-1.1_log4j-1.2,0.560603389,0.550896268,0.559251641,0.553207954,0.557537467,0.554432364,0.564129689,0.563551768,0.560671956
lucene-2.0_lucene-2.2,0.714946508,0.695060533,0.715298559,0.713127579,0.709817325,0.721537679,0.697001702,0.713577422,0.712682626
lucene-2.2_lucene-2.4,0.662835071,0.663458675,0.693024013,0.682557707,0.62369462,0.697868578,0.676033135,0.662965376,0.676870812
poi-1.5_poi-2.0,0.665441777,0.741221623,0.617017802,0.649599869,0.701208558,0.715580598,0.642168871,0.667401601,0.637065164
poi-2.0_poi-2.5,0.461832321,0.525418936,0.473156682,0.538552576,0.488060327,0.509240155,0.49625576,0.473711772,0.488149351
poi-2.5_poi-3.0,0.675036199,0.689954751,0.691153846,0.701162896,0.703361991,0.683076923,0.682475113,0.694972851,0.687466063
synapse-1.0_synapse-1.1,0.631540632,0.686777687,0.724770225,0.642961143,0.704932205,0.706888707,0.701838202,0.713076713,0.697106197
synapse-1.1_synapse-1.2,0.64921875,0.654525862,0.652155172,0.649703664,0.65,0.648006466,0.620824353,0.657327586,0.686503233
velocity-1.4_velocity-1.5,0.643208064,0.670567806,0.574328712,0.622914137,0.636071661,0.629436429,0.637335178,0.638888105,0.642311602
velocity-1.5_velocity-1.6,0.730360837,0.726499655,0.721788095,0.717306366,0.71968513,0.731923696,0.726315789,0.734842565,0.716570903
xalan-2.4_xalan-2.5,0.629051134,0.62473352,0.629348981,0.634189586,0.63755268,0.627334407,0.640986133,0.645962762,0.63528951
xalan-2.5_xalan-2.6,0.668863277,0.655408814,0.668076836,0.637132655,0.679946667,0.661957062,0.661161582,0.689653333,0.672922034
xalan-2.6_xalan-2.7,0.569020793,0.572479837,0.56836236,0.568371429,0.568846662,0.570695445,0.568797234,0.56998577,0.570131786
xerces-init_xerces-1.2,0.597608696,0.628231225,0.63263834,0.630612648,0.640434783,0.585148221,0.613181818,0.70486166,0.702490119
xerces-1.2_xerces-1.3,0.602997861,0.558996443,0.510745862,0.553111668,0.605336902,0.51289046,0.563577303,0.629842501,0.549251393
xerces-1.3_xerces-1.4,0.732232367,0.729655239,0.748953591,0.734803633,0.737537935,0.731263746,0.682816203,0.742963915,0.742570712
,0.686618153,0.695474865,0.690086281,0.685806054,0.697813951,0.701899563,0.684810169,0.700153662,0.697215515
