filename,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.320705649,0.400391301
ant-1.4_ant-1.5,0.149355958,0.126263369
ant-1.5_ant-1.6,1.536294552,1.504410121
ant-1.6_ant-1.7,1.187667232,1.200717243
camel-1.0_camel-1.2,4.260049132,4.238035377
camel-1.2_camel-1.4,1.551143204,1.771354555
camel-1.4_camel-1.6,3.181760489,3.204899167
ivy-1.1_ivy-1.4,1.005809003,2.905481358
ivy-1.4_ivy-2.0,0.272726893,0.246822782
jedit-3.2_jedit-4.0,5.012235643,5.187347871
jedit-4.0_jedit-4.1,3.471258715,3.117547272
jedit-4.1_jedit-4.2,1.15143468,1.063740267
jedit-4.2_jedit-4.3,0.079527821,0.068220691
log4j-1.0_log4j-1.1,2.182415931,2.283684401
log4j-1.1_log4j-1.2,4.541485055,4.558983326
lucene-2.0_lucene-2.2,15.93522268,14.19517359
lucene-2.2_lucene-2.4,10.48792869,9.655924205
poi-1.5_poi-2.0,0.221134661,0.639697777
poi-2.0_poi-2.5,3.324496589,3.335405917
poi-2.5_poi-3.0,3.505310613,3.619595434
synapse-1.0_synapse-1.1,1.059330246,1.103600934
synapse-1.1_synapse-1.2,1.188736838,1.153202875
velocity-1.4_velocity-1.5,3.736193067,3.700541047
velocity-1.5_velocity-1.6,3.278015721,3.109059505
xalan-2.4_xalan-2.5,1.017696716,1.003498852
xalan-2.5_xalan-2.6,1.023998979,0.986074333
xalan-2.6_xalan-2.7,0.825796521,1.00608011
xerces-init_xerces-1.2,0.472630396,0.424309468
xerces-1.2_xerces-1.3,3.6774831,3.712151787
xerces-1.3_xerces-1.4,32.21239461,33.00143911
,3.729007979,3.750788468
