filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.653538131,0.567176667,0.594609132,0.568850108,0.607936887,0.551278986,0.523667224,0.56155869,0.569925891
ant-1.4_ant-1.5,0.689907362,0.724329595,0.735933691,0.540906875,0.697708435,0.726133593,0.727645051,0.713115553,0.707459776
ant-1.5_ant-1.6,0.751006441,0.728075065,0.815875449,0.721107395,0.813777406,0.750929023,0.743605227,0.817493497,0.81884058
ant-1.6_ant-1.7,0.81562289,0.828402367,0.82796553,0.827232834,0.82653588,0.825928279,0.829395179,0.828767722,0.817221318
camel-1.0_camel-1.2,0.608327347,0.63207678,0.671563067,0.676897434,0.656530424,0.633229986,0.66155916,0.649529265,0.671024274
camel-1.2_camel-1.4,0.761402848,0.76898706,0.749767219,0.76463782,0.765466247,0.757938518,0.767869369,0.763792277,0.76555354
camel-1.4_camel-1.6,0.746115026,0.744058031,0.738694301,0.757786528,0.739579275,0.738781347,0.759953368,0.727260104,0.752068394
ivy-1.1_ivy-1.4,0.779852467,0.771553711,0.775011526,0.770862148,0.753803596,0.767404334,0.779852467,0.773167358,0.772706316
ivy-1.4_ivy-2.0,0.816355519,0.760044643,0.761008523,0.779880276,0.805803571,0.798143263,0.777597403,0.782163149,0.781909497
jedit-3.2_jedit-4.0,0.829226676,0.685088785,0.670657644,0.836904968,0.725533576,0.838799237,0.729177512,0.838943837,0.83969576
jedit-4.0_jedit-4.1,0.805535862,0.816805506,0.826472587,0.824825712,0.815579582,0.821605814,0.819198275,0.82721848,0.82803084
jedit-4.1_jedit-4.2,0.871266259,0.873168475,0.869466865,0.863066166,0.874273816,0.8700838,0.871523315,0.862680582,0.864531387
jedit-4.2_jedit-4.3,0.654640921,0.64397019,0.639905149,0.712398374,0.665142276,0.686144986,0.651761518,0.671917344,0.666666667
log4j-1.0_log4j-1.1,0.79912524,0.787817367,0.784190314,0.799231918,0.773415831,0.78493706,0.809579689,0.810539791,0.767388521
log4j-1.1_log4j-1.2,0.564736997,0.554765403,0.559721814,0.560965814,0.561435988,0.557870506,0.562043295,0.562239201,0.555010285
lucene-2.0_lucene-2.2,0.723200141,0.70338751,0.707147607,0.713303605,0.716276477,0.703358172,0.708707387,0.717626005,0.704727259
lucene-2.2_lucene-2.4,0.669117647,0.673927308,0.66649758,0.68532204,0.65814408,0.694126955,0.666241623,0.701098287,0.663877513
poi-1.5_poi-2.0,0.69614568,0.667728238,0.693981708,0.698268822,0.748325984,0.692797648,0.649191573,0.683325167,0.701045239
poi-2.0_poi-2.5,0.466343737,0.538028907,0.504244344,0.533834311,0.457053833,0.599366359,0.470828969,0.480634688,0.535792836
poi-2.5_poi-3.0,0.68400905,0.680737557,0.678260181,0.682837104,0.681923077,0.679425339,0.687321267,0.680778281,0.687895928
synapse-1.0_synapse-1.1,0.622076622,0.681181181,0.688142688,0.672809173,0.666075166,0.716261716,0.741013741,0.716762217,0.677313677
synapse-1.1_synapse-1.2,0.675484914,0.671012931,0.644746767,0.674703664,0.678609914,0.647588901,0.674568966,0.6546875,0.670608836
velocity-1.4_velocity-1.5,0.602789621,0.640539854,0.598864952,0.562314708,0.581260412,0.64141514,0.609855437,0.650083293,0.644316289
velocity-1.5_velocity-1.6,0.723201563,0.686279016,0.705447024,0.732728108,0.708687658,0.697586762,0.722799356,0.71234199,0.711514594
xalan-2.4_xalan-2.5,0.62864775,0.635622536,0.624698342,0.636118557,0.633554022,0.637366233,0.642226772,0.636044682,0.636749431
xalan-2.5_xalan-2.6,0.670412655,0.656989831,0.682883616,0.678821243,0.685932655,0.684719548,0.673242938,0.639048136,0.679256045
xalan-2.6_xalan-2.7,0.570773895,0.568463029,0.568619929,0.570350357,0.570401599,0.569920471,0.565954905,0.570248781,0.568508376
xerces-init_xerces-1.2,0.592440711,0.599644269,0.652203557,0.597944664,0.636561265,0.615701581,0.700434783,0.699436759,0.636610672
xerces-1.2_xerces-1.3,0.243351748,0.56556177,0.570880372,0.534845417,0.518317721,0.286266571,0.552842878,0.313191275,0.314643882
xerces-1.3_xerces-1.4,0.714261739,0.720820972,0.731984617,0.731041038,0.719236974,0.715009782,0.728550756,0.744312418,0.721315939
,0.680963915,0.685874818,0.69131487,0.690359906,0.691429454,0.689670664,0.69360698,0.693000211,0.691073652
