filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.652880708,0.574826679,0.596521635,0.568850108,0.597896247,0.551278986,0.529404733,0.56155869,0.582476691
ant-1.4_ant-1.5,0.722379327,0.724037055,0.724427109,0.703949293,0.762749878,0.69614822,0.737883959,0.743539737,0.680399805
ant-1.5_ant-1.6,0.76639725,0.728075065,0.82280441,0.814040629,0.818871547,0.824538585,0.735816921,0.81667286,0.824368265
ant-1.6_ant-1.7,0.815416385,0.828620786,0.82796553,0.828688297,0.827342044,0.827753068,0.813875541,0.827695485,0.8260911
camel-1.0_camel-1.2,0.6758293,0.661151127,0.674685546,0.600486489,0.666315348,0.647352037,0.668746219,0.673147938,0.65519762
camel-1.2_camel-1.4,0.757092975,0.763357524,0.764518006,0.755966726,0.762867999,0.767717034,0.744320827,0.749976037,0.760957826
camel-1.4_camel-1.6,0.742574093,0.738460104,0.752584456,0.740373057,0.731917098,0.741817617,0.761306736,0.758307772,0.723036269
ivy-1.1_ivy-1.4,0.792992162,0.772475795,0.771899493,0.769709544,0.772936837,0.78054403,0.779852467,0.769940065,0.778930383
ivy-1.4_ivy-2.0,0.813362419,0.748173701,0.761008523,0.815087256,0.800223214,0.81148539,0.801136364,0.799614448,0.691101867
jedit-3.2_jedit-4.0,0.837902713,0.685088785,0.815851119,0.839204118,0.840418763,0.838799237,0.834591359,0.83959454,0.839796981
jedit-4.0_jedit-4.1,0.806776557,0.82385088,0.80707196,0.809730592,0.822772657,0.809331797,0.819227815,0.820793454,0.82045374
jedit-4.1_jedit-4.2,0.871266259,0.871060614,0.868927047,0.869209809,0.877641252,0.864222919,0.870957791,0.862680582,0.864814148
jedit-4.2_jedit-4.3,0.654640921,0.644308943,0.639905149,0.712398374,0.624322493,0.6649729,0.667852304,0.671917344,0.638380759
log4j-1.0_log4j-1.1,0.801685513,0.786643909,0.778323021,0.791764455,0.768508641,0.778216343,0.782483465,0.77565607,0.801792191
log4j-1.1_log4j-1.2,0.565314918,0.54464688,0.560211578,0.562111862,0.570153786,0.561377216,0.557978254,0.549931433,0.559731609
lucene-2.0_lucene-2.2,0.713059125,0.70338751,0.714975845,0.692258796,0.71564572,0.715723953,0.715068748,0.699837666,0.716638307
lucene-2.2_lucene-2.4,0.665278295,0.656985294,0.694112993,0.69305659,0.655472822,0.693531273,0.671318876,0.662430194,0.623548027
poi-1.5_poi-2.0,0.659154009,0.664870162,0.671157929,0.627715172,0.658500735,0.705128205,0.647027601,0.681528662,0.655805977
poi-2.0_poi-2.5,0.491019062,0.49187788,0.507155949,0.474235442,0.493307499,0.612041789,0.460551948,0.480634688,0.47120863
poi-2.5_poi-3.0,0.701995475,0.651941176,0.691647059,0.662837104,0.699178733,0.660411765,0.684588235,0.685904977,0.687864253
synapse-1.0_synapse-1.1,0.619005369,0.685116935,0.695172445,0.712212212,0.667144417,0.710710711,0.721357721,0.710892711,0.710574211
synapse-1.1_synapse-1.2,0.649892241,0.646740302,0.656707974,0.659213362,0.655091595,0.646443966,0.674824892,0.654014009,0.681357759
velocity-1.4_velocity-1.5,0.633114041,0.645368044,0.575712229,0.566987605,0.628850552,0.635895192,0.613956575,0.518225711,0.559307677
velocity-1.5_velocity-1.6,0.72560331,0.686279016,0.705447024,0.704711561,0.713008504,0.711928292,0.724316249,0.708549759,0.710250517
xalan-2.4_xalan-2.5,0.644156916,0.627857399,0.62714796,0.634176687,0.629728912,0.633130703,0.642226772,0.636044682,0.633335913
xalan-2.5_xalan-2.6,0.666566328,0.686069153,0.685360452,0.68540565,0.686851977,0.63076791,0.660492655,0.621066667,0.679256045
xalan-2.6_xalan-2.7,0.571092229,0.569499201,0.568631265,0.569934982,0.568296607,0.570071929,0.570636041,0.570022954,0.569527769
xerces-init_xerces-1.2,0.631511858,0.590266798,0.648043478,0.588853755,0.525296443,0.583972332,0.57416996,0.584328063,0.524031621
xerces-1.2_xerces-1.3,0.340024477,0.573093596,0.575312539,0.521606103,0.545882945,0.547644374,0.581614796,0.511111874,0.314643882
xerces-1.3_xerces-1.4,0.719077669,0.739889157,0.738339258,0.743066211,0.743976757,0.715009782,0.71824278,0.715049742,0.731509897
,0.690235397,0.683800649,0.697387633,0.690594728,0.694372401,0.697932252,0.692194287,0.68868896,0.677212991
