filename,RandomForestRegressor,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.58444896,0.650071719,0.574826679,0.569925891,0.579847,0.569567296,0.649175233,0.553191489,0.597418121,0.567893856
ant-1.4_ant-1.5,0.69600195,0.749488055,0.753193564,0.726864944,0.638810336,0.601657728,0.726133593,0.698683569,0.745685032,0.737396392
ant-1.5_ant-1.6,0.749504521,0.811919361,0.805524588,0.815875449,0.814040629,0.733138239,0.809070358,0.789018952,0.788786696,0.803093645
ant-1.6_ant-1.7,0.813621381,0.814292522,0.810063143,0.828070768,0.827322187,0.818643025,0.827548549,0.822969699,0.816500536,0.827492951
camel-1.0_camel-1.2,0.65014998,0.636053136,0.673459871,0.665858477,0.607774375,0.620695957,0.653066079,0.609891737,0.620094147,0.666006566
camel-1.2_camel-1.4,0.7873528,0.75524442,0.764483774,0.769437218,0.759489251,0.752120704,0.743530056,0.771528824,0.775458716,0.762849172
camel-1.4_camel-1.6,0.7618,0.757753368,0.759541969,0.752035233,0.755464249,0.739372021,0.750895337,0.741308808,0.758172021,0.735483938
ivy-1.1_ivy-1.4,0.781696634,0.786307054,0.750806823,0.770746888,0.698939604,0.753803596,0.769479023,0.741816505,0.783540802,0.767634855
ivy-1.4_ivy-2.0,0.724888393,0.795556006,0.76755276,0.830915179,0.740868506,0.823356331,0.810217127,0.804433847,0.835582386,0.747970779
jedit-3.2_jedit-4.0,0.859867546,0.837902713,0.836138585,0.727637515,0.843180635,0.836167505,0.837873793,0.846954711,0.830455781,0.840534444
jedit-4.0_jedit-4.1,0.843834929,0.81961184,0.817174761,0.789687463,0.823732719,0.808312655,0.7868959,0.75590807,0.807840009,0.793335697
jedit-4.1_jedit-4.2,0.855071719,0.872500129,0.874762223,0.871214848,0.869081281,0.87680582,0.872937124,0.870520796,0.872808596,0.869621099
jedit-4.2_jedit-4.3,0.705877371,0.629065041,0.629742547,0.674796748,0.642276423,0.645325203,0.639397019,0.667852304,0.66700542,0.646849593
log4j-1.0_log4j-1.1,0.779549819,0.809366332,0.786857265,0.773629187,0.806912737,0.796244933,0.800618733,0.807766162,0.796778323,0.775442714
log4j-1.1_log4j-1.2,0.55510334,0.559839357,0.550945244,0.55977079,0.557615829,0.561739641,0.560338917,0.563620335,0.552747576,0.559956901
lucene-2.0_lucene-2.2,0.715543038,0.688796965,0.700531988,0.714975845,0.713450292,0.715357234,0.687603904,0.715068748,0.699837666,0.704727259
lucene-2.2_lucene-2.4,0.654565339,0.686653016,0.669303797,0.685131236,0.679825949,0.652429263,0.690855361,0.692144453,0.652056962,0.646221147
poi-1.5_poi-2.0,0.68659154,0.697615548,0.67099461,0.703903315,0.635064511,0.658133268,0.651151396,0.647640046,0.699902009,0.587865425
poi-2.0_poi-2.5,0.507402074,0.516249476,0.53044093,0.505427838,0.469600964,0.457923125,0.478047759,0.459237537,0.513840595,0.462083682
poi-2.5_poi-3.0,0.67280543,0.682459276,0.689316742,0.705,0.680841629,0.681579186,0.68069457,0.675470588,0.687429864,0.687719457
synapse-1.0_synapse-1.1,0.698562199,0.618641369,0.675925926,0.703703704,0.67021567,0.723132223,0.578965329,0.71043771,0.727045227,0.72008372
synapse-1.1_synapse-1.2,0.68826778,0.624892241,0.646740302,0.63984375,0.64609375,0.624461207,0.687621228,0.644450431,0.64762931,0.645150862
velocity-1.4_velocity-1.5,0.672113674,0.642459836,0.637476353,0.598794364,0.613843634,0.628850552,0.635175198,0.622667081,0.650083293,0.650746817
velocity-1.5_velocity-1.6,0.759549529,0.735784877,0.712870604,0.710595265,0.71512296,0.719857504,0.725327511,0.727740749,0.717444266,0.712755688
xalan-2.4_xalan-2.5,0.613982875,0.623980694,0.636483244,0.636550084,0.637264214,0.642848264,0.632845755,0.642611394,0.643873141,0.635872306
xalan-2.5_xalan-2.6,0.676858757,0.67304678,0.670668475,0.638917966,0.673306215,0.681659661,0.657213107,0.640181695,0.674217401,0.637712994
xalan-2.6_xalan-2.7,0.570718572,0.56899948,0.570089614,0.570664156,0.569031223,0.567854477,0.568911508,0.569301943,0.57041747,0.57018983
xerces-init_xerces-1.2,0.749960474,0.597727273,0.603656126,0.623023715,0.61215415,0.628438735,0.662312253,0.622588933,0.709407115,0.698992095
xerces-1.2_xerces-1.3,0.720750552,0.566516831,0.587356598,0.590067369,0.564320763,0.571818275,0.557435176,0.59091377,0.555851033,0.516807924
xerces-1.3_xerces-1.4,0.729600361,0.720673388,0.724074216,0.735777049,0.730683533,0.703287769,0.723009693,0.69790974,0.733695421,0.735000234
,0.708868051,0.697648937,0.696033444,0.696294742,0.685872507,0.686486047,0.695144886,0.690127688,0.704386831,0.690449735
