filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.650071719,0.566220416,0.593652881,0.545421946,0.575902462,0.641047095,0.523667224,0.570284485,0.569925891
ant-1.4_ant-1.5,0.697805948,0.753193564,0.724427109,0.665919064,0.771136031,0.726133593,0.698683569,0.713115553,0.707459776
ant-1.5_ant-1.6,0.751006441,0.813181283,0.815875449,0.810022606,0.769927536,0.807289731,0.765623065,0.787068004,0.803093645
ant-1.6_ant-1.7,0.810432469,0.829311783,0.827709384,0.824764704,0.828227632,0.829363409,0.825098288,0.826551765,0.828366626
camel-1.0_camel-1.2,0.67891397,0.673459871,0.674562664,0.600486489,0.620695957,0.630205182,0.609891737,0.646756529,0.67500063
camel-1.2_camel-1.4,0.754631658,0.768944269,0.76472169,0.751244352,0.764141449,0.743530056,0.769991784,0.775667534,0.762161098
camel-1.4_camel-1.6,0.740594819,0.744058031,0.753664249,0.748673575,0.735874611,0.742737824,0.76667772,0.764103627,0.738439378
ivy-1.1_ivy-1.4,0.772475795,0.763024435,0.775011526,0.698939604,0.770862148,0.773397879,0.772936837,0.773167358,0.77132319
ivy-1.4_ivy-2.0,0.816355519,0.76755276,0.800578328,0.789772727,0.791903409,0.786424513,0.79007711,0.79537845,0.781909497
jedit-3.2_jedit-4.0,0.829226676,0.772731216,0.815648678,0.838669096,0.790502632,0.839189658,0.83488056,0.838640176,0.837468911
jedit-4.0_jedit-4.1,0.806776557,0.816805506,0.801355902,0.824825712,0.823053291,0.7868959,0.799258537,0.833289023,0.815225097
jedit-4.1_jedit-4.2,0.87067503,0.873759704,0.869466865,0.870752146,0.874273816,0.8700838,0.873939643,0.869184104,0.870700735
jedit-4.2_jedit-4.3,0.632452575,0.632283198,0.674796748,0.641429539,0.646849593,0.639397019,0.654471545,0.671917344,0.655826558
log4j-1.0_log4j-1.1,0.799445274,0.786537231,0.788564114,0.806912737,0.802005547,0.800618733,0.809579689,0.773309153,0.779816514
log4j-1.1_log4j-1.2,0.559114507,0.554765403,0.559819767,0.560965814,0.561240082,0.560221373,0.557224018,0.562239201,0.559731609
lucene-2.0_lucene-2.2,0.712022531,0.700531988,0.714975845,0.692258796,0.704433883,0.687667469,0.711533572,0.699837666,0.704727259
lucene-2.2_lucene-2.4,0.70589166,0.673927308,0.685131236,0.679346612,0.674911579,0.693531273,0.681706069,0.652056962,0.685424423
poi-1.5_poi-2.0,0.694471664,0.665360118,0.705618161,0.635064511,0.733953944,0.651151396,0.649191573,0.692062714,0.587865425
poi-2.0_poi-2.5,0.514620863,0.538028907,0.507179514,0.469600964,0.457923125,0.512887516,0.459080436,0.455414747,0.466186636
poi-2.5_poi-3.0,0.688303167,0.701076923,0.686054299,0.700800905,0.681579186,0.679425339,0.684588235,0.686343891,0.684941176
synapse-1.0_synapse-1.1,0.61959687,0.671535172,0.684138684,0.672809173,0.714896715,0.716534717,0.703248703,0.719082719,0.72008372
synapse-1.1_synapse-1.2,0.636476293,0.665086207,0.647454203,0.64609375,0.681707974,0.644719828,0.666002155,0.64762931,0.68048222
velocity-1.4_velocity-1.5,0.621071802,0.641626902,0.598864952,0.572041675,0.581260412,0.629288195,0.624403535,0.650083293,0.652455036
velocity-1.5_velocity-1.6,0.748425649,0.714502413,0.710595265,0.732245461,0.720374627,0.707423581,0.725028729,0.722270742,0.711583544
xalan-2.4_xalan-2.5,0.644457109,0.636394125,0.62714796,0.644848766,0.633554022,0.637223172,0.630088909,0.636550084,0.635832436
xalan-2.5_xalan-2.6,0.673122712,0.656989831,0.659756836,0.673306215,0.686851977,0.657213107,0.673242938,0.66655096,0.679256045
xalan-2.6_xalan-2.7,0.571145738,0.568463029,0.568745992,0.570003909,0.567790085,0.568698378,0.570457829,0.569064326,0.569144136
xerces-init_xerces-1.2,0.616462451,0.598379447,0.621482213,0.61215415,0.685059289,0.615701581,0.700434783,0.699436759,0.729822134
xerces-1.2_xerces-1.3,0.567883654,0.555181919,0.575312539,0.552436834,0.529029269,0.557435176,0.552842878,0.540558625,0.513033433
xerces-1.3_xerces-1.4,0.720673388,0.738816109,0.738214584,0.696881447,0.703287769,0.715009782,0.728550756,0.744312418,0.729377653
,0.69682015,0.694724302,0.699017588,0.684289776,0.696107002,0.695014876,0.693746748,0.699397584,0.696888814
