filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ant-1.3,0.8286060606060606,0.8123636363636364,0.816,0.8157575757575758,0.8256969696969697,0.8041212121212121,0.816,0.8227878787878787,0.8227878787878787,0.8043636363636364,0.8143030303030303,0.8218181818181818,0.8147878787878788,0.8036363636363636,0.8118787878787879,0.8147878787878788,0.8206060606060606,0.8024242424242424,0.808,0.8143030303030303,0.8152727272727273,0.8123636363636364,0.8094545454545454,0.8123636363636364,0.815030303030303,0.7912727272727272,0.8055757575757576,0.8126060606060606,0.8130909090909091,0.8050909090909091,0.8155151515151515,0.808,0.8004848484848485,0.9423030303030304
ant-1.4,0.7548410231890987,0.7285441071001674,0.7508964857757591,0.7553191489361702,0.7467128854888836,0.7468324169256515,0.7470714797991872,0.7528089887640449,0.7492230456610088,0.75364570882142,0.7609371264642601,0.7603394692804207,0.7487449199139373,0.7556777432464739,0.7604590007171886,0.7587855606024384,0.7549605546258666,0.7512550800860627,0.7541238345684915,0.7508964857757591,0.7567535261773847,0.7562754004303132,0.7526894573272771,0.7553191489361702,0.7526894573272771,0.7438441310064547,0.7557972746832416,0.7559168061200096,0.7556777432464739,0.7528089887640449,0.754601960315563,0.7568730576141525,0.7241214439397562,0.9031795362180254
ant-1.5,0.855680156021453,0.8627986348122867,0.8661140906874695,0.8616284739151633,0.865236470014627,0.8543149683081424,0.8642613359336909,0.8602632862018528,0.8627011214041931,0.8565577766942954,0.8688444661140907,0.8593856655290102,0.8614334470989761,0.8582155046318869,0.8651389566065334,0.8633837152608483,0.860945880058508,0.8550950755728913,0.863481228668942,0.8569478303266699,0.8613359336908825,0.8539249146757679,0.8577279375914189,0.8587030716723549,0.8511945392491468,0.8543149683081424,0.8498293515358362,0.8600682593856656,0.8570453437347635,0.8555826426133594,0.8571428571428571,0.8553876157971722,0.824183325207216,0.9513408093612872
ant-1.6,0.8349281555803295,0.8247398736529171,0.8334417193112845,0.8349126718691936,0.8322030224204138,0.8285024154589372,0.8310417440852224,0.8318778644865601,0.8359191130930261,0.8256224451876626,0.8341230026012635,0.8343552582683017,0.8337204261117305,0.8254211569428961,0.8358571782484826,0.8353152483587266,0.832574631487675,0.8241824600520252,0.8344791279573889,0.8336739749783229,0.833782360956274,0.8336894586894587,0.8345565465130682,0.8343397745571659,0.8333023659110615,0.8297256286386722,0.8329075312770965,0.8317694785086089,0.8316843180973615,0.8332559147776539,0.8327139848878979,0.8328068871547133,0.8244147157190636,0.9117351046698872
ant-1.7,0.8364044319129502,0.8346471546006909,0.8357888884476391,0.8357213772288631,0.8364044319129502,0.8355585560541678,0.8355585560541678,0.835387792383146,0.8348794726182439,0.8345895715023232,0.8347563639251817,0.8350422937929391,0.8347841626623248,0.8347801914141615,0.8347404789325285,0.8346689964655891,0.8340772804892578,0.8338032643659903,0.834494261546404,0.8349986100631428,0.8341646479488504,0.8341368492117073,0.8343711528533418,0.834533974028037,0.8347166514435487,0.8337675231325206,0.8339978555259918,0.8340375680076247,0.8346590683451809,0.8343493109884437,0.8347007664508955,0.8347325364362019,0.8288868591398276,0.9257396449704142
camel-1.0,0.877370417193426,0.8702064896755162,0.8824273072060683,0.8836915297092288,0.8862199747155499,0.866835229667088,0.8727349346818374,0.8725242309313106,0.8801095659502739,0.861567635903919,0.8683101559207754,0.8788453434471134,0.877370417193426,0.8672566371681416,0.8703118415507796,0.8678887484197219,0.8589338390223346,0.8548251158870628,0.8640960809102401,0.865149599662874,0.8746312684365781,0.8621997471554994,0.8678887484197219,0.865992414664981,0.8733670459334176,0.8520859671302149,0.8596713021491783,0.8718921196797303,0.8664138221660346,0.8531394858828487,0.859882005899705,0.8584070796460177,0.5014749262536873,0.983354403708386
camel-1.2,0.7280229128856625,0.6989249344625933,0.7156732078039928,0.7123490749142972,0.722778344928413,0.710529466626336,0.7172911625327687,0.7084373109497882,0.7123333207299859,0.71571101784634,0.7100127293809235,0.7234794061302682,0.7159977440008066,0.7099040255091752,0.7089477465214761,0.7160686378302077,0.71231126487195,0.6877079552329098,0.7035314579552329,0.7176976204880016,0.7109107178866707,0.7123254436378302,0.7121442705182497,0.7126279239766082,0.7188508267795927,0.695416477616455,0.6988508897963299,0.7157362245412382,0.7099182042750555,0.6998024425287356,0.7120812537810043,0.7113486842105263,0.6756560042347247,0.8854465996168582
camel-1.4,0.793817609201698,0.7912296316582227,0.7937731069423525,0.7886861563740928,0.78964466657538,0.7849856223469807,0.7902882377105299,0.7864781596604136,0.7899424893879228,0.7876762974120225,0.7897833082294947,0.7933931261125565,0.7893057647542105,0.7883130220457346,0.7895471039298918,0.7905295768862112,0.7908770368341778,0.7837515404628235,0.7902676982062167,0.7890524442010133,0.7909557716007121,0.785557305217034,0.7884311241955361,0.7904970560043818,0.7847100506641106,0.7810488840202656,0.7879672737231275,0.7879980829795974,0.7869916472682459,0.7843266465835957,0.7882103245241682,0.7892304532383951,0.7701047514719979,0.9470987950157471
camel-1.6,0.7872777202072538,0.7849658031088083,0.7875461139896373,0.7845295336787564,0.7900393782383419,0.7812932642487047,0.7825077720207254,0.7871564766839378,0.7928362694300518,0.7851191709844559,0.7861637305699481,0.7872414507772021,0.7895626943005182,0.7817637305699482,0.7835450777202072,0.7901430051813472,0.7826072538860104,0.7789119170984456,0.7864248704663213,0.7885492227979275,0.7847212435233161,0.7852,0.7936310880829015,0.7897036269430052,0.78219896373057,0.7769450777202073,0.7854922279792746,0.7936953367875648,0.7893823834196891,0.7863813471502591,0.786719170984456,0.7846673575129534,0.7875025906735751,0.9447927461139896
ivy-1.1,0.8264702470711054,0.8233383598190465,0.8267795692688397,0.8258902679503538,0.8209797780613232,0.8230290376213123,0.8238410083903646,0.8229903723465956,0.8261609248733712,0.8159146270734253,0.8267022387194061,0.8273982136643081,0.8257356068514867,0.8207864516877392,0.8263542512469552,0.8255422804779028,0.8254262846537525,0.8177705602598306,0.8236476820167807,0.8250782971813014,0.8233383598190465,0.82221706685226,0.8233383598190465,0.8243436569616827,0.8246916444341337,0.8168812589413448,0.8241116653133821,0.8226037195994278,0.8226423848741445,0.8216757530062251,0.8238410083903646,0.8251169624560183,0.7954993620229672,0.8585624250860302
ivy-1.4,0.8573075149838635,0.8554633471645919,0.8619179345320425,0.859151682803135,0.8603042876901799,0.8393268787459659,0.8501613646841862,0.8575380359612724,0.8520055325034578,0.8402489626556017,0.8416320885200553,0.8490087597971415,0.8337943752881513,0.8506224066390041,0.8374827109266944,0.8404794836330106,0.8425541724296911,0.8296449976947903,0.8331028123559244,0.8467035500230521,0.8266482249884739,0.822037805440295,0.8301060396496082,0.8257261410788381,0.8425541724296911,0.8199631166436145,0.8227293683725219,0.8395573997233748,0.8201936376210235,0.8195020746887967,0.822037805440295,0.8171968649147072,0.8095896726602121,0.9721069617335176
ivy-2.0,0.8548599837662337,0.8568892045454546,0.8673396915584416,0.8615056818181818,0.859172077922078,0.8552150974025974,0.8585125811688312,0.8608969155844156,0.8557224025974026,0.8536931818181818,0.854301948051948,0.8585633116883117,0.8544034090909091,0.8551136363636364,0.8548092532467533,0.855570211038961,0.8543526785714286,0.8543526785714286,0.8546570616883117,0.8552150974025974,0.8520190746753247,0.851765422077922,0.8523234577922078,0.8518668831168831,0.8565848214285714,0.8520698051948052,0.8507508116883117,0.8518161525974026,0.848924512987013,0.8494318181818182,0.8527800324675324,0.8515625,0.8296976461038961,0.9559659090909092
jedit-3.2,0.8708615645210964,0.866857868801971,0.8730558977517708,0.8633257622420696,0.8668674930705267,0.8635423082845703,0.8665017708654142,0.8644325531259625,0.8695911610717586,0.8700146288882045,0.8662322913458577,0.8664728980597475,0.8705728364644287,0.8669637357560825,0.8680993994456422,0.8703514782876501,0.8718913612565445,0.8608619494918386,0.8682148906683093,0.871621881736988,0.8645624807514629,0.8622863412380659,0.8685613643363105,0.8693024330150908,0.8709385586695411,0.8564059131506006,0.8676181860178627,0.8684266245765322,0.8671850939328611,0.865404604250077,0.8671899060671389,0.8667279411764706,0.8607560825377272,0.9141419002155836
jedit-4.0,0.8676181387009081,0.8525941349991324,0.8593469836312106,0.8682977615825092,0.8632222800624675,0.8501214645150096,0.8547776042570421,0.8619787147897507,0.8666059344091619,0.8512638093585517,0.8647550465613975,0.8669674359419284,0.8602435074324715,0.8519868124240847,0.8629330788362543,0.8628896986523222,0.8664468737347446,0.8532882179420441,0.8595494244895598,0.8652900688298918,0.860691769333102,0.8477500144600613,0.8602868876164035,0.8590433223436867,0.8605399386893401,0.8471137717623922,0.8531363872982821,0.8596651049800451,0.8605688588119613,0.8572213546185435,0.862860778529701,0.8586962808722309,0.8537509399039852,0.93284024524264
jedit-4.1,0.8519880656977431,0.8512790972468391,0.8495952971759423,0.853021978021978,0.8543512938674229,0.8518551341131986,0.8477933356965615,0.8527118043247075,0.8498020796407894,0.852815195557131,0.8532139903107645,0.8501861042183623,0.853730946472882,0.8513381779510811,0.8505110480916932,0.8532139903107645,0.8510870849580527,0.8465969514356612,0.8509836937256292,0.8518551341131986,0.8504371972113908,0.8505405884438143,0.8513677183032021,0.8512643270707787,0.8465526409074796,0.8408439678600969,0.848517074323526,0.8513086375989601,0.8519585253456221,0.8448983811887038,0.8501565638662413,0.8505553586198747,0.8364498404820986,0.9245982512111544
