filename,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ant-1.3,0.8116363636363636,0.8133333333333334,0.8055757575757576,0.800969696969697,0.8055757575757576,0.8004848484848485,0.9423030303030304
ant-1.4,0.7514941429595984,0.7229261295720775,0.7563949318670811,0.7585464977289027,0.7575902462347598,0.7241214439397562,0.9031795362180254
ant-1.5,0.8549975621647976,0.870014627011214,0.8675767918088737,0.8563627498781082,0.8658215504631886,0.824183325207216,0.9513408093612872
ant-1.6,0.823950204384987,0.835532020314629,0.8352378298030472,0.8256688963210702,0.8348507370246501,0.8244147157190636,0.9117351046698872
ant-1.7,0.8350144950557961,0.8339621142925221,0.8352924824272269,0.834720622691712,0.835133632500695,0.8288868591398276,0.9257396449704142
camel-1.0,0.8687315634218289,0.8796881584492204,0.8706278971765697,0.8729456384323641,0.8756847871892119,0.5014749262536873,0.983354403708386
camel-1.2,0.6982128453317201,0.7231202107279694,0.7101387628554144,0.7044388989715669,0.7151265376083887,0.6756560042347247,0.8854465996168582
camel-1.4,0.7886656168697795,0.7923661508968917,0.7889292071751335,0.7908154183212378,0.7919690538135014,0.7701047514719979,0.9470987950157471
camel-1.6,0.7891647668393782,0.7933284974093264,0.7865647668393783,0.783121243523316,0.784240414507772,0.7875025906735751,0.9447927461139896
ivy-1.1,0.823261029269613,0.8249623013571511,0.8265862428952557,0.8237250125662143,0.8258129374009202,0.7954993620229672,0.8585624250860302
ivy-1.4,0.8425541724296911,0.859151682803135,0.846934071000461,0.8340248962655602,0.8453204241585984,0.8095896726602121,0.9721069617335176
ivy-2.0,0.8568892045454546,0.8583096590909091,0.8578530844155844,0.8527800324675324,0.8559760551948052,0.8296976461038961,0.9559659090909092
jedit-3.2,0.8644614259316292,0.8691003233754234,0.8708134431783184,0.8680224052971974,0.8682822605481983,0.8607560825377272,0.9141419002155836
jedit-4.0,0.8504829660477761,0.8673867777199376,0.8639019029440684,0.851972352362774,0.8645092255191162,0.8537509399039852,0.93284024524264
jedit-4.1,0.85278565520501,0.853465083303793,0.8486943164362519,0.8491965024223088,0.853701406120761,0.8364498404820986,0.9245982512111544
jedit-4.2,0.893321680119274,0.9022929412369544,0.8974088735797645,0.8911367024831628,0.8968433499563004,0.8916765204873786,0.959732147447432
jedit-4.3,0.8893970189701897,0.8987127371273713,0.9139566395663956,0.8812669376693767,0.8982046070460704,0.5010162601626016,0.9860264227642276
log4j-1.0,0.848087431693989,0.8490588949605343,0.851244687310261,0.8439587128111719,0.8432301153612629,0.8191863995142684,0.916575591985428
log4j-1.1,0.8377426925538725,0.8455301898869213,0.8460635801152123,0.8373159803712396,0.84382334115639,0.8287817367185834,0.8939620226157456
log4j-1.2,0.5946223920070526,0.6002644725242433,0.5891566265060241,0.5899500440787541,0.5935057302380252,0.5851993339210501,0.6514154177686355
lucene-2.0,0.7746842709529277,0.785380788365863,0.7812093379257559,0.7822234978951397,0.7907960199004975,0.7671928817451206,0.8764638346727899
lucene-2.2,0.7305834262356001,0.7336149738895734,0.7332238064503511,0.7268086604471043,0.7316395783215005,0.7161640165072659,0.8358661425022981
lucene-2.4,0.7357781087118391,0.7320132166790767,0.732087676842889,0.7351172747580045,0.7321016381236038,0.7252745718540581,0.8265799516008935
poi-1.5,0.6846916870234658,0.7016186739704394,0.7026982011992006,0.6786586719964468,0.6995891627803686,0.6570928023293113,0.8247896464085671
poi-2.0,0.8178997223583211,0.8092438347215417,0.8143067123958844,0.807937285644292,0.8134084599052752,0.5015923566878981,0.9455332353421524
poi-2.5,0.6656315458734814,0.6874685798072895,0.6860860913280268,0.6843056137410977,0.6870444072056975,0.6439228110599078,0.7586772098868874
poi-3.0,0.7122262443438914,0.7130904977375565,0.7213212669683258,0.7165746606334842,0.7162126696832579,0.7015316742081448,0.7939728506787328
synapse-1.0,0.8498635122838945,0.8680618744313012,0.8656354261449802,0.8550197148923263,0.8738246891113133,0.821656050955414,0.9626933575978162
synapse-1.1,0.7859677859677859,0.7863317863317864,0.7877422877422877,0.7661980161980162,0.7710892710892711,0.7464282464282465,0.9010601510601509
synapse-1.2,0.7327855603448276,0.7487068965517242,0.750457974137931,0.7405980603448276,0.751104525862069,0.7011853448275862,0.8811961206896551
velocity-1.4,0.6305393586005831,0.6400145772594752,0.6391399416909621,0.6345238095238095,0.6428571428571429,0.6497570456754129,0.7136175898931001
velocity-1.5,0.6929440664087867,0.713513284580851,0.7158285569076996,0.6988451873394133,0.7134285794957224,0.7017675127763503,0.7901502103509614
velocity-1.6,0.7773730176970811,0.7999770167777522,0.797609744886233,0.7851528384279476,0.7839806940933118,0.7757986669731096,0.8979315099977017
xalan-2.4,0.8034099372273646,0.8045448097315318,0.8050191509735078,0.8039507749051318,0.8040217044366422,0.77753839060893,0.9421791325318296
xalan-2.5,0.6632379049374638,0.6643225850330564,0.6620641051799631,0.6608785791511587,0.6637972480786505,0.6584934555679854,0.8106793498017087
xalan-2.6,0.7059064406779662,0.7091606779661017,0.7078201129943503,0.7066693785310735,0.7058576271186441,0.6930576271186439,0.8246725423728813
xalan-2.7,0.5756622653196894,0.5750092733923021,0.5747244963573027,0.5751480341768719,0.574617931702486,0.5668704545640054,0.6073922313913172
xerces-init,0.7502032971094847,0.7559325792858727,0.7531603459747173,0.7476158793524063,0.7568936201670733,0.6756302210394026,0.8270865676055297
xerces-1.2,0.7316600790513834,0.7315415019762845,0.7190711462450593,0.710592885375494,0.7440513833992095,0.5870948616600791,0.9255731225296444
xerces-1.3,0.8487629962598222,0.8623683217239131,0.8711011220533232,0.8422377014491759,0.8589598417001224,0.7880909080511044,0.9567191664093149
xerces-1.4,0.7725542597991577,0.7725851618843026,0.7712062895333572,0.7721669181457044,0.7717502727908205,0.763730116106593,0.8285770761938861
