filename,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ant-1.3,0.8283636363636364,0.824969696969697,0.8341818181818181,0.8334545454545454,0.8164848484848485,0.8174545454545454,0.814060606060606,0.8133333333333334,0.8123636363636364,0.8004848484848485,0.9423030303030304
ant-1.4,0.7592636863495099,0.758307434855367,0.7611761893377958,0.7592636863495099,0.755438680372938,0.7560363375567775,0.7605785321539565,0.7519722687066699,0.7459956968682764,0.7241214439397562,0.9031795362180254
ant-1.5,0.8636274987810824,0.8562652364700146,0.871282301316431,0.8569478303266699,0.8502194051682106,0.8648464163822526,0.8482691370063383,0.8542174549000487,0.846611409068747,0.824183325207216,0.9513408093612872
ant-1.6,0.8351913786696396,0.8342004211569429,0.8350984764028242,0.8344791279573889,0.830267558528428,0.8337049424005946,0.8323268921095008,0.832830112721417,0.8300662702836615,0.8244147157190636,0.9117351046698872
ant-1.7,0.8351137762598785,0.8344426353202812,0.8351177475080418,0.83420038918232,0.8344902902982407,0.8343036416345657,0.834160676700687,0.8340733092410945,0.8342480441602795,0.8288868591398276,0.9257396449704142
camel-1.0,0.8746312684365781,0.8632532659081331,0.8828487147071218,0.8643067846607669,0.8619890434049726,0.8579856721449641,0.8611462284028656,0.8584070796460177,0.8531394858828487,0.5014749262536873,0.983354403708386
camel-1.2,0.7051887981447873,0.7165916767493447,0.701703972575116,0.7008217382536802,0.7007886544666263,0.701284911272434,0.7099402601330913,0.6991691243194192,0.6987547892720306,0.6756560042347247,0.8854465996168582
camel-1.4,0.7885286868410243,0.7864986991647268,0.7860434068191154,0.7865774339312611,0.7841657537998084,0.7848966178282898,0.7819012734492674,0.7821066684924004,0.7808006983431467,0.7701047514719979,0.9470987950157471
camel-1.6,0.7825616580310881,0.7809834196891192,0.7812518134715026,0.7838124352331606,0.7791730569948186,0.7788538860103627,0.7800901554404145,0.7758466321243523,0.7775233160621762,0.7875025906735751,0.9447927461139896
ivy-1.1,0.8277848664114759,0.825348954104319,0.8271275567412907,0.8235703514673471,0.8197038239956694,0.8174999033368132,0.8195491628968024,0.8243823222363995,0.8213664308084909,0.7954993620229672,0.8585624250860302
