filename,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/CoDE
ant-1.3_ant-1.4,0.6035142242409753,0.5981353095864212,0.5730337078651685
ant-1.4_ant-1.5,0.7021940516821062,0.7620185275475377,0.7116528522671868
ant-1.5_ant-1.6,0.7107952434039391,0.8121748420661464,0.7280131301870433
ant-1.6_ant-1.7,0.8046145903657521,0.8274115404471626,0.8196338509193439
camel-1.0_camel-1.2,0.5723463651945957,0.6749423396854205,0.5912356321839081
camel-1.2_camel-1.4,0.7085238942900178,0.7628252088182939,0.7650314939066137
camel-1.4_camel-1.6,0.7170652849740933,0.7390559585492228,0.7461181347150259
ivy-1.1_ivy-1.4,0.6005071461502997,0.7697095435684648,0.7199170124481328
ivy-1.4_ivy-2.0,0.703125,0.8065898944805194,0.7856128246753247
jedit-3.2_jedit-4.0,0.8414598877899242,0.8397969807391983,0.8446844814622014
jedit-4.0_jedit-4.1,0.7971316318090511,0.8216058135412974,0.8230532907952263
jedit-4.1_jedit-4.2,0.8668963035319521,0.8639915685568865,0.8686442856408411
jedit-4.2_jedit-4.3,0.7166327913279132,0.6650575880758808,0.6885162601626016
log4j-1.0_log4j-1.1,0.7940046938340091,0.7567740558992959,0.7983784937059953
log4j-1.1_log4j-1.2,0.5483984719365266,0.5607209325105299,0.5572240180233128
lucene-2.0_lucene-2.2,0.6907919184807056,0.7162031332511881,0.7103013945119209
lucene-2.2_lucene-2.4,0.6415394638868206,0.6951088979895755,0.6881282576321668
poi-1.5_poi-2.0,0.6994937122325657,0.7009227502858076,0.7255430344602319
poi-2.0_poi-2.5,0.5133745286971093,0.454330749895266,0.5024088814411395
poi-2.5_poi-3.0,0.6475882352941177,0.6868778280542986,0.6603484162895927
synapse-1.0_synapse-1.1,0.6425971425971426,0.7105287105287106,0.6390936390936391
synapse-1.1_synapse-1.2,0.6615840517241379,0.653380926724138,0.6230603448275862
velocity-1.4_velocity-1.5,0.609453087500353,0.6212976819041703,0.6475915520795098
velocity-1.5_velocity-1.6,0.7437370719374856,0.7125373477361526,0.7601700758446334
xalan-2.4_xalan-2.5,0.6334203422664069,0.6332667281123283,0.6475247013905012
xalan-2.5_xalan-2.6,0.664574011299435,0.6615385310734463,0.6600189830508475
xalan-2.6_xalan-2.7,0.5673094102485269,0.5699254591576223,0.5688879275396624
xerces-init_xerces-1.2,0.7025494071146245,0.6045553359683794,0.6355138339920948
xerces-1.2_xerces-1.3,0.6687483558087134,0.6165116837662561,0.7169817795010809
xerces-1.3_xerces-1.4,0.6749569501986258,0.7399605518899289,0.7142036639217091
