filename,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/CoDE
ant-1.3_ant-1.4,942.5745476894297,0.30951924051194624,60402.374472797186
ant-1.4_ant-1.5,47122.77401486812,0.13580234188074386,95296.23498141892
ant-1.5_ant-1.6,38881.9231309136,1.3657600464717172,520141.448024633
ant-1.6_ant-1.7,6046.691463024019,0.7856530561926078,1076029.361351882
camel-1.0_camel-1.2,1383.4172505741994,3.214194442293576,753864.7924845159
camel-1.2_camel-1.4,1742.0626004938786,1.726842595539619,31747.301514003164
camel-1.4_camel-1.6,1296.424873082509,3.4196808955635394,115387.64489891414
ivy-1.1_ivy-1.4,89629.83227631457,22.08121589000684,1310496.297907283
ivy-1.4_ivy-2.0,29508.84941961141,0.20779042872466771,113684.4631902508
jedit-3.2_jedit-4.0,62402.90113095053,4.038613503620612,345493.9181774102
jedit-4.0_jedit-4.1,29106.1927254727,1.956521360162,193787.94324739894
jedit-4.1_jedit-4.2,24430.831222062487,1.2402074987776823,1349167.9323276193
jedit-4.2_jedit-4.3,79331.41088514999,0.4854674466372194,294236.2278013309
log4j-1.0_log4j-1.1,4412.090332441439,1.2187465939712507,60544.290248412246
log4j-1.1_log4j-1.2,28144.785301490287,4.4022360722736495,104261.76734552268
lucene-2.0_lucene-2.2,6048.010147538098,7.9776864384811255,306802.10268704646
lucene-2.2_lucene-2.4,11889.626165796943,4.489447568033807,3126255.350985049
poi-1.5_poi-2.0,48334.8500293182,16.111846574596782,185382.0375675195
poi-2.0_poi-2.5,36392.49705952493,28.885893627811228,126469.53231518994
poi-2.5_poi-3.0,44174.758524015684,4.865139140038577,128931.33131615295
synapse-1.0_synapse-1.1,5009.666638727076,0.8429943620112847,67376.2334761585
synapse-1.1_synapse-1.2,3461.222981142264,1.0659973944021617,2319190.7325145258
velocity-1.4_velocity-1.5,17839.005462885754,4.973176939652219,336200.11515413877
velocity-1.5_velocity-1.6,6491.2812086169,3.0891646869613494,283754.1844794377
xalan-2.4_xalan-2.5,32639.655779057342,1.0092989616838517,1126950.9070554376
xalan-2.5_xalan-2.6,14914.105470240025,23.50297035467289,753957.1509456856
xalan-2.6_xalan-2.7,67928.12778787327,1.5207357931613037,722537.9718840894
xerces-init_xerces-1.2,21576.772132172442,38.497841861005895,594894.1670329295
xerces-1.2_xerces-1.3,4519.855672648648,4.492687073636752,98963.41277234699
xerces-1.3_xerces-1.4,3190.2492599659413,29.38800644838608,70067.80104484457
