filename,RidgeCV,LassoLarsCV,MLPRegressor,RandomForestRegressor
ant-1.3,0.7995151515151515,0.8004848484848485,0.25018181818181817,0.9423030303030304
ant-1.4,0.7263925412383457,0.7241214439397562,0.54404733444896,0.9031795362180254
ant-1.5,0.8289614822038031,0.824183325207216,0.6713798147245246,0.9513408093612872
ant-1.6,0.8259321194103802,0.8244147157190636,0.8320481853090549,0.9117351046698872
ant-1.7,0.8278821333545133,0.8288868591398276,0.8329017910329216,0.9257396449704142
camel-1.0,0.8379688158449221,0.5014749262536873,0.7697008006742521,0.983354403708386
camel-1.2,0.6858773190159306,0.6756560042347247,0.6601018980641258,0.8854465996168582
camel-1.4,0.7736495275914008,0.7701047514719979,0.7849274270847597,0.9470987950157471
camel-1.6,0.7779854922279793,0.7875025906735751,0.7822715025906736,0.9447927461139896
ivy-1.1,0.8072536055368673,0.7954993620229672,0.8162626145458763,0.8585624250860302
ivy-1.4,0.8098201936376209,0.8095896726602121,0.6908713692946058,0.9721069617335176
ivy-2.0,0.8477069805194806,0.8296976461038961,0.8253855519480521,0.9559659090909092
jedit-3.2,0.8601978749615029,0.8607560825377272,0.8250692947336002,0.9141419002155836
jedit-4.0,0.8538232402105385,0.8537509399039852,0.8180201284053444,0.93284024524264
jedit-4.1,0.8373360510457285,0.8364498404820986,0.8142133404230179,0.9245982512111544
jedit-4.2,0.8894915428512673,0.8916765204873786,0.6032851781399415,0.959732147447432
jedit-4.3,0.7643970189701897,0.5010162601626016,0.3890582655826558,0.9860264227642276
log4j-1.0,0.8245294474802671,0.8191863995142684,0.8581663630843959,0.916575591985428
log4j-1.1,0.8270748879880521,0.8287817367185834,0.7914444207382121,0.8939620226157456
log4j-1.2,0.5903516505044568,0.5851993339210501,0.584288373004212,0.6514154177686355
lucene-2.0,0.7711251435132032,0.7671928817451206,0.7782433983926521,0.8764638346727899
lucene-2.2,0.7122670108940132,0.7161640165072659,0.7465137201979307,0.8358661425022981
lucene-2.4,0.731608339538347,0.7252745718540581,0.7386355174981385,0.8265799516008935
poi-1.5,0.6583573913687172,0.6570928023293113,0.6239667382239001,0.8247896464085671
poi-2.0,0.763024661113833,0.5015923566878981,0.5788829005389515,0.9455332353421524
poi-2.5,0.6721145789694177,0.6439228110599078,0.6651916631755341,0.7586772098868874
poi-3.0,0.6952398190045249,0.7015316742081448,0.6969457013574661,0.7939728506787328
synapse-1.0,0.8249924173491052,0.821656050955414,0.7145890203215044,0.9626933575978162
synapse-1.1,0.7503412503412503,0.7464282464282465,0.7965692965692965,0.9010601510601509
synapse-1.2,0.7242456896551724,0.7011853448275862,0.6876077586206897,0.8811961206896551
velocity-1.4,0.6502186588921283,0.6497570456754129,0.5354713313896987,0.7136175898931001
velocity-1.5,0.7063980574300477,0.7017675127763503,0.6804218313239405,0.7901502103509614
velocity-1.6,0.7508618708342908,0.7757986669731096,0.7059296713399219,0.8979315099977017
xalan-2.4,0.7813419867361776,0.77753839060893,0.8132957406816328,0.9421791325318296
xalan-2.5,0.6523465441505841,0.6584934555679854,0.6312627083465254,0.8106793498017087
xalan-2.6,0.695798418079096,0.6930576271186439,0.7182743502824859,0.8246725423728813
xalan-2.7,0.5678481285886214,0.5668704545640054,0.5701014042047239,0.6073922313913172
xerces-init,0.734124343904783,0.6756302210394026,0.7493901086715458,0.8270865676055297
xerces-1.2,0.6989130434782609,0.5870948616600791,0.719100790513834,0.9255731225296444
xerces-1.3,0.776979034416498,0.7880909080511044,0.8238456347436205,0.9567191664093149
xerces-1.4,0.7632783063099927,0.763730116106593,0.7750908947538915,0.8285770761938861
