filename,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/CoDE
ant-1.3_ant-1.4,21,1,21
ant-1.4_ant-1.5,21,2,21
ant-1.5_ant-1.6,21,2,21
ant-1.6_ant-1.7,21,1,21
camel-1.0_camel-1.2,21,2,21
camel-1.2_camel-1.4,21,1,21
camel-1.4_camel-1.6,21,1,21
ivy-1.1_ivy-1.4,21,1,21
ivy-1.4_ivy-2.0,21,2,21
jedit-3.2_jedit-4.0,21,1,21
jedit-4.0_jedit-4.1,21,1,21
jedit-4.1_jedit-4.2,21,1,21
jedit-4.2_jedit-4.3,21,1,21
log4j-1.0_log4j-1.1,21,1,21
log4j-1.1_log4j-1.2,21,2,21
lucene-2.0_lucene-2.2,21,1,21
lucene-2.2_lucene-2.4,21,1,21
poi-1.5_poi-2.0,21,2,21
poi-2.0_poi-2.5,21,2,21
poi-2.5_poi-3.0,21,2,21
synapse-1.0_synapse-1.1,21,1,21
synapse-1.1_synapse-1.2,21,2,21
velocity-1.4_velocity-1.5,21,3,21
velocity-1.5_velocity-1.6,21,2,21
xalan-2.4_xalan-2.5,21,1,21
xalan-2.5_xalan-2.6,21,3,21
xalan-2.6_xalan-2.7,21,1,21
xerces-init_xerces-1.2,21,3,21
xerces-1.2_xerces-1.3,21,5,21
xerces-1.3_xerces-1.4,21,2,21
