filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,RidgeCV,LassoLarsCV
ant-1.4,0.567296199,0.590485298,0.595983744,0.593832178,0.630289266,0.596700932,0.615586899,0.610327516,0.596222807,0.583791537,0.589409515,0.615825962,0.633875209,0.630408798,0.704159694,0.652163519,0.617021277,0.612120488,0.612957208,0.582835286,0.607697825,0.630050203,0.616124791,0.611283768,0.612000956,0.586062634,0.634950992,0.685990916,0.612120488,0.61809706,0.607817356,0.715574946,0.595505618,0.59813531,0.60231891,0.634711929,0.618336122,0.59813531,0.606024384,0.611522831,0.602079847,0.607219699,0.59813531,0.608295482,0.587497012,0.717846044,0.59813531,0.59813531,0.59813531,0.572196988,0.628615826,0.59813531,0.601840784,0.578054028
ant-1.5,0.745587518,0.67352511,0.799317406,0.747732813,0.724817162,0.800195027,0.72647489,0.770843491,0.778644564,0.762506095,0.751877133,0.732715748,0.769283276,0.765138957,0.772793759,0.77337884,0.718283764,0.76582155,0.766845441,0.740126767,0.766845441,0.76582155,0.777230619,0.766845441,0.717113603,0.764992686,0.766845441,0.752608484,0.768161872,0.768649439,0.77367138,0.808629937,0.758264261,0.766845441,0.678985861,0.767723062,0.762896148,0.766845441,0.76967333,0.766357874,0.770550951,0.771623598,0.766845441,0.771038518,0.744319844,0.820867869,0.771038518,0.766845441,0.770989761,0.741199415,0.779717211,0.769575817,0.759141882,0.769478303
ant-1.6,0.742784591,0.735863372,0.818856063,0.756812833,0.750681283,0.807831661,0.793834386,0.819336058,0.790621516,0.772466865,0.822665056,0.765390809,0.82535148,0.8278521,0.825761799,0.824856001,0.77090301,0.783692555,0.82535148,0.751130311,0.826907593,0.82535148,0.825514059,0.82535148,0.770856559,0.82535148,0.82535148,0.777158429,0.82535148,0.82535148,0.825498575,0.82535148,0.810572278,0.82535148,0.697525703,0.824445683,0.79810789,0.82535148,0.821163136,0.791078286,0.825204385,0.824770841,0.82535148,0.824832776,0.807521987,0.824879227,0.82535148,0.82535148,0.82535148,0.815279326,0.824399232,0.82535148,0.807723275,0.817044469
ant-1.7,0.825570867,0.826714586,0.82997101,0.82666296,0.822564632,0.827898018,0.809328462,0.824506572,0.814606251,0.827985386,0.826071244,0.812501489,0.82836464,0.829143005,0.827606132,0.829617569,0.817155792,0.826047417,0.828664469,0.819923752,0.82887296,0.828646599,0.828666455,0.828658512,0.81663953,0.828962313,0.828297129,0.82214368,0.829824074,0.829224415,0.829045709,0.829053652,0.826933005,0.826861523,0.811917716,0.82887296,0.829053652,0.827661729,0.829002025,0.823390652,0.828160121,0.828831262,0.827661729,0.828358683,0.813359279,0.830677892,0.829053652,0.828275287,0.828712124,0.828656527,0.83070172,0.829164847,0.821790239,0.828346769
camel-1.2,0.649463097,0.607263939,0.66984271,0.615935042,0.599780702,0.67052014,0.581231725,0.661152702,0.6325305,0.659465429,0.676163289,0.615267065,0.688881642,0.680371232,0.675687513,0.677628428,0.636498979,0.675739501,0.676229457,0.631601003,0.676388574,0.681464572,0.676246786,0.679566193,0.645779769,0.676509881,0.675830876,0.640836106,0.676572898,0.684765074,0.676758797,0.67455006,0.667610342,0.674921859,0.666227125,0.676323982,0.687355062,0.675495312,0.677930908,0.618881075,0.677582741,0.680483086,0.674920284,0.676927367,0.66061706,0.676869076,0.675577233,0.674086887,0.680700494,0.659481183,0.680207388,0.676249937,0.609798788,0.500822368
camel-1.4,0.749284541,0.750917431,0.774784335,0.73855265,0.760738738,0.773942216,0.731456251,0.772179241,0.75442284,0.774522457,0.781038614,0.769177051,0.779077092,0.779761742,0.776026975,0.777634191,0.761305285,0.768663563,0.778871697,0.759169177,0.779373203,0.777692387,0.776157059,0.778125428,0.761498699,0.766135492,0.776887923,0.764976722,0.778768999,0.779106189,0.777302136,0.778958989,0.766643845,0.779155826,0.777029988,0.777142955,0.769647748,0.777060797,0.775225935,0.771299466,0.780566206,0.778258935,0.780597015,0.781072847,0.774597768,0.775554567,0.769635766,0.762825209,0.775813022,0.770878406,0.777594824,0.775616185,0.694923319,0.759258182
camel-1.6,0.722290155,0.746892228,0.756648705,0.743898446,0.728963731,0.748472539,0.731819689,0.758111917,0.74064456,0.735430052,0.753268394,0.737378238,0.741369948,0.750638342,0.746888083,0.74700829,0.737970984,0.743412435,0.74655544,0.74008601,0.743536788,0.749070466,0.746646632,0.747306736,0.737458031,0.744393782,0.744492228,0.732038342,0.749996891,0.755237306,0.753744041,0.750029016,0.736525389,0.744660104,0.742006218,0.751525389,0.758758549,0.745925389,0.752760622,0.740980311,0.760605181,0.749664249,0.744151295,0.748839378,0.740688083,0.748559585,0.75171399,0.741369948,0.744188601,0.755594819,0.748184456,0.751102591,0.748862176,0.754406218
ivy-1.4,0.80428769,0.747810051,0.795527893,0.747810051,0.720378054,0.793683725,0.767404334,0.754956201,0.730520977,0.77593361,0.781696634,0.817196865,0.805901337,0.791609036,0.782849239,0.806362379,0.704241586,0.781696634,0.78077455,0.780313509,0.778008299,0.779160904,0.777086215,0.785154449,0.777316736,0.784232365,0.777547257,0.794144767,0.791839557,0.788151222,0.78054403,0.783310281,0.772014753,0.78077455,0.751267865,0.798755187,0.791609036,0.773858921,0.782157676,0.789764869,0.792300599,0.807053942,0.773858921,0.776855694,0.794375288,0.78077455,0.783656063,0.773858921,0.777086215,0.808437068,0.798755187,0.769709544,0.773167358,0.768326418
ivy-2.0,0.81346388,0.779880276,0.837713068,0.769176136,0.761566558,0.842887581,0.776126218,0.829951299,0.822443182,0.822950487,0.836647727,0.785511364,0.827059659,0.838575487,0.827211851,0.835328734,0.767502029,0.8359375,0.839539367,0.754971591,0.832132711,0.827313312,0.839590097,0.831422484,0.773183847,0.838271104,0.840097403,0.746651786,0.827059659,0.839336445,0.825461648,0.836596997,0.828530844,0.838017451,0.800578328,0.838423295,0.815239448,0.825461648,0.825842127,0.799462256,0.835988231,0.834111201,0.825461648,0.831828328,0.814579951,0.829393263,0.825461648,0.825461648,0.827211851,0.793526786,0.834161932,0.825461648,0.505986201,0.748122971
jedit-4.0,0.849210481,0.836832668,0.840736885,0.833521314,0.855110186,0.84436636,0.843527677,0.8491671,0.862296836,0.849347851,0.849282781,0.847547574,0.852912256,0.850179305,0.848205506,0.853331598,0.849615362,0.845508705,0.844619411,0.851856672,0.847648794,0.849933484,0.849398461,0.850887848,0.84899358,0.839796981,0.847974145,0.848328417,0.848530858,0.846419689,0.847634334,0.849846723,0.849412922,0.847778935,0.848053676,0.848791139,0.855717508,0.849485222,0.845711146,0.847316213,0.847937995,0.851003528,0.839796981,0.840989936,0.845971427,0.847388513,0.849976864,0.839796981,0.840172942,0.855847649,0.847128232,0.843918098,0.835285442,0.838162994
