filename,nsga2/FPA_NNZ,nsga2/FPA_NNZ_MSE,nsga2/FPA_MSE,nsga2_toZero/FPA_NNZ,nsga2_toZero/FPA_NNZ_MSE,nsga2_toZero/FPA_MSE,LinearRegression,RidgeCV,CoDE
ant-1.3,0.8123636363636364,0.8256969696969697,0.8157575757575758,0.7859393939393939,0.7866666666666666,0.7873939393939394,0.8147878787878788,0.7995151515151515,0.8288484848484848
ant-1.4,0.7285441071001674,0.7467128854888836,0.7553191489361702,0.7427683480755438,0.7434855366961511,0.7439636624432225,0.7517332058331341,0.7263925412383457,0.7677504183600287
ant-1.5,0.8627986348122867,0.865236470014627,0.8616284739151633,0.8223305704534374,0.8271087274500244,0.8271087274500244,0.8238907849829351,0.8289614822038031,0.8777181862506095
ant-1.6,0.8247398736529171,0.8322030224204138,0.8349126718691936,0.826102440232875,0.825839217143565,0.8265979189892233,0.8236250464511334,0.8259321194103802,0.8375603864734299
ant-1.7,0.8346471546006909,0.8364044319129502,0.8357213772288631,0.8315892935149517,0.8315892935149517,0.8315654660259719,0.8260394742067432,0.8278821333545133,0.8365950518247885
camel-1.0,0.8702064896755162,0.8862199747155499,0.8836915297092288,0.8470290771175727,0.8466076696165191,0.8535608933839023,0.8417614833544037,0.8379688158449221,0.9024441635061105
camel-1.2,0.6989249344625933,0.722778344928413,0.7123490749142972,0.6988493143778988,0.6986996496269409,0.6984601860254084,0.6979229683403912,0.6961632259528131,0.7296944318410971
camel-1.4,0.7912296316582227,0.78964466657538,0.7886861563740928,0.7828597836505545,0.7835136245378611,0.7847904970560043,0.7721552786526085,0.7736495275914008,0.7987368204847323
camel-1.6,0.7849658031088083,0.7900393782383419,0.7845295336787564,0.7697264248704663,0.7727772020725389,0.7723295336787565,0.7875025906735751,0.7728414507772021,0.8005326424870466
ivy-1.1,0.8233383598190465,0.8209797780613232,0.8258902679503538,0.8132467231179678,0.8151026563043731,0.814947995205506,0.8113521246568457,0.8072536055368673,0.8328113521246568
ivy-1.4,0.8554633471645919,0.8603042876901799,0.859151682803135,0.8132780082987552,0.8192715537113877,0.8190410327339788,0.8584601198709082,0.8088981097279853,0.8888888888888888
ivy-2.0,0.8568892045454546,0.859172077922078,0.8615056818181818,0.839640827922078,0.8408076298701299,0.8406047077922078,0.8615056818181818,0.8517146915584416,0.8714995941558441
jedit-3.2,0.866857868801971,0.8668674930705267,0.8633257622420696,0.8546542962734832,0.8606117185093933,0.85998614105328,0.8601593778872806,0.8601593778872806,0.8748845087773329
jedit-4.0,0.8525941349991324,0.8632222800624675,0.8682977615825092,0.8495502920932385,0.8624558968130025,0.862094395280236,0.8538087801492278,0.8538087801492278,0.8756000925443924
jedit-4.1,0.8512790972468391,0.8543512938674229,0.853021978021978,0.8334071842136358,0.8346331088266572,0.8342195438969633,0.8373655913978495,0.8402014652014652,0.8578961361219426
jedit-4.2,0.8828851987044368,0.8956865970901239,0.8885918461775744,0.8826538481312015,0.8887974911315614,0.8892087810395353,0.8916765204873786,0.8916765204873786,0.8988226826384248
jedit-4.3,0.8734756097560976,0.9095528455284553,0.8948170731707317,0.8446815718157181,0.8514566395663956,0.8514566395663956,0.8214769647696477,0.7652439024390244,0.9266598915989159
log4j-1.0,0.8517304189435337,0.8529447480267153,0.8471159684274439,0.837765634486946,0.841772920461445,0.8414086217364906,0.8265938069216757,0.8255009107468124,0.8593806921675774
log4j-1.1,0.8405163217409857,0.8413697461062514,0.8445700874759975,0.8332622146362278,0.836995946234265,0.8360358438233412,0.8481971410283764,0.8270748879880521,0.8556646042244506
log4j-1.2,0.5940836516798903,0.5861886570672936,0.5936036830247821,0.5884072876873347,0.5918503281418356,0.595797825448134,0.5981878734449995,0.5933979821725928,0.6033401900284063
lucene-2.0,0.7808649062380406,0.7792958285495599,0.7853425181783391,0.7693647148871029,0.7698239571373899,0.7716226559510142,0.7710677382319173,0.7715461155759663,0.7915996938384998
lucene-2.2,0.7309745936748225,0.7332335856363317,0.7365682880557023,0.7243736431379452,0.7252342115042344,0.7255178078976706,0.7206184357214106,0.7122670108940132,0.7391499931545699
lucene-2.4,0.7340050260610573,0.7341399851079672,0.7323808637379002,0.7298212956068504,0.7272663812360387,0.730533320923306,0.7325111690245718,0.7302634028294862,0.7383749069247952
poi-1.5,0.6977138697658352,0.6893429071976707,0.7035186418930589,0.671348730475979,0.673557134749673,0.6754447652182496,0.6937165346559084,0.6583573913687172,0.7058874330693118
poi-2.0,0.8007512657194186,0.8103870651641353,0.8161032173771027,0.7414666013392128,0.7406500081659317,0.7451412706189776,0.7702923403560347,0.763024661113833,0.8227992813980075
poi-2.5,0.6768537913699204,0.6806242144951823,0.6786866359447005,0.6832582739840805,0.6838055090071219,0.6836143695014663,0.6759687892752408,0.6721145789694177,0.6928676162547129
poi-3.0,0.7091719457013574,0.720868778280543,0.7184004524886878,0.7075384615384616,0.7089502262443439,0.7090904977375566,0.6933891402714932,0.6952398190045249,0.7222443438914027
