filename,nsga2/FPA_NNZ,nsga2/FPA_NNZ_MSE,nsga2/FPA_MSE,nsga2_toZero/FPA_NNZ,nsga2_toZero/FPA_NNZ_MSE,nsga2_toZero/FPA_MSE,LinearRegression,RidgeCV,CoDE
ant-1.3,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 4.0]","[0.0, 5.0]",21.0,21.0,21.0
ant-1.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 4.0]","[0.0, 3.0]",21.0,21.0,21.0
ant-1.5,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 5.0]","[0.0, 5.0]",21.0,21.0,21.0
ant-1.6,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 4.0]","[1.0, 6.0]",21.0,21.0,21.0
ant-1.7,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 2.0]","[0.0, 4.0]","[1.0, 5.0]",21.0,21.0,21.0
camel-1.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 7.0]","[0.0, 8.0]","[0.0, 8.0]",21.0,21.0,21.0
camel-1.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 6.0]","[1.0, 6.0]",21.0,21.0,21.0
camel-1.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 7.0]","[0.0, 7.0]","[0.0, 10.0]",21.0,21.0,21.0
camel-1.6,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 8.0]","[1.0, 8.0]",21.0,21.0,21.0
ivy-1.1,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 5.0]","[1.0, 6.0]",21.0,21.0,21.0
ivy-1.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 6.0]","[0.0, 5.0]",21.0,21.0,21.0
ivy-2.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 6.0]","[0.0, 8.0]",21.0,21.0,21.0
jedit-3.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 9.0]","[2.0, 8.0]",21.0,21.0,21.0
jedit-4.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 4.0]","[1.0, 4.0]",21.0,21.0,21.0
jedit-4.1,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 4.0]","[1.0, 3.0]",21.0,21.0,21.0
jedit-4.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 6.0]",21.0,21.0,21.0
