filename,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ant-1.3,0.8402424242424242,0.824969696969697,0.8223030303030303,0.8004848484848485,0.9423030303030304
ant-1.4,0.7780898876404494,0.7534664116662683,0.7419316280181688,0.7241214439397562,0.9031795362180254
ant-1.5,0.8587030716723549,0.8460263286201852,0.8386153096050707,0.824183325207216,0.9513408093612872
ant-1.6,0.8376842561625171,0.8336584912671869,0.8302985259506999,0.8244147157190636,0.9117351046698872
ant-1.7,0.8328382510623089,0.8334577657757833,0.8323219888010802,0.8288868591398276,0.9257396449704142
camel-1.0,0.8845343447113359,0.8613569321533924,0.87126000842815,0.5014749262536873,0.983354403708386
camel-1.2,0.7019182294817503,0.6950856397459165,0.6930706795724945,0.6756560042347247,0.8854465996168582
camel-1.4,0.7881007805011639,0.7849445433383541,0.7839449541284403,0.7701047514719979,0.9470987950157471
camel-1.6,0.7785119170984456,0.7793450777202072,0.7711544041450777,0.7875025906735751,0.9447927461139896
ivy-1.1,0.8194718323473689,0.814252020260604,0.8130920620191007,0.7954993620229672,0.8585624250860302
ivy-1.4,0.8340248962655602,0.8575380359612724,0.8425541724296911,0.8095896726602121,0.9721069617335176
ivy-2.0,0.8654119318181818,0.8491781655844156,0.8432426948051948,0.8296976461038961,0.9559659090909092
jedit-3.2,0.8572432245149368,0.8582345241761626,0.8607464582691715,0.8607560825377272,0.9141419002155836
jedit-4.0,0.856397131123836,0.8573225750477182,0.8563248308172826,0.8537509399039852,0.93284024524264
jedit-4.1,0.8510870849580527,0.847217298830202,0.8407036511875221,0.8364498404820986,0.9245982512111544
jedit-4.2,0.882551025654208,0.883322194231659,0.8860984011104828,0.8916765204873786,0.959732147447432
jedit-4.3,0.9398712737127372,0.9300474254742548,0.895240514905149,0.5010162601626016,0.9860264227642276
log4j-1.0,0.8452337583485124,0.837765634486946,0.8340012143290831,0.8191863995142684,0.916575591985428
log4j-1.1,0.8453168337956048,0.8271815660337103,0.8269682099423938,0.8287817367185834,0.8939620226157456
log4j-1.2,0.5989225193456754,0.5936036830247821,0.5886080909001861,0.5851993339210501,0.6514154177686355
lucene-2.0,0.7841944125526215,0.7743398392652124,0.7688097971680061,0.7671928817451206,0.8764638346727899
lucene-2.2,0.7297815329851943,0.7222613389661444,0.7211660701363218,0.7161640165072659,0.8358661425022981
lucene-2.4,0.7247859270290394,0.7196807520476545,0.7133562918838422,0.7252745718540581,0.8265799516008935
poi-1.5,0.7038764280603055,0.701927110321514,0.6937165346559084,0.6570928023293113,0.8247896464085671
poi-2.0,0.8110403397027601,0.7989547607382003,0.796545810877021,0.5015923566878981,0.9455332353421524
poi-2.5,0.681100754084625,0.6799643904482614,0.6760578131545874,0.6439228110599078,0.7586772098868874
poi-3.0,0.7147239819004525,0.7104072398190046,0.7075746606334842,0.7015316742081448,0.7939728506787328
synapse-1.0,0.886563542614498,0.8626023657870792,0.854109796784956,0.821656050955414,0.9626933575978162
synapse-1.1,0.7861952861952862,0.778050778050778,0.7626717626717626,0.7464282464282465,0.9010601510601509
synapse-1.2,0.7416756465517241,0.73828125,0.7244612068965517,0.7011853448275862,0.8811961206896551
velocity-1.4,0.6394314868804665,0.6303571428571428,0.6249149659863945,0.6497570456754129,0.7136175898931001
velocity-1.5,0.7194426405398537,0.7111133071688737,0.7020569218172065,0.7017675127763503,0.7901502103509614
velocity-1.6,0.8141806481268674,0.7892898184325442,0.7897494828774995,0.7757986669731096,0.8979315099977017
xalan-2.4,0.8086365570805405,0.8044738802000213,0.7927084441607263,0.77753839060893,0.9421791325318296
xalan-2.5,0.6679413123573792,0.6510167849847441,0.6559230568982136,0.6584934555679854,0.8106793498017087
xalan-2.6,0.716003615819209,0.7126933333333333,0.7091534463276836,0.6930576271186439,0.8246725423728813
xalan-2.7,0.5773038144704825,0.5767215633352288,0.573649780476811,0.5668704545640054,0.6073922313913172
xerces-init,0.7697198196200192,0.7653581725438013,0.7690360020699342,0.6756302210394026,0.8270865676055297
xerces-1.2,0.7701581027667984,0.7766600790513833,0.7586166007905139,0.5870948616600791,0.9255731225296444
xerces-1.3,0.8517997460796761,0.8484827688753159,0.8436674330027794,0.7880909080511044,0.9567191664093149
xerces-1.4,0.7732889835132047,0.7770979319045914,0.7735335362215061,0.763730116106593,0.8285770761938861
