filename,RandomForestRegressor,MLP/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/CoDE_toZero,linear/nsga2_toZero/FPA_L1_MSE,linear/CoDE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,MLP/nsga2/FPA_L1_MSE,LinearRegression,MLP/nsga2_30p_toZero/FPA_L1_MSE,MLP/nsga2_toZero/FPA_L1_MSE,MLP/nsga2_10p_toZero/FPA_L1_MSE,MLP/nsga2_20p_toZero/FPA_L1_MSE,MLP/CoDE_random30p_toZero,RidgeCV,MLP/CoDE_random20p_toZero,MLP/CoDE_random10p_toZero,MLP/CoDE_toZero,MLP/CoDE,LassoLarsCV,MLPRegressor
ant-1.3,0.94230303,0.853575758,0.834181818,0.816,0.805575758,0.818181818,0.822787879,0.814787879,0.812363636,0.840727273,0.817454545,0.808,0.812363636,0.813575758,0.804484848,0.814787879,0.775030303,0.842909091,0.838181818,0.776242424,0.796606061,0.799515152,0.786060606,0.781939394,0.784606061,0.788484848,0.800484848,0.250181818
ant-1.4,0.903179536,0.780241454,0.761176189,0.754482429,0.757590246,0.753884772,0.752808989,0.758785561,0.755319149,0.754841023,0.756036338,0.756873058,0.745995697,0.744322257,0.748386326,0.751733206,0.768646904,0.744919914,0.777970356,0.775699259,0.764642601,0.726392541,0.760877361,0.765479321,0.698123356,0.705713603,0.724121444,0.544047334
ant-1.5,0.951340809,0.851682106,0.871282301,0.864261336,0.86582155,0.863773769,0.860263286,0.863383715,0.858703072,0.853534861,0.864846416,0.855387616,0.846611409,0.847391516,0.833252072,0.823890785,0.862749878,0.824280839,0.843003413,0.868600683,0.832276938,0.828961482,0.829497806,0.837981472,0.844612384,0.830424183,0.824183325,0.671379815
ant-1.6,0.911735105,0.839371981,0.835098476,0.829710145,0.834850737,0.829384987,0.831877864,0.835315248,0.834339775,0.840471324,0.833704942,0.832806887,0.83006627,0.830267559,0.829485631,0.823625046,0.813219993,0.818399294,0.823547628,0.807506503,0.807483278,0.825932119,0.809983897,0.808582621,0.81550384,0.81325096,0.824414716,0.832048185
ant-1.7,0.925739645,0.834541917,0.835117748,0.835463246,0.835133633,0.835669751,0.835387792,0.834668996,0.834533974,0.833330686,0.834303642,0.834732536,0.834248044,0.831762043,0.811879989,0.826039474,0.803711131,0.814904094,0.798349946,0.788042572,0.827363885,0.827882133,0.796759461,0.792015806,0.796290854,0.801588499,0.828886859,0.832901791
camel-1.0,0.983354404,0.867888748,0.882848715,0.872524231,0.875684787,0.871470712,0.872524231,0.867888748,0.865992415,0.89211968,0.857985672,0.85840708,0.853139486,0.843868521,0.880109566,0.841761483,0.872524231,0.852296671,0.859460598,0.878845343,0.827117573,0.837968816,0.840918668,0.850294985,0.847977244,0.846502318,0.501474926,0.769700801
camel-1.2,0.8854466,0.701533827,0.701703973,0.714880772,0.715126538,0.714824057,0.708437311,0.716068638,0.712627924,0.693313294,0.701284911,0.711348684,0.698754789,0.701669313,0.688591765,0.697922968,0.697889885,0.679540986,0.690195541,0.682134125,0.689373173,0.685877319,0.681820617,0.67684387,0.665968756,0.670327939,0.675656004,0.660101898
camel-1.4,0.947098795,0.786216281,0.786043407,0.793441052,0.791969054,0.792410653,0.78647816,0.790529577,0.790497056,0.781387786,0.784896618,0.789230453,0.780800698,0.778916199,0.772987129,0.772155279,0.769592975,0.754782281,0.767342188,0.766674654,0.77051383,0.773649528,0.759761399,0.757597905,0.752637615,0.757296659,0.770104751,0.784927427
camel-1.6,0.944792746,0.778185492,0.781251813,0.795906736,0.784240415,0.791154404,0.787156477,0.790143005,0.789703627,0.777135751,0.778853886,0.784667358,0.777523316,0.775430052,0.750865285,0.787502591,0.781615544,0.770655959,0.759974093,0.75724456,0.764220725,0.777985492,0.760389637,0.736029016,0.734892228,0.741004145,0.787502591,0.782271503
ivy-1.1,0.858562425,0.813575378,0.827127557,0.822758381,0.825812937,0.823841008,0.822990372,0.82554228,0.824343657,0.811120133,0.817499903,0.825116962,0.821366431,0.813092062,0.798437923,0.811352125,0.789873565,0.792754128,0.810114836,0.796620655,0.798089935,0.807253606,0.784054441,0.783049144,0.782662491,0.786741677,0.795499362,0.816262615
