filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,RandomForestRegressor
ant-1.3_ant-1.4,0.650071719,0.58444896
ant-1.4_ant-1.5,0.7570941,0.69600195
ant-1.5_ant-1.6,0.804301375,0.749504521
ant-1.6_ant-1.7,0.79675549,0.813621381
camel-1.0_camel-1.2,0.497690437,0.65014998
camel-1.2_camel-1.4,0.760564152,0.7873528
camel-1.4_camel-1.6,0.756100518,0.7618
ivy-1.1_ivy-1.4,0.680728446,0.781696634
ivy-1.4_ivy-2.0,0.795556006,0.724888393
jedit-3.2_jedit-4.0,0.837902713,0.859867546
jedit-4.0_jedit-4.1,0.758241758,0.843834929
jedit-4.1_jedit-4.2,0.872500129,0.855071719
jedit-4.2_jedit-4.3,0.659891599,0.705877371
log4j-1.0_log4j-1.1,0.807552806,0.779549819
log4j-1.1_log4j-1.2,0.545998629,0.55510334
lucene-2.0_lucene-2.2,0.688796965,0.715543038
lucene-2.2_lucene-2.4,0.70388589,0.654565339
poi-1.5_poi-2.0,0.694471664,0.68659154
poi-2.0_poi-2.5,0.514620863,0.507402074
poi-2.5_poi-3.0,0.658877828,0.67280543
synapse-1.0_synapse-1.1,0.40995541,0.698562199
synapse-1.1_synapse-1.2,0.623060345,0.68826778
velocity-1.4_velocity-1.5,0.642459836,0.672113674
velocity-1.5_velocity-1.6,0.735784877,0.759549529
xalan-2.4_xalan-2.5,0.644844076,0.613982875
xalan-2.5_xalan-2.6,0.67304678,0.676858757
xalan-2.6_xalan-2.7,0.569897798,0.570718572
xerces-init_xerces-1.2,0.562924901,0.749960474
xerces-1.2_xerces-1.3,0.671533473,0.720750552
xerces-1.3_xerces-1.4,0.697226698,0.729600361
,0.682411243,0.708868051
