filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
ant-1.3_ant-1.4,0.554386804,0.589289983,0.566459479,0.529285202,0.607817356,0.574468085,0.606980636,0.606980636,0.54159694,0.576141525,0.572196988,0.612240019,0.59813531,0.58319388,0.584628257,0.584628257,0.564307913,0.583672006,0.602797036,0.557016495,0.518587138,0.612598613,0.596820464,0.596820464,0.521396127,0.579847,0.606741573,0.578651685,0.609968922,0.601721253,0.598374372,0.598374372,0.595505618,0.59813531,0.577695434,0.603394693,0.606861104,0.58988764,0.587616543,0.543748506,0.541238346,0.545541477,0.573989959,0.56072197,0.576380588,0.604948601,0.59813531,0.544465694,0.592517332,0.563710256,0.606382979,0.550442266
ant-1.4_ant-1.5,0.711847879,0.67352511,0.668454412,0.650804486,0.684154071,0.766650414,0.713700634,0.713700634,0.640858118,0.720136519,0.747050219,0.700341297,0.748464164,0.737786446,0.753778645,0.753778645,0.677523159,0.76582155,0.729497806,0.726962457,0.75192589,0.765480254,0.721696733,0.721696733,0.680351048,0.764992686,0.740809361,0.752608484,0.756118966,0.747732813,0.752998537,0.752998537,0.75251097,0.766845441,0.633057045,0.757289127,0.759483179,0.766845441,0.746270112,0.711165285,0.737591419,0.723549488,0.766845441,0.763334959,0.738371526,0.765480254,0.745099951,0.766845441,0.71803998,0.72647489,0.762116041,0.740711848
ant-1.5_ant-1.6,0.737643999,0.735259507,0.704307568,0.723739626,0.698315372,0.794128577,0.793834386,0.793834386,0.725179611,0.756719931,0.752415459,0.676700111,0.769385606,0.81955283,0.818484454,0.818484454,0.770392048,0.75492382,0.80081754,0.726309922,0.781130001,0.802133655,0.765189521,0.765189521,0.748172922,0.764539205,0.784946736,0.738913663,0.813676762,0.764245014,0.805385235,0.805385235,0.768115942,0.819831537,0.680818779,0.813452248,0.77532361,0.815240617,0.766892729,0.742939428,0.806151678,0.778459061,0.807800694,0.7903041,0.764957265,0.791295058,0.805756844,0.809906478,0.807165862,0.806345225,0.812507742,0.799129815
ant-1.6_ant-1.7,0.823847345,0.826674874,0.807080735,0.820952305,0.810909019,0.817326556,0.802648823,0.802648823,0.789905087,0.827985386,0.825793257,0.801286684,0.820712045,0.829143005,0.81418927,0.81418927,0.802938724,0.825455701,0.827661729,0.792724673,0.827590247,0.827661729,0.807847186,0.807847186,0.803292165,0.828225646,0.817664112,0.784968826,0.821559906,0.817455621,0.828324928,0.828324928,0.826933005,0.825415988,0.795842103,0.824724991,0.816695127,0.827661729,0.826190382,0.818712521,0.82465748,0.825606608,0.82741154,0.827631945,0.813359279,0.828191891,0.82741154,0.82741154,0.827943688,0.826464398,0.82741154,0.827661729
camel-1.0_camel-1.2,0.649463097,0.607263939,0.634484019,0.552288138,0.58627464,0.628191798,0.569113607,0.569113607,0.62541276,0.610851167,0.647022774,0.609256844,0.683008482,0.650873097,0.628566747,0.628566747,0.636498979,0.664717874,0.676229457,0.585554673,0.656491039,0.670266498,0.645373311,0.645373311,0.618805455,0.674017569,0.669938811,0.626380067,0.668727314,0.673711938,0.673447268,0.673447268,0.598066647,0.674331077,0.652037331,0.642827435,0.680728852,0.65581676,0.653834884,0.606302934,0.614602238,0.653707275,0.65581676,0.655856145,0.654132638,0.674726507,0.622933051,0.65581676,0.672483112,0.643670284,0.674008117,0.639715984
camel-1.2_camel-1.4,0.719514241,0.750917431,0.745015747,0.7294759,0.730138299,0.717746132,0.662950157,0.662950157,0.704785705,0.767058058,0.769112009,0.755316308,0.761122142,0.777122415,0.768538614,0.768538614,0.740935232,0.744796659,0.762825209,0.719223264,0.77591572,0.773442421,0.765033206,0.765033206,0.752546899,0.763475626,0.773750513,0.732178557,0.766833835,0.736476448,0.77305217,0.77305217,0.746799261,0.773031631,0.759549158,0.762318568,0.727420238,0.768488977,0.769964398,0.760613789,0.772773175,0.766676366,0.762693414,0.767616048,0.767232644,0.766358004,0.769635766,0.762825209,0.772023483,0.766034506,0.763696426,0.747292209
camel-1.4_camel-1.6,0.671280829,0.746892228,0.737674611,0.732963731,0.691189637,0.731067358,0.712889119,0.712889119,0.723065285,0.71646114,0.723926425,0.727796891,0.741369948,0.746304663,0.73666943,0.73666943,0.718462176,0.741711917,0.730785492,0.712105699,0.731858031,0.747872539,0.73666943,0.73666943,0.735479793,0.735856995,0.736005181,0.731064249,0.728141969,0.733442487,0.729446632,0.729446632,0.731753368,0.732042487,0.72053886,0.736563731,0.749458031,0.739055959,0.727340933,0.735870466,0.748569948,0.733671503,0.739055959,0.715350259,0.727552332,0.73824456,0.739125389,0.739055959,0.728109845,0.752361658,0.740409326,0.743430052
ivy-1.1_ivy-1.4,0.786998617,0.747349009,0.734209313,0.706316275,0.643153527,0.505763024,0.602812356,0.602812356,0.685338866,0.774319963,0.77132319,0.762332872,0.75945136,0.776625173,0.782733979,0.782733979,0.531350853,0.774319963,0.760949746,0.765329645,0.7593361,0.775472568,0.75242047,0.75242047,0.653526971,0.775011526,0.771784232,0.777547257,0.765329645,0.778930383,0.771784232,0.771784232,0.770862148,0.768095897,0.651682803,0.761180267,0.677040111,0.769709544,0.773858921,0.733287229,0.741816505,0.776164131,0.773858921,0.771784232,0.783540802,0.768095897,0.763946519,0.769709544,0.771553711,0.763485477,0.7736284,0.752189949
ivy-1.4_ivy-2.0,0.688159497,0.779880276,0.808492289,0.535967938,0.679890422,0.814224838,0.681868912,0.681868912,0.774198458,0.822950487,0.791852679,0.750253653,0.734425731,0.785206981,0.695515422,0.695515422,0.74025974,0.83299513,0.831726867,0.711038961,0.832132711,0.807173295,0.738357346,0.738357346,0.651557427,0.824624594,0.838626218,0.731838474,0.806716721,0.826400162,0.798041802,0.798041802,0.828530844,0.835227273,0.770900974,0.775618912,0.811383929,0.825461648,0.810267857,0.680600649,0.78708401,0.767755682,0.825461648,0.80762987,0.799715909,0.806919643,0.789569805,0.825461648,0.789392248,0.79195414,0.804433847,0.825461648
jedit-3.2_jedit-4.0,0.8491671,0.836832668,0.739082654,0.809127191,0.832321129,0.832740471,0.805512175,0.805512175,0.831222164,0.846875181,0.849282781,0.832133148,0.826110533,0.836355486,0.824758517,0.824758517,0.83973914,0.845508705,0.838249754,0.842558852,0.829154376,0.839796981,0.818143039,0.818143039,0.797978483,0.838249754,0.833311643,0.835487882,0.839442709,0.839956041,0.827035977,0.827035977,0.845349644,0.841336977,0.820536179,0.81378333,0.831583666,0.839796981,0.845711146,0.843730117,0.834186477,0.818916652,0.839796981,0.834779339,0.842110591,0.825857482,0.843961478,0.839796981,0.835155301,0.855847649,0.840332003,0.840910405
